Выборы Президента Российской Федерации																								
																								
Наименование Избирательной комиссии:    Рогнединская																								
																								
Итоги голосования 																								
																								
		Сумма	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906					
1	"Число избирателей, внесенных в список"	6506	2595	530	72	232	93	86	354	307	338	72	56	246	91	744	289	235	166					
2	Число полученных избирательных бюллетеней	6550	2550	545	75	240	90	90	375	320	355	75	55	255	90	725	290	240	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4303	1588	376	23	161	58	33	282	231	241	61	33	220	62	465	223	147	99					
5	"Число избирательных бюллетеней, выданных вне помещения"	869	227	61	45	35	16	41	32	37	60	6	14	11	17	129	34	64	40					
6	Число погашенных избирательных бюллетеней	1378	735	108	7	44	16	16	61	52	54	8	8	24	11	131	33	29	41					
7	Число избирательных бюллетеней в переносных ящиках	869	227	61	45	35	16	41	32	37	60	6	14	11	17	129	34	64	40					
8	Число бюллетеней в стационарных ящиках для голосования	4303	1588	376	23	161	58	33	282	231	241	61	33	220	62	465	223	147	99					
9	Число недействительных избирательных бюллетеней	24	18	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1					
10	Число действительных избирательных бюллетеней	5148	1797	436	68	194	74	74	313	268	301	67	47	231	79	594	257	210	138					
11	Число полученных открепительных  удостоверений	130	35	8	2	4	2	2	16	5	5	2	5	4	2	10	4	16	8					
12	Число выданных открепительных удостоверений	67	26	1	0	1	0	2	13	1	2	0	2	1	1	5	2	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	14	8	1	1	3	3	4	1	4	2	4	1	1	0	3	1	1					
14	Число неиспользованных открепительных удостоверений	63	9	7	2	3	2	0	3	4	3	2	3	3	1	5	2	11	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																								
18	. Глазьев Сергей Юрьевич	136	73	8	0	9	2	1	7	2	8	0	1	6	0	14	2	3	0					
		2.63%	4.02%	1.83%	0.00%	4.59%	2.70%	1.35%	2.23%	0.75%	2.66%	0.00%	2.13%	2.60%	0.00%	2.36%	0.78%	1.42%	0.00%					
19	. Малышкин Олег Александрович	91	38	2	0	8	0	3	3	9	3	5	1	3	0	6	7	2	1					
		1.76%	2.09%	0.46%	0.00%	4.08%	0.00%	4.05%	0.96%	3.36%	1.00%	7.46%	2.13%	1.30%	0.00%	1.01%	2.72%	0.95%	0.72%					
20	. Миронов Сергей Михайлович	25	13	2	0	0	1	0	0	2	3	0	0	0	0	2	1	0	1					
		0.48%	0.72%	0.46%	0.00%	0.00%	1.35%	0.00%	0.00%	0.75%	1.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.39%	0.00%	0.72%					
21	. Путин Владимир Владимирович	3344	1170	325	51	116	62	55	202	175	203	35	14	140	56	363	181	110	86					
		64.66%	64.46%	74.37%	75.00%	59.18%	83.78%	74.32%	64.33%	65.30%	67.44%	52.24%	29.79%	60.61%	70.89%	61.11%	70.43%	52.13%	61.87%					
22	. Хакамада Ирина Муцуовна	74	21	5	0	2	0	1	6	11	2	0	0	10	1	10	3	1	1					
		1.43%	1.16%	1.14%	0.00%	1.02%	0.00%	1.35%	1.91%	4.10%	0.66%	0.00%	0.00%	4.33%	1.27%	1.68%	1.17%	0.47%	0.72%					
23	. Харитонов Николай Михайлович	1393	438	91	16	58	9	14	88	66	79	27	30	72	22	192	60	84	47					
		26.93%	24.13%	20.82%	23.53%	29.59%	12.16%	18.92%	28.03%	24.63%	26.25%	40.30%	63.83%	31.17%	27.85%	32.32%	23.35%	39.81%	33.81%					
																								
24	Против всех	85	44	3	1	1	0	0	7	3	3	0	1	0	0	7	3	10	2					
		1.64%	2.42%	0.69%	1.47%	0.51%	0.00%	0.00%	2.23%	1.12%	1.00%	0.00%	2.13%	0.00%	0.00%	1.18%	1.17%	4.74%	1.44%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
