Выборы Президента Российской Федерации																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Туймазинская																																																																																																											
																																																																																																											
Итоги голосования 																																																																																																											
																																																																																																											
		Сумма	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403					
1	"Число избирателей, внесенных в список"	89072	288	1000	717	986	594	910	828	916	698	873	926	599	1303	673	456	781	822	2124	309	1730	507	824	1095	763	382	1003	1480	288	1108	1464	492	1245	1402	340	1064	1808	317	643	1754	100	961	2002	985	2311	901	1298	1231	120	401	1436	944	270	551	1751	393	229	745	997	1100	842	1842	241	1013	1032	591	556	756	412	1279	515	693	786	784	448	856	1304	730	432	1611	292	645	1532	543	271	374	1822	1181	330	1487	955	2130	768	185	1490	505	363	567	1351	1014	306					
2	Число полученных избирательных бюллетеней	88430	305	1000	725	1000	590	900	850	900	660	850	950	610	1300	660	540	770	770	2129	310	1700	510	840	1100	775	380	980	1400	295	1100	1400	490	1200	1400	345	1000	1700	315	675	1700	100	900	1900	900	2230	900	1300	1240	122	395	1400	945	272	580	1700	395	230	700	1000	1100	880	1800	240	1000	1000	560	555	820	405	1300	520	705	780	800	460	880	1300	780	565	1600	295	733	1500	545	265	380	1600	1100	330	1600	1017	2100	810	192	1500	500	380	600	1300	1000	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	79310	185	923	649	767	515	825	609	853	575	788	744	533	1078	513	443	730	673	1861	266	1652	437	778	941	602	370	824	1308	193	1027	1390	378	1138	1282	278	965	1689	262	553	1607	90	811	1859	851	2030	782	1175	1179	106	292	1360	906	220	479	1602	357	214	636	936	962	664	1667	213	892	976	505	517	663	313	1223	487	539	735	730	365	715	1121	692	414	1421	279	540	1378	476	217	296	1486	998	260	1449	888	2029	726	178	1406	439	343	530	1265	981	243					
5	"Число избирательных бюллетеней, выданных вне помещения"	5742	88	27	61	146	28	19	128	41	84	17	125	60	160	126	13	26	95	263	27	39	65	10	110	156	10	60	85	94	27	1	96	20	64	62	29	9	53	90	73	10	86	41	49	95	63	89	52	14	95	21	33	50	44	79	36	15	62	21	61	178	109	21	53	21	33	38	59	82	56	28	100	27	24	80	85	99	20	13	104	13	52	47	31	48	76	82	73	68	38	19	38	13	7	28	61	18	11	18	19	49					
6	Число погашенных избирательных бюллетеней	3378	32	50	15	87	47	56	113	6	1	45	81	17	62	21	84	14	2	5	17	9	8	52	49	17	0	96	7	8	46	9	16	42	54	5	6	2	0	32	20	0	3	0	0	105	55	36	9	2	8	19	6	2	57	19	2	1	2	43	77	38	24	6	55	3	22	0	98	10	21	5	66	18	46	15	80	80	68	138	75	3	141	75	38	0	8	32	29	2	113	110	33	71	7	66	0	19	59	17	0	8					
7	Число избирательных бюллетеней в переносных ящиках	5742	88	27	61	146	28	19	128	41	84	17	125	60	160	126	13	26	95	263	27	39	65	10	110	156	10	60	85	94	27	1	96	20	64	62	29	9	53	90	73	10	86	41	49	95	63	89	52	14	95	21	33	50	44	79	36	15	62	21	61	178	109	21	53	21	33	38	59	82	56	28	100	27	24	80	85	99	20	13	104	13	52	47	31	48	76	82	73	68	38	19	38	13	7	28	61	18	11	18	19	49					
8	Число бюллетеней в стационарных ящиках для голосования	79309	185	923	649	767	515	825	609	853	575	788	744	533	1078	513	443	730	673	1861	266	1652	437	778	941	602	370	824	1308	193	1027	1390	378	1138	1282	278	964	1689	262	553	1607	90	811	1859	851	2030	782	1175	1179	106	292	1360	906	220	479	1602	357	214	636	936	962	664	1667	213	892	976	505	517	663	313	1223	487	539	735	730	365	715	1121	692	414	1421	279	540	1378	476	217	296	1486	998	260	1449	888	2029	726	178	1406	439	343	530	1265	981	243					
9	Число недействительных избирательных бюллетеней	337	2	3	0	2	2	0	13	2	0	1	8	2	12	0	4	0	0	5	1	0	0	2	1	1	7	7	0	0	9	1	20	0	2	4	1	3	0	3	5	0	6	0	6	3	0	0	51	0	1	4	0	1	2	6	0	0	0	0	3	13	5	0	6	2	2	5	0	0	0	0	6	0	6	0	3	13	1	4	10	0	7	0	0	0	0	1	5	0	0	7	13	4	0	3	0	10	0	2	2	1					
10	Число действительных избирательных бюллетеней	84714	271	947	710	911	541	844	724	892	659	804	861	591	1226	639	452	756	768	2119	292	1691	502	786	1050	757	373	877	1393	287	1045	1390	454	1158	1344	336	992	1695	315	640	1675	100	891	1900	894	2122	845	1264	1180	120	386	1377	939	269	521	1675	393	229	698	957	1020	829	1771	234	939	995	536	550	722	395	1279	515	633	762	748	445	797	1207	711	423	1515	292	585	1425	507	265	372	1567	1066	328	1487	900	2054	735	185	1431	500	351	541	1281	998	291					
