Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Тугуро-Чумиканская													
													
Итоги голосования 													
													
		Сумма	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724					
1	"Число избирателей, внесенных в список"	1875	304	83	1032	75	70	311					
2	Число полученных избирательных бюллетеней	1830	300	85	992	83	70	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	185	5	0	180	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1198	217	82	552	66	58	223					
5	"Число избирательных бюллетеней, выданных вне помещения"	137	13	0	67	4	4	49					
6	Число погашенных избирательных бюллетеней	310	65	3	193	13	8	28					
7	Число избирательных бюллетеней в переносных ящиках	322	18	0	247	4	4	49					
8	Число бюллетеней в стационарных ящиках для голосования	1198	217	82	552	66	58	223					
9	Число недействительных избирательных бюллетеней	16	5	0	8	0	0	3					
10	Число действительных избирательных бюллетеней	1504	230	82	791	70	62	269					
11	Число полученных открепительных  удостоверений	97	18	3	58	11	2	5					
12	Число выданных открепительных удостоверений	84	18	1	51	11	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	10	3	23	3	5	2					
14	Число неиспользованных открепительных удостоверений	13	0	2	7	0	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	26	4	1	18	0	0	3					
		1.71%	1.70%	1.22%	2.25%	0.00%	0.00%	1.10%					
19	. Малышкин Олег Александрович	33	7	0	19	1	2	4					
		2.17%	2.98%	0.00%	2.38%	1.43%	3.23%	1.47%					
20	. Миронов Сергей Михайлович	17	6	0	6	0	1	4					
		1.12%	2.55%	0.00%	0.75%	0.00%	1.61%	1.47%					
21	. Путин Владимир Владимирович	1266	173	74	662	67	54	236					
		83.29%	73.62%	90.24%	82.85%	95.71%	87.10%	86.76%					
22	. Хакамада Ирина Муцуовна	31	6	0	20	1	1	3					
		2.04%	2.55%	0.00%	2.50%	1.43%	1.61%	1.10%					
23	. Харитонов Николай Михайлович	85	27	0	35	1	4	18					
		5.59%	11.49%	0.00%	4.38%	1.43%	6.45%	6.62%					
													
24	Против всех	46	7	7	31	0	0	1					
		3.03%	2.98%	8.54%	3.88%	0.00%	0.00%	0.37%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
