Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    район Москворечье-Сабурово																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №2993	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147					
1	"Число избирателей, внесенных в список"	42646	2315	1907	2415	2368	2489	2433	2055	2376	1796	2045	2709	2477	2053	2862	2762	2718	2221	1958	320	96	84	144	43					
2	Число полученных избирательных бюллетеней	42000	2200	1900	2200	2200	2400	2300	1900	2200	1700	1900	2700	2400	2100	2800	2700	2600	2600	1900	500	200	200	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25173	1224	1382	1333	1354	1345	1332	1210	1285	1020	1200	1452	1277	1286	1776	1752	1609	1555	1094	320	96	84	144	43					
5	"Число избирательных бюллетеней, выданных вне помещения"	557	56	23	31	24	28	16	15	22	98	20	41	73	17	7	10	9	55	12	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	16270	920	495	836	822	1027	952	675	893	582	680	1207	1050	797	1017	938	982	990	794	180	104	116	56	157					
7	Число избирательных бюллетеней в переносных ящиках	557	56	23	31	24	28	16	15	22	98	20	41	73	17	7	10	9	55	12	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	25120	1221	1381	1333	1352	1341	1332	1192	1285	1020	1199	1451	1273	1286	1771	1752	1601	1554	1089	320	96	84	144	43					
9	Число недействительных избирательных бюллетеней	210	8	10	28	12	7	12	4	15	6	10	9	6	17	16	8	10	8	3	21	0	0	0	0					
10	Число действительных избирательных бюллетеней	25467	1269	1394	1336	1364	1362	1336	1203	1292	1112	1209	1483	1340	1286	1762	1754	1600	1601	1098	299	96	84	144	43					
