Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Мариинско-Посадская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511					
1	"Число избирателей, внесенных в список"	18312	335	715	984	898	622	1066	1016	659	680	199	240	154	431	358	441	210	363	106	263	80	870	212	211	769	225	448	556	300	234	428	139	647	189	278	210	65	112	58	648	302	428	341	299	341	182					
2	Число полученных избирательных бюллетеней	19131	346	762	1022	900	728	1082	1109	715	707	220	229	148	504	420	443	215	398	134	271	79	900	231	211	793	217	447	549	296	220	430	165	692	195	280	205	64	109	61	690	285	428	360	300	361	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11515	213	461	603	514	364	642	649	313	419	153	172	114	302	280	265	154	266	64	168	32	585	123	127	402	79	238	368	200	176	284	96	425	129	207	135	45	77	48	392	192	261	248	180	245	105					
5	"Число избирательных бюллетеней, выданных вне помещения"	1629	22	10	24	30	21	32	42	51	48	28	38	11	42	25	75	16	44	37	37	44	41	31	27	147	78	120	35	25	19	43	15	22	11	16	44	18	30	8	24	29	42	31	29	30	37					
6	Число погашенных избирательных бюллетеней	5987	111	291	395	356	343	408	418	351	240	39	19	23	160	115	103	45	88	33	66	3	274	77	57	244	60	89	146	71	25	103	54	245	55	57	26	1	2	5	274	64	125	81	91	86	68					
7	Число избирательных бюллетеней в переносных ящиках	1629	22	10	24	30	21	32	42	51	48	28	38	11	42	25	75	16	44	37	37	44	41	31	27	147	78	120	35	25	19	43	15	22	11	16	44	18	30	8	24	29	42	31	29	30	37					
8	Число бюллетеней в стационарных ящиках для голосования	11515	213	461	603	514	364	642	649	313	419	153	172	114	302	280	265	154	266	64	168	32	585	123	127	402	79	238	368	200	176	284	96	425	129	207	135	45	77	48	392	192	261	248	180	245	105					
9	Число недействительных избирательных бюллетеней	280	1	4	12	9	7	12	8	3	3	3	5	4	13	3	9	5	10	4	2	1	18	5	0	8	3	4	11	5	4	6	1	6	5	2	3	0	1	0	20	11	38	5	0	5	1					
10	Число действительных избирательных бюллетеней	12864	234	467	615	535	378	662	683	361	464	178	205	121	331	302	331	165	300	97	203	75	608	149	154	541	154	354	392	220	191	321	110	441	135	221	176	63	106	56	396	210	265	274	209	270	141					
