Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Калининград, Ленинградская"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241					
1	"Число избирателей, внесенных в список"	121257	1312	2652	2857	270	3005	2416	2727	2420	2565	1998	2585	2907	2513	2459	2294	2101	2893	1789	2475	2426	1806	1720	1890	2925	1909	2091	2081	1926	1441	1806	2814	2831	2850	2927	2323	2634	2215	2401	2895	2294	2565	2727	2495	1349	2943	448	2484	2851	1823	682	2637	2895	2915					
2	Число полученных избирательных бюллетеней	118200	1250	2600	2800	250	2550	2400	2700	2400	2600	2000	2600	2900	2500	2450	2300	2100	2900	1700	2450	2400	1800	1650	1800	2500	1850	2100	2100	1900	1400	1800	2800	2800	2800	2700	2150	2600	2200	2400	2900	2250	2200	2700	2450	1300	2900	500	2450	2850	1500	700	2600	2800	2900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	61903	652	1045	1269	237	1394	1093	1276	1209	1564	1130	1427	1461	1455	1293	1227	1151	1522	974	1309	1208	1066	736	999	1637	1135	1130	1172	999	683	745	1527	1488	1308	1540	1150	1253	1136	1167	1698	1049	1156	1143	1063	523	1614	319	1345	1651	1011	388	1370	1375	1431					
5	"Число избирательных бюллетеней, выданных вне помещения"	1245	5	29	19	0	24	19	21	25	16	11	20	16	25	24	22	6	25	20	14	35	17	48	107	18	22	23	21	22	5	13	8	24	10	11	16	6	16	2	21	39	40	25	26	18	11	78	4	16	7	155	11	15	14					
6	Число погашенных избирательных бюллетеней	55052	593	1526	1512	13	1132	1288	1403	1166	1020	859	1153	1423	1020	1133	1051	943	1353	706	1127	1157	717	866	694	845	693	947	907	879	712	1042	1265	1288	1482	1149	984	1341	1048	1231	1181	1162	1004	1532	1361	759	1275	103	1101	1183	482	157	1219	1410	1455					
7	Число избирательных бюллетеней в переносных ящиках	1242	5	29	19	0	24	19	21	25	16	11	20	16	25	24	22	6	25	20	14	35	17	48	106	18	22	23	21	22	5	13	8	24	10	11	16	6	16	2	21	39	40	25	26	18	11	76	4	16	7	155	11	15	14					
8	Число бюллетеней в стационарных ящиках для голосования	61779	652	1045	1268	237	1394	1093	1276	1209	1564	1130	1427	1461	1455	1286	1227	1151	1519	973	1295	1208	1066	703	998	1634	1135	1130	1172	999	683	744	1527	1488	1308	1540	1147	1253	1136	1167	1696	1048	1154	1143	1037	523	1608	319	1341	1651	1011	388	1356	1375	1429					
9	Число недействительных избирательных бюллетеней	377	2	7	9	2	0	14	14	6	12	3	11	5	8	0	8	5	9	0	8	4	6	4	7	11	7	17	14	3	5	3	8	5	10	5	3	10	8	10	9	6	10	12	10	11	6	1	3	3	3	13	10	11	6					
10	Число действительных избирательных бюллетеней	62644	655	1067	1278	235	1418	1098	1283	1228	1568	1138	1436	1472	1472	1310	1241	1152	1535	993	1301	1239	1077	747	1097	1641	1150	1136	1179	1018	683	754	1527	1507	1308	1546	1160	1249	1144	1159	1708	1081	1184	1156	1053	530	1613	394	1342	1664	1015	530	1357	1379	1437					
11	Число полученных открепительных  удостоверений	1175	40	20	20	0	35	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	40	20	20	20	20	20	40	40	20	20	30	20	20	20	20	20	30	0	20	20	60	0	20	20	20					
12	Число выданных открепительных удостоверений	549	13	3	3	0	19	3	9	6	13	6	16	6	9	12	17	6	11	1	6	8	5	9	7	7	9	9	12	9	6	3	12	15	13	7	18	22	9	11	20	10	16	9	15	3	17	0	16	15	50	0	4	8	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	544	16	4	7	7	11	7	11	8	5	16	14	12	8	8	7	7	17	7	8	5	21	0	12	13	17	8	9	9	3	6	10	10	13	6	22	8	10	8	16	6	10	5	6	4	11	25	16	15	13	22	7	5	13					
14	Число неиспользованных открепительных удостоверений	626	27	17	17	0	16	17	11	14	7	14	4	14	11	8	3	14	9	19	14	12	15	11	13	13	31	11	8	11	34	17	8	5	7	13	22	18	11	9	10	10	4	11	5	17	13	0	4	5	10	0	16	12	4					
15	"Число открепительных удостоверений, выданных в ТИК"	23	0	2	0	0	0	0	0	1	1	0	0	1	2	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																												
18	. Глазьев Сергей Юрьевич	4438	33	63	64	21	65	51	92	105	178	80	137	116	153	118	92	80	88	76	99	96	98	51	85	112	81	83	89	84	54	38	130	113	82	77	70	64	58	83	131	80	59	115	59	23	126	19	104	136	49	25	84	75	94					
		7.04%	5.02%	5.87%	4.97%	8.86%	4.58%	4.59%	7.09%	8.51%	11.27%	7.01%	9.47%	7.85%	10.34%	9.01%	7.37%	6.91%	5.70%	7.65%	7.56%	7.72%	9.05%	6.79%	7.70%	6.78%	7.00%	7.20%	7.46%	8.23%	7.85%	5.02%	8.47%	7.47%	6.22%	4.96%	6.02%	5.08%	5.03%	7.10%	7.63%	7.36%	4.94%	9.85%	5.55%	4.25%	7.78%	4.81%	7.73%	8.16%	4.81%	4.60%	6.14%	5.40%	6.51%					
19	. Малышкин Олег Александрович	1009	11	20	29	1	28	25	24	17	14	15	22	13	9	31	13	15	21	15	16	17	15	15	16	24	15	7	19	9	10	13	29	20	18	22	29	23	25	19	27	22	30	16	20	18	25	11	18	27	22	7	25	27	30					
		1.60%	1.67%	1.86%	2.25%	0.42%	1.97%	2.25%	1.85%	1.38%	0.89%	1.31%	1.52%	0.88%	0.61%	2.37%	1.04%	1.30%	1.36%	1.51%	1.22%	1.37%	1.39%	2.00%	1.45%	1.45%	1.30%	0.61%	1.59%	0.88%	1.45%	1.72%	1.89%	1.32%	1.37%	1.42%	2.49%	1.83%	2.17%	1.63%	1.57%	2.02%	2.51%	1.37%	1.88%	3.33%	1.54%	2.78%	1.34%	1.62%	2.16%	1.29%	1.83%	1.94%	2.08%					
20	. Миронов Сергей Михайлович	878	16	8	18	3	15	12	29	25	31	12	25	23	22	12	13	22	18	11	13	21	17	11	14	20	19	25	19	18	13	6	34	16	13	18	21	21	13	7	12	15	12	14	17	6	18	2	18	23	11	6	26	20	24					
		1.39%	2.44%	0.74%	1.40%	1.27%	1.06%	1.08%	2.24%	2.03%	1.96%	1.05%	1.73%	1.56%	1.49%	0.92%	1.04%	1.90%	1.17%	1.11%	0.99%	1.69%	1.57%	1.46%	1.27%	1.21%	1.64%	2.17%	1.59%	1.76%	1.89%	0.79%	2.21%	1.06%	0.99%	1.16%	1.81%	1.67%	1.13%	0.60%	0.70%	1.38%	1.01%	1.20%	1.60%	1.11%	1.11%	0.51%	1.34%	1.38%	1.08%	1.10%	1.90%	1.44%	1.66%					
21	. Путин Владимир Владимирович	39990	443	739	836	151	986	744	808	760	908	681	796	931	880	771	711	738	960	604	836	742	638	484	690	1119	686	673	699	598	432	521	990	969	894	1053	716	859	748	736	1037	722	815	741	726	394	1047	278	847	1020	722	373	862	916	960					
		63.46%	67.43%	68.81%	64.96%	63.71%	69.53%	66.91%	62.30%	61.59%	57.47%	59.68%	55.01%	63.03%	59.46%	58.85%	56.93%	63.79%	62.18%	60.83%	63.87%	59.69%	58.91%	64.45%	62.50%	67.74%	59.29%	58.37%	58.59%	58.57%	62.79%	68.82%	64.50%	64.09%	67.83%	67.89%	61.56%	68.23%	64.93%	62.96%	60.40%	66.42%	68.26%	63.44%	68.30%	72.83%	64.67%	70.38%	62.97%	61.19%	70.92%	68.69%	63.06%	65.90%	66.53%					
22	. Хакамада Ирина Муцуовна	4105	40	68	69	10	76	73	81	81	81	90	96	112	100	68	106	70	94	68	82	96	73	53	75	96	84	98	80	66	39	58	75	90	93	115	103	75	99	67	101	79	67	59	58	18	104	6	77	120	46	19	122	119	110					
		6.51%	6.09%	6.33%	5.36%	4.22%	5.36%	6.56%	6.25%	6.56%	5.13%	7.89%	6.63%	7.58%	6.76%	5.19%	8.49%	6.05%	6.09%	6.85%	6.26%	7.72%	6.74%	7.06%	6.79%	5.81%	7.26%	8.50%	6.71%	6.46%	5.67%	7.66%	4.89%	5.95%	7.06%	7.41%	8.86%	5.96%	8.59%	5.73%	5.88%	7.27%	5.61%	5.05%	5.46%	3.33%	6.42%	1.52%	5.72%	7.20%	4.52%	3.50%	8.92%	8.56%	7.62%					
23	. Харитонов Николай Михайлович	8190	67	116	204	32	162	141	155	178	277	176	241	171	215	228	212	133	241	141	191	182	172	89	153	175	202	187	195	183	100	82	163	185	112	138	138	144	110	185	286	114	137	152	121	51	174	47	183	205	81	61	144	127	131					
		13.00%	10.20%	10.80%	15.85%	13.50%	11.42%	12.68%	11.95%	14.42%	17.53%	15.43%	16.66%	11.58%	14.53%	17.40%	16.97%	11.50%	15.61%	14.20%	14.59%	14.64%	15.88%	11.85%	13.86%	10.59%	17.46%	16.22%	16.35%	17.92%	14.53%	10.83%	10.62%	12.24%	8.50%	8.90%	11.87%	11.44%	9.55%	15.83%	16.66%	10.49%	11.47%	13.01%	11.38%	9.43%	10.75%	11.90%	13.61%	12.30%	7.96%	11.23%	10.53%	9.14%	9.08%					
																																																												
24	Против всех	4034	45	53	58	17	86	52	94	62	79	84	119	106	93	82	94	94	113	78	64	85	64	44	64	95	63	63	78	60	35	36	106	114	96	123	83	63	91	62	114	49	64	59	52	20	119	31	95	133	84	39	94	95	88					
		6.40%	6.85%	4.93%	4.51%	7.17%	6.06%	4.68%	7.25%	5.02%	5.00%	7.36%	8.22%	7.18%	6.28%	6.26%	7.53%	8.12%	7.32%	7.85%	4.89%	6.84%	5.91%	5.86%	5.80%	5.75%	5.45%	5.46%	6.54%	5.88%	5.09%	4.76%	6.91%	7.54%	7.28%	7.93%	7.14%	5.00%	7.90%	5.30%	6.64%	4.51%	5.36%	5.05%	4.89%	3.70%	7.35%	7.85%	7.06%	7.98%	8.25%	7.18%	6.88%	6.83%	6.10%					
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
