Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Аркадакская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
		80.94%	80.76%	86.86%	80.10%	80.02%	80.38%	74.38%	80.02%	86.04%	90.91%	81.43%	80.00%	84.40%	48.84%	42.86%	63.52%	80.24%	83.11%	88.97%	87.70%	87.81%	81.44%	63.58%	82.58%	81.76%	68.00%	84.57%	74.51%	80.00%	82.86%	81.20%	81.95%	81.33%	82.71%	80.03%	80.43%	86.40%	87.25%	84.13%					
22	. Хакамада Ирина Муцуовна	129	6	2	4	2	6	6	8	30	0	6	8	1	2	1	6	6	1	3	1	1	4	0	0	4	2	0	1	1	2	0	1	5	2	2	0	5	0	0					
		0.66%	0.40%	0.17%	0.64%	0.17%	0.52%	0.62%	0.85%	1.50%	0.00%	1.00%	1.95%	0.28%	0.93%	1.02%	1.11%	1.80%	0.46%	0.58%	0.40%	0.13%	0.76%	0.00%	0.00%	0.68%	0.80%	0.00%	0.22%	1.25%	0.44%	0.00%	0.75%	1.07%	0.93%	0.33%	0.00%	0.77%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	2798	208	106	105	221	179	189	129	131	9	67	65	49	96	44	138	45	28	39	19	69	85	59	21	87	54	25	92	10	60	55	16	64	23	97	15	70	15	14					
		14.21%	13.80%	8.87%	16.72%	18.63%	15.40%	19.61%	13.71%	6.56%	6.29%	11.11%	15.85%	13.65%	44.65%	44.90%	25.56%	13.47%	12.79%	7.54%	7.54%	8.95%	16.10%	36.42%	13.55%	14.70%	21.60%	14.29%	20.22%	12.50%	13.19%	14.99%	12.03%	13.73%	10.75%	16.01%	16.30%	10.82%	10.07%	11.11%					
																																													
24	Против всех	213	10	14	5	4	15	32	12	25	0	10	1	0	2	3	14	6	1	6	2	3	2	0	0	0	6	1	4	2	5	5	1	2	2	3	2	7	4	2					
		1.08%	0.66%	1.17%	0.80%	0.34%	1.29%	3.32%	1.28%	1.25%	0.00%	1.66%	0.24%	0.00%	0.93%	3.06%	2.59%	1.80%	0.46%	1.16%	0.79%	0.39%	0.38%	0.00%	0.00%	0.00%	2.40%	0.57%	0.88%	2.50%	1.10%	1.36%	0.75%	0.43%	0.93%	0.50%	2.17%	1.08%	2.68%	1.59%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
