Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Анабарская													
													
Итоги голосования 													
													
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67					
1	"Число избирателей, внесенных в список"	2601	45	624	745	506	69	612					
2	Число полученных избирательных бюллетеней	2600	50	600	740	520	80	610					
3	"Число избирательных бюллетеней, выданных  досрочно"	599	0	201	256	65	0	77					
4	"Число избирательных бюллетеней, выданных в день голосования"	1742	42	359	388	375	67	511					
5	"Число избирательных бюллетеней, выданных вне помещения"	139	0	31	61	30	0	17					
6	Число погашенных избирательных бюллетеней	120	8	9	35	50	13	5					
7	Число избирательных бюллетеней в переносных ящиках	738	0	232	317	95	0	94					
8	Число бюллетеней в стационарных ящиках для голосования	1742	42	359	388	375	67	511					
9	Число недействительных избирательных бюллетеней	29	1	9	9	0	0	10					
10	Число действительных избирательных бюллетеней	2451	41	582	696	470	67	595					
11	Число полученных открепительных  удостоверений	170	20	30	30	30	30	30					
12	Число выданных открепительных удостоверений	101	6	25	23	29	2	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	25	0	7	7	4	0	7					
14	Число неиспользованных открепительных удостоверений	69	14	5	7	1	28	14					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	2	4	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	75	0	11	26	14	2	22					
		3.02%	0.00%	1.86%	3.69%	2.98%	2.99%	3.64%					
19	. Малышкин Олег Александрович	39	3	9	7	2	1	17					
		1.57%	7.14%	1.52%	0.99%	0.43%	1.49%	2.81%					
20	. Миронов Сергей Михайлович	14	0	2	5	4	0	3					
		0.56%	0.00%	0.34%	0.71%	0.85%	0.00%	0.50%					
21	. Путин Владимир Владимирович	1972	33	462	554	387	52	484					
		79.52%	78.57%	78.17%	78.58%	82.34%	77.61%	80.00%					
22	. Хакамада Ирина Муцуовна	152	0	38	56	39	3	16					
		6.13%	0.00%	6.43%	7.94%	8.30%	4.48%	2.64%					
23	. Харитонов Николай Михайлович	153	4	44	35	22	7	41					
		6.17%	9.52%	7.45%	4.96%	4.68%	10.45%	6.78%					
													
24	Против всех	46	1	16	13	2	2	12					
		1.85%	2.38%	2.71%	1.84%	0.43%	2.99%	1.98%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
