Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Кушвинская городская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102					
1	"Число избирателей, внесенных в список"	40334	1464	874	729	2545	2462	2444	2592	2577	98	1371	1596	2789	1146	1162	1207	895	2179	1727	821	179	2259	2398	2335	2485					
2	Число полученных избирательных бюллетеней	35230	1235	715	625	2240	2180	2185	2275	2255	105	1205	1360	2490	970	1005	1040	780	1925	1505	720	160	1995	2050	2060	2150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23101	808	432	340	1699	1606	1533	1622	1601	46	873	758	1827	610	658	633	491	1240	720	386	31	1181	1319	1320	1367					
5	"Число избирательных бюллетеней, выданных вне помещения"	889	82	37	20	14	43	49	39	47	20	29	79	16	30	7	18	35	26	29	33	67	57	48	35	29					
6	Число погашенных избирательных бюллетеней	11240	345	246	265	527	531	603	614	607	39	303	523	647	330	340	389	254	659	756	301	62	757	683	705	754					
7	Число избирательных бюллетеней в переносных ящиках	889	82	37	20	14	43	49	39	47	20	29	79	16	30	7	18	35	26	29	33	67	57	48	35	29					
8	Число бюллетеней в стационарных ящиках для голосования	23097	808	432	340	1699	1606	1533	1618	1601	46	873	758	1827	610	658	633	491	1240	720	386	31	1181	1319	1320	1367					
9	Число недействительных избирательных бюллетеней	291	11	8	3	16	13	15	4	14	4	10	11	19	10	6	21	6	7	8	6	0	32	20	20	27					
10	Число действительных избирательных бюллетеней	23695	879	461	357	1697	1636	1567	1653	1634	62	892	826	1824	630	659	630	520	1259	741	413	98	1206	1347	1335	1369					
11	Число полученных открепительных  удостоверений	750	26	15	13	48	46	47	49	48	2	26	29	53	21	21	22	17	41	32	15	3	42	44	44	46					
12	Число выданных открепительных удостоверений	289	16	8	5	28	34	26	28	17	0	12	10	38	5	5	2	2	13	4	4	1	9	4	14	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	223	5	6	8	9	9	17	21	5	2	9	7	16	11	8	5	6	12	11	28	10	4	5	5	4					
14	Число неиспользованных открепительных удостоверений	461	10	7	8	20	12	21	21	31	2	14	19	15	16	16	20	15	28	28	11	2	33	40	30	42					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	714	26	19	12	50	71	36	51	34	1	27	20	43	20	14	17	20	41	18	10	2	41	39	55	47					
		2.98%	2.92%	4.05%	3.33%	2.92%	4.31%	2.28%	3.08%	2.06%	1.52%	2.99%	2.39%	2.33%	3.12%	2.11%	2.61%	3.80%	3.24%	2.40%	2.39%	2.04%	3.31%	2.85%	4.06%	3.37%					
19	. Малышкин Олег Александрович	595	26	9	7	30	27	32	40	48	1	30	18	55	17	15	23	15	25	18	10	0	42	35	30	42					
		2.48%	2.92%	1.92%	1.94%	1.75%	1.64%	2.02%	2.41%	2.91%	1.52%	3.33%	2.15%	2.98%	2.66%	2.26%	3.53%	2.85%	1.97%	2.40%	2.39%	0.00%	3.39%	2.56%	2.21%	3.01%					
20	. Миронов Сергей Михайлович	131	5	2	1	8	10	7	12	4	0	3	4	17	3	4	2	2	7	3	1	1	15	9	6	5					
		0.55%	0.56%	0.43%	0.28%	0.47%	0.61%	0.44%	0.72%	0.24%	0.00%	0.33%	0.48%	0.92%	0.47%	0.60%	0.31%	0.38%	0.55%	0.40%	0.24%	1.02%	1.21%	0.66%	0.44%	0.36%					
21	. Путин Владимир Владимирович	18696	699	372	272	1317	1274	1221	1309	1283	55	683	667	1463	498	538	503	410	1030	630	356	87	915	1038	1021	1055					
		77.95%	78.54%	79.32%	75.56%	76.88%	77.26%	77.18%	79.00%	77.85%	83.33%	75.72%	79.69%	79.38%	77.81%	80.90%	77.27%	77.95%	81.36%	84.11%	84.96%	88.78%	73.91%	75.93%	75.35%	75.57%					
22	. Хакамада Ирина Муцуовна	687	17	8	8	59	55	52	54	43	1	24	18	50	17	16	18	18	38	14	3	1	32	50	44	47					
		2.86%	1.91%	1.71%	2.22%	3.44%	3.34%	3.29%	3.26%	2.61%	1.52%	2.66%	2.15%	2.71%	2.66%	2.41%	2.76%	3.42%	3.00%	1.87%	0.72%	1.02%	2.58%	3.66%	3.25%	3.37%					
23	. Харитонов Николай Михайлович	2127	64	41	45	156	145	180	151	167	3	105	76	131	60	48	47	43	86	40	25	6	114	128	140	126					
		8.87%	7.19%	8.74%	12.50%	9.11%	8.79%	11.38%	9.11%	10.13%	4.55%	11.64%	9.08%	7.11%	9.38%	7.22%	7.22%	8.17%	6.79%	5.34%	5.97%	6.12%	9.21%	9.36%	10.33%	9.03%					
																															
24	Против всех	745	42	10	12	77	54	39	36	55	1	20	23	65	15	24	20	12	32	18	8	1	47	48	39	47					
		3.11%	4.72%	2.13%	3.33%	4.50%	3.27%	2.47%	2.17%	3.34%	1.52%	2.22%	2.75%	3.53%	2.34%	3.61%	3.07%	2.28%	2.53%	2.40%	1.91%	1.02%	3.80%	3.51%	2.88%	3.37%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
