Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Алексеевская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162					
1	"Число избирателей, внесенных в список"	10263	1109	908	1009	800	258	283	203	151	691	235	114	121	395	340	557	312	97	163	336	182	234	405	246	425	475	214					
2	Число полученных избирательных бюллетеней	10269	1120	915	1000	802	260	270	205	155	695	230	115	120	390	335	560	315	96	165	335	185	240	405	246	425	475	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7405	680	533	614	557	205	255	170	132	428	216	103	112	300	215	513	242	80	160	239	132	169	300	193	317	370	170					
5	"Число избирательных бюллетеней, выданных вне помещения"	375	19	47	43	31	13	0	0	0	20	5	0	0	45	33	0	0	0	0	52	16	17	9	0	0	0	25					
6	Число погашенных избирательных бюллетеней	2489	421	335	343	214	42	15	35	23	247	9	12	8	45	87	47	73	16	5	44	37	54	96	53	108	105	15					
7	Число избирательных бюллетеней в переносных ящиках	375	19	47	43	31	13	0	0	0	20	5	0	0	45	33	0	0	0	0	52	16	17	9	0	0	0	25					
8	Число бюллетеней в стационарных ящиках для голосования	7405	680	533	614	557	205	255	170	132	428	216	103	112	300	215	513	242	80	160	239	132	169	300	193	317	370	170					
9	Число недействительных избирательных бюллетеней	103	11	2	10	7	4	2	21	0	0	24	1	1	0	0	3	2	0	0	0	0	9	1	0	2	2	1					
10	Число действительных избирательных бюллетеней	7677	688	578	647	581	214	253	149	132	448	197	102	111	345	248	510	240	80	160	291	148	177	308	193	315	368	194					
11	Число полученных открепительных  удостоверений	200	21	21	21	21	6	6	3	3	10	3	3	3	7	6	6	6	3	3	6	6	6	6	6	6	6	6					
12	Число выданных открепительных удостоверений	47	9	6	6	3	2	2	0	1	3	0	0	0	2	1	3	2	0	0	0	1	5	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	3	0	0	0	0	0	1	0	1	1	1	2	2	1	1	1	0	1	0	0	2	0	3	0	0					
14	Число неиспользованных открепительных удостоверений	153	12	15	15	18	4	4	3	2	7	3	3	3	5	5	3	4	3	3	6	5	1	5	6	6	6	6					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																	
18	. Глазьев Сергей Юрьевич	197	24	10	13	13	4	2	5	4	21	10	3	1	6	1	13	4	1	0	14	3	6	13	2	6	18	0					
		2.53%	3.43%	1.72%	1.98%	2.21%	1.83%	0.78%	2.94%	3.03%	4.69%	4.52%	2.91%	0.89%	1.74%	0.40%	2.53%	1.65%	1.25%	0.00%	4.81%	2.03%	3.23%	4.21%	1.04%	1.89%	4.86%	0.00%					
19	. Малышкин Олег Александрович	256	21	24	7	23	12	17	7	6	17	6	1	2	11	5	10	12	20	2	5	7	5	9	4	7	12	4					
		3.29%	3.00%	4.14%	1.07%	3.91%	5.50%	6.67%	4.12%	4.55%	3.79%	2.71%	0.97%	1.79%	3.19%	2.02%	1.95%	4.96%	25.00%	1.25%	1.72%	4.73%	2.69%	2.91%	2.07%	2.21%	3.24%	2.05%					
20	. Миронов Сергей Михайлович	35	3	4	4	4	1	3	0	0	1	1	0	0	0	4	1	2	1	0	2	0	0	0	2	0	1	1					
		0.45%	0.43%	0.69%	0.61%	0.68%	0.46%	1.18%	0.00%	0.00%	0.22%	0.45%	0.00%	0.00%	0.00%	1.61%	0.19%	0.83%	1.25%	0.00%	0.69%	0.00%	0.00%	0.00%	1.04%	0.00%	0.27%	0.51%					
21	. Путин Владимир Владимирович	5206	489	358	469	405	140	194	124	109	242	153	91	89	256	177	366	133	48	136	207	93	106	191	92	182	213	143					
		66.92%	69.96%	61.72%	71.39%	68.88%	64.22%	76.08%	72.94%	82.58%	54.02%	69.23%	88.35%	79.46%	74.20%	71.37%	71.35%	54.96%	60.00%	85.00%	71.13%	62.84%	56.99%	61.81%	47.67%	57.41%	57.57%	73.33%					
22	. Хакамада Ирина Муцуовна	103	5	13	7	4	4	1	0	0	14	2	0	0	3	3	7	4	0	1	3	6	14	2	4	2	2	2					
		1.32%	0.72%	2.24%	1.07%	0.68%	1.83%	0.39%	0.00%	0.00%	3.12%	0.90%	0.00%	0.00%	0.87%	1.21%	1.36%	1.65%	0.00%	0.62%	1.03%	4.05%	7.53%	0.65%	2.07%	0.63%	0.54%	1.03%					
23	. Харитонов Николай Михайлович	1760	127	152	131	123	47	35	12	13	139	25	7	18	66	52	109	83	6	20	56	38	45	91	89	114	120	42					
		22.62%	18.17%	26.21%	19.94%	20.92%	21.56%	13.73%	7.06%	9.85%	31.03%	11.31%	6.80%	16.07%	19.13%	20.97%	21.25%	34.30%	7.50%	12.50%	19.24%	25.68%	24.19%	29.45%	46.11%	35.96%	32.43%	21.54%					
																																	
24	Против всех	120	19	17	16	9	6	1	1	0	14	0	0	1	3	6	4	2	4	1	4	1	1	2	0	4	2	2					
		1.54%	2.72%	2.93%	2.44%	1.53%	2.75%	0.39%	0.59%	0.00%	3.12%	0.00%	0.00%	0.89%	0.87%	2.42%	0.78%	0.83%	5.00%	0.62%	1.37%	0.68%	0.54%	0.65%	0.00%	1.26%	0.54%	1.03%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
