Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Ульяновская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677					
1	"Число избирателей, внесенных в список"	6648	54	123	148	199	148	123	120	261	174	181	139	873	2450	231	719	116	131	296	162					
2	Число полученных избирательных бюллетеней	6674	52	121	146	195	146	125	122	260	179	186	139	851	2504	228	711	114	131	296	168					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3732	44	85	74	153	36	84	90	113	80	94	77	509	1321	108	481	58	54	184	87					
5	"Число избирательных бюллетеней, выданных вне помещения"	817	6	17	44	0	72	15	9	84	56	43	29	31	186	71	37	24	44	29	20					
6	Число погашенных избирательных бюллетеней	2125	2	19	28	42	38	26	23	63	43	49	33	311	997	49	193	32	33	83	61					
7	Число избирательных бюллетеней в переносных ящиках	817	6	17	44	0	72	15	9	84	56	43	29	31	186	71	37	24	44	29	20					
8	Число бюллетеней в стационарных ящиках для голосования	3732	44	85	74	153	36	84	90	113	80	94	77	509	1321	108	481	58	54	184	87					
9	Число недействительных избирательных бюллетеней	38	0	2	1	0	2	0	0	1	2	1	2	6	13	1	6	1	0	0	0					
10	Число действительных избирательных бюллетеней	4511	50	100	117	153	106	99	99	196	134	136	104	534	1494	178	512	81	98	213	107					
11	Число полученных открепительных  удостоверений	89	2	3	2	3	2	2	2	2	2	2	2	15	30	4	5	2	3	2	4					
12	Число выданных открепительных удостоверений	44	0	0	0	0	0	0	0	0	1	0	0	14	27	0	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	3	2	2	1	1	0	0	2	1	0	2	2	8	1	0	1	1	4	1					
14	Число неиспользованных открепительных удостоверений	45	2	3	2	3	2	2	2	2	1	2	2	1	3	4	3	2	3	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	1	0	0	0	1	7	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	109	1	5	2	3	3	0	0	4	5	0	9	14	41	3	9	0	1	5	4					
		2.40%	2.00%	4.90%	1.69%	1.96%	2.78%	0.00%	0.00%	2.03%	3.68%	0.00%	8.49%	2.59%	2.72%	1.68%	1.74%	0.00%	1.02%	2.35%	3.74%					
19	. Малышкин Олег Александрович	93	3	1	8	4	5	1	2	9	4	3	1	17	22	3	2	1	2	2	3					
		2.04%	6.00%	0.98%	6.78%	2.61%	4.63%	1.01%	2.02%	4.57%	2.94%	2.19%	0.94%	3.15%	1.46%	1.68%	0.39%	1.22%	2.04%	0.94%	2.80%					
20	. Миронов Сергей Михайлович	19	0	0	2	2	0	0	0	3	1	1	0	1	6	2	1	0	0	0	0					
		0.42%	0.00%	0.00%	1.69%	1.31%	0.00%	0.00%	0.00%	1.52%	0.74%	0.73%	0.00%	0.19%	0.40%	1.12%	0.19%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3508	34	74	80	116	94	97	70	141	96	122	86	374	1159	153	428	65	78	170	71					
		77.12%	68.00%	72.55%	67.80%	75.82%	87.04%	97.98%	70.71%	71.57%	70.59%	89.05%	81.13%	69.26%	76.91%	85.47%	82.63%	79.27%	79.59%	79.81%	66.36%					
22	. Хакамада Ирина Муцуовна	46	0	1	0	0	0	0	2	2	1	0	0	6	17	0	7	0	0	7	3					
		1.01%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	2.02%	1.02%	0.74%	0.00%	0.00%	1.11%	1.13%	0.00%	1.35%	0.00%	0.00%	3.29%	2.80%					
23	. Харитонов Николай Михайлович	676	10	19	24	28	4	1	24	35	25	10	8	107	228	17	54	15	16	28	23					
		14.86%	20.00%	18.63%	20.34%	18.30%	3.70%	1.01%	24.24%	17.77%	18.38%	7.30%	7.55%	19.81%	15.13%	9.50%	10.42%	18.29%	16.33%	13.15%	21.50%					
																										
24	Против всех	60	2	0	1	0	0	0	1	2	2	0	0	15	21	0	11	0	1	1	3					
		1.32%	4.00%	0.00%	0.85%	0.00%	0.00%	0.00%	1.01%	1.02%	1.47%	0.00%	0.00%	2.78%	1.39%	0.00%	2.12%	0.00%	1.02%	0.47%	2.80%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
