Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Белоярская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
1	"Число избирателей, внесенных в список"	18795	1225	1668	1425	1552	1065	1271	1360	1539	1477	436	828	1036	961	863	1136	953					
2	Число полученных избирательных бюллетеней	17311	1110	1500	1300	1400	900	1150	1200	1400	1300	400	830	1092	961	858	1010	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	496	0	0	0	0	0	6	0	0	0	0	0	6	0	0	271	213					
4	"Число избирательных бюллетеней, выданных в день голосования"	13468	799	1116	997	1015	592	787	972	1077	958	338	828	1012	954	858	614	551					
5	"Число избирательных бюллетеней, выданных вне помещения"	298	2	3	9	6	69	16	13	23	3	0	0	16	0	0	100	38					
6	Число погашенных избирательных бюллетеней	3049	309	381	294	379	239	341	215	300	339	62	2	58	7	0	25	98					
7	Число избирательных бюллетеней в переносных ящиках	794	2	3	9	6	69	22	13	23	3	0	0	22	0	0	371	251					
8	Число бюллетеней в стационарных ящиках для голосования	13468	799	1116	997	1015	592	787	972	1077	958	338	828	1012	954	858	614	551					
9	Число недействительных избирательных бюллетеней	78	10	7	5	6	1	3	8	3	4	1	4	6	5	2	10	3					
10	Число действительных избирательных бюллетеней	14184	791	1112	1001	1015	660	806	977	1097	957	337	824	1028	949	856	975	799					
11	Число полученных открепительных  удостоверений	348	17	15	31	30	15	28	24	28	18	10	40	40	20	10	10	12					
12	Число выданных открепительных удостоверений	317	15	15	27	29	12	25	22	28	13	5	40	40	20	7	8	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	108	0	20	4	1	2	1	14	15	3	2	11	6	18	7	3	1					
14	Число неиспользованных открепительных удостоверений	31	2	0	4	1	3	3	2	0	5	5	0	0	0	3	2	1					
15	"Число открепительных удостоверений, выданных в ТИК"	31	1	7	2	4	2	2	1	3	2	0	4	1	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	374	28	40	30	32	21	32	19	43	23	11	9	18	17	9	26	16					
		2.62%	3.50%	3.57%	2.98%	3.13%	3.18%	3.96%	1.93%	3.91%	2.39%	3.25%	1.09%	1.74%	1.78%	1.05%	2.64%	2.00%					
19	. Малышкин Олег Александрович	308	17	26	20	27	25	20	25	11	30	10	15	19	14	14	23	12					
		2.16%	2.12%	2.32%	1.99%	2.64%	3.78%	2.47%	2.54%	1.00%	3.12%	2.96%	1.81%	1.84%	1.47%	1.63%	2.34%	1.50%					
20	. Миронов Сергей Михайлович	121	4	6	10	9	4	4	12	25	4	0	6	6	5	5	13	8					
		0.85%	0.50%	0.54%	0.99%	0.88%	0.61%	0.49%	1.22%	2.27%	0.42%	0.00%	0.72%	0.58%	0.52%	0.58%	1.32%	1.00%					
21	. Путин Владимир Владимирович	11694	656	891	818	798	530	659	773	857	767	280	697	873	819	762	815	699					
		81.99%	81.90%	79.62%	81.31%	78.16%	80.18%	81.46%	78.48%	77.91%	79.81%	82.84%	84.18%	84.43%	85.85%	88.81%	82.74%	87.16%					
22	. Хакамада Ирина Муцуовна	672	41	64	44	66	24	35	61	76	54	12	44	55	34	21	21	20					
		4.71%	5.12%	5.72%	4.37%	6.46%	3.63%	4.33%	6.19%	6.91%	5.62%	3.55%	5.31%	5.32%	3.56%	2.45%	2.13%	2.49%					
23	. Харитонов Николай Михайлович	540	16	43	42	40	33	33	51	46	50	16	25	14	24	23	56	28					
		3.79%	2.00%	3.84%	4.17%	3.92%	4.99%	4.08%	5.18%	4.18%	5.20%	4.73%	3.02%	1.35%	2.52%	2.68%	5.69%	3.49%					
																							
24	Против всех	475	29	42	37	43	23	23	36	39	29	8	28	43	36	22	21	16					
		3.33%	3.62%	3.75%	3.68%	4.21%	3.48%	2.84%	3.65%	3.55%	3.02%	2.37%	3.38%	4.16%	3.77%	2.56%	2.13%	2.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
