Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Золотухинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486					
1	"Число избирателей, внесенных в список"	20346	475	156	463	192	314	635	1115	228	274	160	293	355	276	151	479	328	425	122	383	1006	839	967	1050	590	209	269	935	1367	646	382	78	350	304	1044	977	743	496	306	440	136	165	223					
2	Число полученных избирательных бюллетеней	18445	434	144	421	177	288	581	1010	213	250	146	263	322	255	133	426	296	388	114	357	943	770	874	965	538	194	252	848	1227	578	348	72	315	266	904	866	668	450	280	398	118	150	203					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11808	306	116	341	107	185	255	569	89	177	104	144	239	167	60	324	164	219	66	206	700	515	600	603	377	122	190	546	745	175	234	55	222	220	638	603	423	327	140	277	79	63	116					
5	"Число избирательных бюллетеней, выданных вне помещения"	3177	62	25	58	48	46	159	163	61	60	40	79	62	56	65	102	132	168	43	106	52	47	43	69	125	36	61	69	103	262	79	13	87	39	26	15	80	59	88	83	32	87	87					
6	Число погашенных избирательных бюллетеней	3460	66	3	22	22	57	167	278	63	13	2	40	21	32	8	0	0	1	5	45	191	208	231	293	36	36	1	233	379	141	35	4	6	7	240	248	165	64	52	38	7	0	0					
7	Число избирательных бюллетеней в переносных ящиках	3177	62	25	58	48	46	159	163	61	60	40	79	62	56	65	102	132	168	43	106	52	47	43	69	125	36	61	69	103	262	79	13	87	39	26	15	80	59	88	83	32	87	87					
8	Число бюллетеней в стационарных ящиках для голосования	11808	306	116	341	107	185	255	569	89	177	104	144	239	167	60	324	164	219	66	206	700	515	600	603	377	122	190	546	745	175	234	55	222	220	638	603	423	327	140	277	79	63	116					
9	Число недействительных избирательных бюллетеней	187	15	0	3	5	3	5	7	0	3	2	3	4	5	4	25	0	2	1	7	7	7	3	13	5	6	3	3	8	3	1	0	5	1	1	9	3	2	2	5	2	1	3					
10	Число действительных избирательных бюллетеней	14798	353	141	396	150	228	409	725	150	234	142	220	297	218	121	401	296	385	108	305	745	555	640	659	497	152	248	612	840	434	312	68	304	258	663	609	500	384	226	355	109	149	200					
11	Число полученных открепительных  удостоверений	228	4	2	1	2	3	6	11	2	2	2	3	4	3	1	5	3	2	2	4	10	10	16	10	2	2	6	10	15	6	1	0	2	3	32	14	7	5	3	5	0	2	5					
12	Число выданных открепительных удостоверений	155	3	2	0	0	2	2	2	1	2	1	2	4	3	1	2	0	0	0	3	9	8	9	10	2	2	4	5	6	4	1	0	1	2	25	12	7	5	3	5	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	0	2	5	1	0	1	2	1	1	1	1	3	2	4	8	4	3	0	1	2	15	8	3	4	1	2	2	9	4	0	1	3	0	8	3	2	0	4	3	3	2	2					
14	Число неиспользованных открепительных удостоверений	73	1	0	1	2	1	4	9	1	0	1	1	0	0	0	3	3	2	2	1	1	2	7	0	0	0	2	5	9	2	0	0	1	1	7	2	0	0	0	0	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	316	5	0	4	1	3	11	13	2	1	0	5	3	5	0	6	4	2	1	4	30	11	25	31	0	1	6	11	24	6	15	3	0	4	23	20	13	12	8	0	3	0	0					
		2.11%	1.36%	0.00%	1.00%	0.65%	1.30%	2.66%	1.78%	1.33%	0.42%	0.00%	2.24%	1.00%	2.24%	0.00%	1.41%	1.35%	0.52%	0.92%	1.28%	3.99%	1.96%	3.89%	4.61%	0.00%	0.63%	2.39%	1.79%	2.83%	1.37%	4.79%	4.41%	0.00%	1.54%	3.46%	3.24%	2.58%	3.11%	3.51%	0.00%	2.70%	0.00%	0.00%					
19	. Малышкин Олег Александрович	233	2	0	6	2	16	8	19	6	1	2	1	5	7	1	6	2	3	0	2	16	8	10	9	9	3	8	14	12	5	4	2	2	2	8	16	0	7	2	0	3	2	2					
