Выборы Президента Российской Федерации																																															
Дата голосования: 02.03.2008																																															
																																															
Наименование Избирательной комиссии:    Реутовская городская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
	Число участковых избирательных комиссий	40																																													
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	40																																													
																																															
		Сумма	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502					
1	"Число избирателей, включенных в списки избирателей"	62845	2023	1590	1552	1460	1722	1498	1661	1733	1381	1532	1658	1405	1656	1720	1325	1539	1460	1521	1553	1703	1875	1642	1463	1603	1497	1609	1485	1518	1428	1470	1448	1566	1512	1562	1365	2116	1495	1518	1512	1469					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	58600	1900	1500	1500	1300	1600	1400	1500	1600	1300	1400	1500	1300	1600	1600	1200	1500	1400	1400	1500	1600	1700	1600	1400	1500	1400	1500	1400	1400	1300	1300	1400	1500	1400	1500	1300	1800	1400	1400	1400	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	49591	1645	1420	1291	1150	1578	1377	1479	1478	1089	1297	1376	1129	1234	1319	1050	1131	1012	1077	1163	1485	1412	1400	1169	1279	1070	1236	1272	1302	1023	1161	1106	1292	1012	1095	1090	1468	1178	1118	1139	989					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2063	55	53	22	33	18	18	21	12	17	19	21	17	20	28	24	102	160	76	147	115	50	22	97	110	80	40	45	34	43	40	47	65	36	36	60	98	48	22	39	73					
6	Число погашенных избирательных бюллетеней	6946	200	27	187	117	4	5	0	110	194	84	103	154	346	253	126	267	228	247	190	0	238	178	134	111	250	224	83	64	234	99	247	143	352	369	150	234	174	260	222	338					
