Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Реутовская городская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424					
1	"Число избирателей, внесенных в список"	59134	2416	2560	2291	2339	2523	2434	2490	2305	2447	2213	2133	2395	2358	2608	2285	2371	2521	2281	2402	2377	2369	2195	2240	2300	2281					
2	Число полученных избирательных бюллетеней	55350	2300	2400	2200	2200	2300	2300	2300	2250	2100	2100	1900	2200	2250	2500	2200	2200	2300	2100	2250	2200	2100	2100	2150	2200	2250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33645	1397	1546	1397	1349	1487	1457	1425	1335	1435	1255	1187	1322	1319	1478	1333	1344	1293	1269	1264	1256	1254	1273	1354	1393	1223					
5	"Число избирательных бюллетеней, выданных вне помещения"	746	15	23	15	10	9	7	14	17	18	29	19	23	21	32	34	34	58	31	62	75	31	32	67	26	44					
6	Число погашенных избирательных бюллетеней	20959	888	831	788	841	804	836	861	898	647	816	694	855	910	990	833	822	949	800	924	869	815	795	729	781	983					
7	Число избирательных бюллетеней в переносных ящиках	746	15	23	15	10	9	7	14	17	18	29	19	23	21	32	34	34	58	31	62	75	31	32	67	26	44					
8	Число бюллетеней в стационарных ящиках для голосования	33571	1395	1543	1397	1339	1487	1450	1425	1335	1435	1255	1187	1317	1317	1478	1333	1339	1293	1266	1264	1256	1223	1273	1349	1392	1223					
9	Число недействительных избирательных бюллетеней	215	7	4	7	1	13	0	6	10	11	14	17	9	7	5	4	13	4	21	6	12	8	10	8	4	14					
10	Число действительных избирательных бюллетеней	34102	1403	1562	1405	1348	1483	1457	1433	1342	1442	1270	1189	1331	1331	1505	1363	1360	1347	1276	1320	1319	1246	1295	1408	1414	1253					
11	Число полученных открепительных  удостоверений	1250	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	598	22	17	24	22	30	23	35	18	32	25	13	25	23	23	23	23	26	29	21	17	27	27	32	23	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	377	9	14	14	10	11	17	10	18	15	9	14	12	8	16	13	24	41	9	22	16	18	17	12	15	13					
14	Число неиспользованных открепительных удостоверений	652	28	33	26	28	20	27	15	32	18	25	37	25	27	27	27	27	24	21	29	33	23	23	18	27	32					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	2256	120	133	90	96	91	113	115	95	120	79	57	78	80	84	97	88	74	67	80	73	73	105	84	104	60					
		6.57%	8.51%	8.49%	6.37%	7.12%	6.08%	7.76%	7.99%	7.03%	8.26%	6.15%	4.73%	5.82%	5.98%	5.56%	7.10%	6.41%	5.48%	5.17%	6.03%	5.48%	5.82%	8.05%	5.93%	7.33%	4.74%					
19	. Малышкин Олег Александрович	424	13	17	16	14	23	15	9	26	18	14	20	12	18	25	16	22	15	18	15	24	12	7	16	21	18					
		1.24%	0.92%	1.09%	1.13%	1.04%	1.54%	1.03%	0.63%	1.92%	1.24%	1.09%	1.66%	0.90%	1.35%	1.66%	1.17%	1.60%	1.11%	1.39%	1.13%	1.80%	0.96%	0.54%	1.13%	1.48%	1.42%					
20	. Миронов Сергей Михайлович	186	6	12	14	7	13	14	17	7	14	6	5	5	4	5	9	5	5	3	3	4	5	7	3	8	5					
		0.54%	0.43%	0.77%	0.99%	0.52%	0.87%	0.96%	1.18%	0.52%	0.96%	0.47%	0.41%	0.37%	0.30%	0.33%	0.66%	0.36%	0.37%	0.23%	0.23%	0.30%	0.40%	0.54%	0.21%	0.56%	0.39%					
21	. Путин Владимир Владимирович	23830	973	1069	985	913	1053	1004	988	922	964	835	866	944	966	1095	948	932	940	962	921	948	873	881	988	932	928					
		69.44%	69.01%	68.26%	69.76%	67.68%	70.39%	68.91%	68.66%	68.20%	66.35%	65.03%	71.81%	70.45%	72.20%	72.52%	69.35%	67.88%	69.58%	74.17%	69.46%	71.22%	69.62%	67.51%	69.77%	65.73%	73.24%					
22	. Хакамада Ирина Муцуовна	2143	74	98	80	139	117	98	90	93	84	80	55	88	58	91	76	94	88	81	108	72	74	72	80	89	64					
		6.24%	5.25%	6.26%	5.67%	10.30%	7.82%	6.73%	6.25%	6.88%	5.78%	6.23%	4.56%	6.57%	4.33%	6.03%	5.56%	6.85%	6.51%	6.25%	8.14%	5.41%	5.90%	5.52%	5.65%	6.28%	5.05%					
23	. Харитонов Николай Михайлович	3143	100	141	140	95	103	114	120	134	137	156	120	122	128	137	122	130	141	77	103	134	133	140	137	170	109					
		9.16%	7.09%	9.00%	9.92%	7.04%	6.89%	7.82%	8.34%	9.91%	9.43%	12.15%	9.95%	9.10%	9.57%	9.07%	8.92%	9.47%	10.44%	5.94%	7.77%	10.07%	10.61%	10.73%	9.68%	11.99%	8.60%					
																																
24	Против всех	2120	117	92	80	84	83	99	94	65	105	100	66	82	77	68	95	89	84	68	90	64	76	83	100	90	69					
