Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Малодербетовская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список избирателей"	7981	391	58	1691	1714	1624	615	1161	164	205	257	101					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8500	426	69	1780	1817	1655	667	1252	200	226	288	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4233	263	53	725	860	779	373	656	120	133	183	88					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	426	34	1	97	52	68	70	71	12	13	4	4					
6	Число погашенных избирательных бюллетеней	3841	129	15	958	905	808	224	525	68	80	101	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	426	34	1	97	52	68	70	71	12	13	4	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4233	263	53	725	860	779	373	656	120	133	183	88					
9	Число недействительных избирательных бюллетеней	86	2	0	18	19	20	9	15	1	2	0	0					
10	Число действительных избирательных бюллетеней	4573	295	54	804	893	827	434	712	131	144	187	92					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	378	28	10	65	54	67	23	53	23	17	20	18					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	378	28	10	65	54	67	23	53	23	17	20	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	7	9	12	11	31	4	0	5	8	5	4					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	2	0	5	6	5	0	2	0	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	515	11	1	111	124	89	53	58	15	24	29	0					
		11.05%	3.70%	1.85%	13.50%	13.60%	10.51%	11.96%	7.98%	11.36%	16.44%	15.51%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	245	2	1	41	54	36	20	84	0	1	6	0					
		5.26%	0.67%	1.85%	4.99%	5.92%	4.25%	4.51%	11.55%	0.00%	0.68%	3.21%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	0	0	7	13	11	2	5	0	0	0	0					
		0.82%	0.00%	0.00%	0.85%	1.43%	1.30%	0.45%	0.69%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1213	55	2	216	278	291	84	187	22	30	34	14					
		26.04%	18.52%	3.70%	26.28%	30.48%	34.36%	18.96%	25.72%	16.67%	20.55%	18.18%	15.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	1	0	21	13	7	3	1	1	4	1	0					
		1.12%	0.34%	0.00%	2.55%	1.43%	0.83%	0.68%	0.14%	0.76%	2.74%	0.53%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2493	226	50	406	406	387	270	377	93	84	116	78					
		53.51%	76.09%	92.59%	49.39%	44.52%	45.69%	60.95%	51.86%	70.45%	57.53%	62.03%	84.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	17	0	0	2	5	6	2	0	0	1	1	0					
		0.36%	0.00%	0.00%	0.24%	0.55%	0.71%	0.45%	0.00%	0.00%	0.68%	0.53%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
