Выборы Президента Российской Федерации																																												
																																												
"Наименование Избирательной комиссии:    Архангельск, Октябрьская"																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88					
1	"Число избирателей, внесенных в список"	73434	2965	2768	2410	2146	2523	2253	2320	2116	2767	2660	2418	2772	2537	2273	2410	2058	2468	2692	2736	2587	2735	2853	2736	1493	1908	2160	1999	2607	2801	82	145	767	237	46	256	185	545					
2	Число полученных избирательных бюллетеней	66674	2650	2500	2200	1900	2300	2050	2100	1900	2500	2400	2200	2550	2300	2050	2200	1850	2250	2500	2450	2400	2500	2450	2500	1350	1750	2000	1850	2300	2550	82	150	657	240	45	230	200	570					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	43943	1708	1617	1555	1238	1589	1549	1497	1356	1523	1511	1567	1593	1502	1492	1475	1331	1578	1703	1631	1648	1565	1532	1618	927	1090	1261	848	1336	1502	82	49	395	166	43	182	139	545					
5	"Число избирательных бюллетеней, выданных вне помещения"	1346	21	24	29	23	40	34	21	16	68	54	14	33	33	31	49	35	18	29	35	33	12	30	30	27	22	45	63	14	55	0	96	211	41	2	24	34	0					
6	Число погашенных избирательных бюллетеней	21385	921	859	616	639	671	467	582	528	909	835	619	924	765	527	676	484	654	768	784	719	923	888	852	396	638	694	939	950	993	0	5	51	33	0	24	27	25					
7	Число избирательных бюллетеней в переносных ящиках	1346	21	24	29	23	40	34	21	16	68	54	14	33	33	31	49	35	18	29	35	33	12	30	30	27	22	45	63	14	55	0	96	211	41	2	24	34	0					
8	Число бюллетеней в стационарных ящиках для голосования	43874	1708	1615	1554	1235	1570	1546	1496	1355	1520	1511	1561	1587	1501	1489	1469	1329	1572	1703	1629	1648	1565	1532	1616	927	1090	1259	848	1336	1502	82	49	395	166	43	182	139	545					
9	Число недействительных избирательных бюллетеней	184	8	9	5	0	4	6	4	2	10	6	7	5	6	6	6	3	0	6	9	7	3	14	7	2	3	4	12	11	9	0	1	2	1	0	4	0	2					
10	Число действительных избирательных бюллетеней	45036	1721	1630	1578	1258	1606	1574	1513	1369	1578	1559	1568	1615	1528	1514	1512	1361	1590	1726	1655	1674	1574	1548	1639	952	1109	1300	899	1339	1548	82	144	604	206	45	202	173	543					
11	Число полученных открепительных  удостоверений	1165	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	36	40	40	40	40	49	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	714	23	36	17	26	28	17	21	19	22	24	26	26	32	28	29	15	30	27	30	40	20	22	20	12	12	21	19	28	44	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	987	22	28	9	17	16	16	22	29	7	14	24	28	42	33	11	10	17	30	31	26	21	32	15	7	18	14	12	29	27	8	3	30	31	5	17	26	260					
14	Число неиспользованных открепительных удостоверений	451	17	4	23	14	12	23	19	21	18	16	14	14	8	12	11	25	10	13	10	0	20	18	20	24	28	19	21	12	5	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	27	0	0	0	3	3	0	1	2	1	0	2	3	0	1	0	1	2	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	1721	67	56	57	48	72	69	73	44	64	46	49	64	58	87	60	63	82	51	71	66	62	38	50	40	57	57	21	47	52	2	2	19	7	0	14	3	3					
		3.81%	3.88%	3.42%	3.60%	3.82%	4.47%	4.37%	4.81%	3.21%	4.03%	2.94%	3.11%	3.95%	3.78%	5.72%	3.95%	4.62%	5.16%	2.94%	4.27%	3.93%	3.93%	2.43%	3.04%	4.19%	5.13%	4.37%	2.31%	3.48%	3.34%	2.44%	1.38%	3.14%	3.38%	0.00%	6.80%	1.73%	0.55%					
