Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Тамалинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602					
1	"Число избирателей, внесенных в список"	14901	1935	1980	2070	669	574	330	422	861	286	435	419	413	440	461	439	398	433	417	761	552	606					
2	Число полученных избирательных бюллетеней	14976	1893	1974	2048	693	574	327	427	868	284	438	426	425	454	462	436	400	445	433	770	568	631					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9862	1331	1317	1572	481	295	238	287	532	198	302	286	225	317	306	229	233	276	266	421	378	372					
5	"Число избирательных бюллетеней, выданных вне помещения"	2947	181	208	147	47	235	67	88	253	76	79	61	153	106	136	145	124	130	117	254	147	193					
6	Число погашенных избирательных бюллетеней	2167	381	449	329	165	44	22	52	83	10	57	79	47	31	20	62	43	39	50	95	43	66					
7	Число избирательных бюллетеней в переносных ящиках	2947	181	208	147	47	235	67	88	253	76	79	61	153	106	136	145	124	130	117	254	147	193					
8	Число бюллетеней в стационарных ящиках для голосования	9862	1331	1317	1572	481	295	238	287	532	198	302	286	225	317	306	229	233	276	266	421	378	372					
9	Число недействительных избирательных бюллетеней	138	10	7	10	8	1	1	0	5	2	1	1	11	11	2	0	1	5	6	27	13	16					
10	Число действительных избирательных бюллетеней	12671	1502	1518	1709	520	529	304	375	780	272	380	346	367	412	440	374	356	401	377	648	512	549					
11	Число полученных открепительных  удостоверений	198	25	25	30	24	7	3	5	6	3	5	5	5	5	5	5	5	8	5	7	5	10					
12	Число выданных открепительных удостоверений	103	13	15	11	13	0	0	5	2	3	3	1	5	3	2	0	3	8	1	5	3	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	4	4	2	0	2	2	0	2	1	1	1	0	0	0	2	0	1	1	0	2	1					
14	Число неиспользованных открепительных удостоверений	95	12	10	19	11	7	3	0	4	0	2	4	0	2	3	5	2	0	4	2	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	196	23	43	36	6	5	5	11	6	5	6	3	1	3	14	3	8	7	1	4	6	0					
		1.53%	1.52%	2.82%	2.09%	1.14%	0.94%	1.64%	2.93%	0.76%	1.82%	1.57%	0.86%	0.26%	0.71%	3.17%	0.80%	2.24%	1.72%	0.26%	0.59%	1.14%	0.00%					
19	. Малышкин Олег Александрович	346	25	31	40	15	12	8	7	12	23	12	10	20	9	5	9	11	12	4	29	35	17					
		2.70%	1.65%	2.03%	2.33%	2.84%	2.26%	2.62%	1.87%	1.53%	8.39%	3.15%	2.88%	5.29%	2.13%	1.13%	2.41%	3.08%	2.96%	1.04%	4.30%	6.67%	3.01%					
20	. Миронов Сергей Михайлович	78	11	14	8	2	2	0	1	1	3	3	3	5	4	2	4	3	0	1	4	1	6					
		0.61%	0.73%	0.92%	0.47%	0.38%	0.38%	0.00%	0.27%	0.13%	1.09%	0.79%	0.86%	1.32%	0.95%	0.45%	1.07%	0.84%	0.00%	0.26%	0.59%	0.19%	1.06%					
21	. Путин Владимир Владимирович	9560	1144	1160	1364	355	410	229	284	690	189	249	216	256	339	333	231	216	316	340	490	359	390					
		74.64%	75.66%	76.07%	79.35%	67.23%	77.36%	75.08%	75.73%	87.90%	68.98%	65.35%	62.25%	67.72%	80.14%	75.34%	61.76%	60.50%	77.83%	88.77%	72.59%	68.38%	69.03%					
22	. Хакамада Ирина Муцуовна	156	26	18	15	16	6	1	2	4	2	4	5	2	1	7	18	10	2	1	8	3	5					
		1.22%	1.72%	1.18%	0.87%	3.03%	1.13%	0.33%	0.53%	0.51%	0.73%	1.05%	1.44%	0.53%	0.24%	1.58%	4.81%	2.80%	0.49%	0.26%	1.19%	0.57%	0.88%					
23	. Харитонов Николай Михайлович	2144	249	221	235	116	90	57	65	61	41	99	100	76	54	70	93	100	62	27	98	105	125					
		16.74%	16.47%	14.49%	13.67%	21.97%	16.98%	18.69%	17.33%	7.77%	14.96%	25.98%	28.82%	20.11%	12.77%	15.84%	24.87%	28.01%	15.27%	7.05%	14.52%	20.00%	22.12%					
																												
24	Против всех	191	24	31	11	10	4	4	5	6	9	7	9	7	2	9	16	8	2	3	15	3	6					
		1.49%	1.59%	2.03%	0.64%	1.89%	0.75%	1.31%	1.33%	0.76%	3.28%	1.84%	2.59%	1.85%	0.47%	2.04%	4.28%	2.24%	0.49%	0.78%	2.22%	0.57%	1.06%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
