Выборы Президента Российской Федерации																																																																				
																																																																				
"Наименование Избирательной комиссии:    Ижевск, Октябрьская"																																																																				
																																																																				
Итоги голосования 																																																																				
																																																																				
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361					
1	"Число избирателей, внесенных в список"	118437	2793	2837	2866	2212	1826	2651	2983	2951	2945	2804	2989	3170	2924	2731	2741	1837	2684	1922	1949	1700	1219	2101	1112	1460	858	876	1298	1774	1193	2348	1444	1534	1579	2845	2144	2550	2562	2407	1943	2707	2136	2572	2992	2847	2779	2978	2355	2807	2199	647	356	448	249	1177	194	2553	144	1326	62	97	50					
2	Число полученных избирательных бюллетеней	108080	2500	2600	2600	2000	1700	2400	2700	2700	2600	2500	2700	2700	2700	2500	2500	1700	2400	1800	1800	1550	1100	1900	1000	1300	800	800	1200	1600	1600	2100	1300	1400	1400	2600	1900	2400	2300	2200	1800	2500	2000	2400	2700	2600	2500	2500	2200	2500	2000	550	300	400	300	1050	200	2400	145	1200	85	100	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	73394	1640	1717	1698	1411	1101	1624	1894	1900	1668	1662	1764	1851	1681	1790	1704	1078	1589	1198	1221	1130	767	1368	583	964	576	524	833	1126	1173	1487	910	924	1016	1912	1202	1650	1565	1601	1155	1576	1410	1649	1798	1748	1763	1895	1198	1876	1362	66	186	274	238	731	187	1685	95	799	60	91	50					
5	"Число избирательных бюллетеней, выданных вне помещения"	1177	28	18	21	12	11	16	23	11	21	8	34	16	26	11	11	17	44	19	16	8	11	37	9	9	9	7	15	43	20	32	27	20	17	25	17	21	24	15	16	26	13	11	17	16	20	6	12	10	10	242	7	0	0	4	0	12	3	23	0	0	0					
6	Число погашенных избирательных бюллетеней	33509	832	865	881	577	588	760	783	789	911	830	902	833	993	699	785	605	767	583	563	412	322	495	408	327	215	269	352	431	407	581	363	456	367	663	681	729	711	584	629	898	577	740	885	836	717	599	990	614	628	242	107	126	62	315	13	703	47	378	25	9	50					
7	Число избирательных бюллетеней в переносных ящиках	1177	28	18	21	12	11	16	23	11	21	8	34	16	26	11	11	17	44	19	16	8	11	37	9	9	9	7	15	43	20	32	27	20	17	25	17	21	24	15	16	26	13	11	17	16	20	6	12	10	10	242	7	0	0	4	0	12	3	23	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	73307	1640	1717	1698	1411	1100	1622	1894	1900	1667	1662	1762	1851	1681	1782	1700	1078	1589	1197	1208	1130	766	1331	583	964	576	524	833	1125	1173	1487	909	924	1016	1912	1202	1650	1556	1601	1155	1576	1410	1647	1798	1748	1763	1891	1198	1876	1362	66	186	274	238	731	187	1685	95	799	60	91	50					
9	Число недействительных избирательных бюллетеней	610	9	9	34	6	6	20	23	24	10	9	23	6	17	0	9	17	13	13	12	12	5	9	12	3	3	4	5	9	10	0	11	4	13	20	16	10	16	7	3	19	7	6	8	22	8	15	9	12	10	2	5	5	7	5	5	14	7	7	3	2	0					
10	Число действительных избирательных бюллетеней	73874	1659	1726	1685	1417	1105	1618	1894	1887	1678	1661	1773	1861	1690	1793	1702	1078	1620	1203	1212	1126	772	1359	580	970	582	527	843	1159	1183	1519	925	940	1020	1917	1203	1661	1564	1609	1168	1583	1416	1652	1807	1742	1775	1882	1201	1874	1362	306	188	269	231	730	182	1683	91	815	57	89	50					
11	Число полученных открепительных  удостоверений	1675	16	26	48	30	30	30	30	30	63	72	30	23	30	17	30	30	70	30	30	30	30	30	20	30	20	20	50	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	10	10	10	0	20	0	30	10	20	0	0	0					
12	Число выданных открепительных удостоверений	1057	12	25	47	19	15	23	17	21	55	72	20	23	24	13	17	12	59	25	16	18	12	4	5	17	13	5	20	17	15	21	15	7	13	21	15	21	17	20	15	18	14	14	28	24	12	20	36	20	13	1	5	2	0	8	0	29	3	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1070	19	16	12	10	20	7	21	9	67	29	12	25	9	10	24	16	45	13	3	15	14	7	32	27	5	9	17	11	21	24	7	14	14	15	26	14	16	8	11	6	22	11	17	13	15	23	13	11	7	8	3	4	78	13	67	15	5	11	34	12	8					
14	Число неиспользованных открепительных удостоверений	618	4	1	1	11	15	7	13	9	8	0	10	0	6	4	13	18	11	5	14	12	18	26	15	13	7	15	30	13	15	9	15	23	17	9	15	9	13	10	15	12	16	16	2	6	18	10	4	10	17	9	5	8	0	12	0	1	7	16	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	75	2	1	3	1	2	2	2	2	1	4	3	3	3	3	3	1	1	2	2	0	0	1	0	0	0	1	0	0	2	0	0	1	0	2	2	1	2	1	3	0	0	1	2	5	0	2	1	2	1	0	0	0	0	1	0	3	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
