Выборы Президента Российской Федерации																																																		
																																																		
"Наименование Избирательной комиссии:    Махачкала, Советская"																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025					
1	"Число избирателей, внесенных в список"	94379	2360	2489	2330	1728	2119	2230	1979	2540	1750	2207	2059	1965	1698	1513	2690	1996	1950	3122	1675	2357	2113	2168	2798	2507	1123	1787	2521	2233	2319	2241	2372	2686	2469	1913	1943	2468	2127	1917	2876	2662	2363	2132	1884					
2	Число полученных избирательных бюллетеней	91950	2300	2400	2300	1700	2100	2200	1900	2500	1700	2200	2000	1900	1650	1500	2600	1950	1950	3000	1600	2300	2100	2100	2700	2500	1100	1700	2500	2200	2300	2200	2300	2600	2400	1800	1900	2400	2100	1900	2800	2500	2200	2100	1800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	87488	2175	2258	2055	1590	2053	2055	1852	2362	1642	2030	1920	1795	1569	1387	2477	1818	1690	2910	1581	2168	1944	2005	2700	2225	1065	1697	2311	2100	2111	2042	2275	2576	2380	1760	1788	2281	1957	1720	2800	2408	2119	2037	1800					
5	"Число избирательных бюллетеней, выданных вне помещения"	323	5	6	18	0	3	0	8	0	0	0	0	13	0	5	0	20	26	0	10	0	0	2	0	3	7	0	0	0	23	0	0	0	0	0	0	0	0	0	0	92	81	1	0					
6	Число погашенных избирательных бюллетеней	4139	120	136	227	110	44	145	40	138	58	170	80	92	81	108	123	112	234	90	9	132	156	93	0	272	28	3	189	100	166	158	25	24	20	40	112	119	143	180	0	0	0	62	0					
7	Число избирательных бюллетеней в переносных ящиках	323	5	6	18	0	3	0	8	0	0	0	0	13	0	5	0	20	26	0	10	0	0	2	0	3	7	0	0	0	23	0	0	0	0	0	0	0	0	0	0	92	81	1	0					
8	Число бюллетеней в стационарных ящиках для голосования	87488	2175	2258	2055	1590	2053	2055	1852	2362	1642	2030	1920	1795	1569	1387	2477	1818	1690	2910	1581	2168	1944	2005	2700	2225	1065	1697	2311	2100	2111	2042	2275	2576	2380	1760	1788	2281	1957	1720	2800	2408	2119	2037	1800					
9	Число недействительных избирательных бюллетеней	107	5	3	13	10	5	7	0	0	0	0	7	3	7	0	5	3	0	8	8	0	0	0	0	4	0	0	0	0	4	6	0	6	0	0	0	3	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	87704	2175	2261	2060	1580	2051	2048	1860	2362	1642	2030	1913	1805	1562	1392	2472	1835	1716	2902	1583	2168	1944	2007	2700	2224	1072	1697	2311	2100	2130	2036	2275	2570	2380	1760	1788	2278	1957	1720	2800	2500	2200	2038	1800					
