Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Болховская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199					
1	"Число избирателей, внесенных в список"	15620	171	553	400	300	169	297	251	526	265	237	226	235	376	430	485	188	330	171	295	2433	2459	2159	2664					
2	Число полученных избирательных бюллетеней	15490	170	549	408	306	169	299	284	523	289	240	223	245	370	435	486	198	343	172	295	2400	2450	2100	2536					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10541	109	350	308	160	77	198	191	270	119	137	165	120	192	249	302	121	205	113	138	1786	1194	1774	2263					
5	"Число избирательных бюллетеней, выданных вне помещения"	3436	44	182	57	135	89	97	60	206	146	95	56	104	168	145	169	67	116	55	143	252	658	206	186					
6	Число погашенных избирательных бюллетеней	1513	17	17	43	11	3	4	33	47	24	8	2	21	10	41	15	10	22	4	14	362	598	120	87					
7	Число избирательных бюллетеней в переносных ящиках	3436	44	182	57	135	89	97	60	206	146	95	56	104	168	145	169	67	116	55	143	252	658	206	186					
8	Число бюллетеней в стационарных ящиках для голосования	10522	109	350	308	160	77	198	191	270	119	137	165	120	192	249	302	121	205	113	138	1786	1194	1774	2244					
9	Число недействительных избирательных бюллетеней	130	0	2	9	0	0	11	0	0	2	12	2	6	4	0	1	0	2	1	3	14	8	12	41					
10	Число действительных избирательных бюллетеней	13828	153	530	356	295	166	284	251	476	263	220	219	218	356	394	470	188	319	167	278	2024	1844	1968	2389					
11	Число полученных открепительных  удостоверений	275	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	25	20	20	20					
12	Число выданных открепительных удостоверений	77	0	1	1	0	0	3	2	4	0	3	0	1	2	3	0	2	0	0	1	16	12	16	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	1	5	5	1	1	1	4	4	1	4	1	3	6	3	1	4	1	1	0	11	3	4	21					
14	Число неиспользованных открепительных удостоверений	198	10	9	9	10	10	7	8	6	10	7	10	9	8	7	10	8	10	10	9	9	8	4	10					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	270	3	6	4	3	6	2	0	13	10	0	6	5	11	11	6	2	4	0	1	56	45	40	36					
		1.93%	1.96%	1.13%	1.10%	1.02%	3.61%	0.68%	0.00%	2.73%	3.77%	0.00%	2.71%	2.23%	3.06%	2.79%	1.27%	1.06%	1.25%	0.00%	0.36%	2.75%	2.43%	2.02%	1.48%					
19	. Малышкин Олег Александрович	223	3	10	5	2	5	3	2	7	6	1	8	6	10	7	3	1	1	0	5	31	36	28	43					
		1.60%	1.96%	1.88%	1.37%	0.68%	3.01%	1.02%	0.80%	1.47%	2.26%	0.43%	3.62%	2.68%	2.78%	1.78%	0.64%	0.53%	0.31%	0.00%	1.78%	1.52%	1.94%	1.41%	1.77%					
20	. Миронов Сергей Михайлович	94	0	7	5	0	1	0	4	3	0	1	2	3	1	2	1	0	3	0	1	16	15	8	21					
		0.67%	0.00%	1.32%	1.37%	0.00%	0.60%	0.00%	1.59%	0.63%	0.00%	0.43%	0.90%	1.34%	0.28%	0.51%	0.21%	0.00%	0.93%	0.00%	0.36%	0.79%	0.81%	0.40%	0.86%					
21	. Путин Владимир Владимирович	10112	98	419	245	240	124	254	137	296	184	169	151	165	239	258	361	147	217	148	237	1432	1331	1513	1747					
		72.45%	64.05%	78.76%	67.12%	81.36%	74.70%	86.10%	54.58%	62.18%	69.43%	72.84%	68.33%	73.66%	66.39%	65.48%	76.65%	78.19%	67.60%	88.10%	84.34%	70.26%	71.87%	76.41%	71.89%					
22	. Хакамада Ирина Муцуовна	204	2	3	8	2	3	4	3	6	1	2	6	8	4	2	3	3	5	0	1	52	23	19	44					
		1.46%	1.31%	0.56%	2.19%	0.68%	1.81%	1.36%	1.20%	1.26%	0.38%	0.86%	2.71%	3.57%	1.11%	0.51%	0.64%	1.60%	1.56%	0.00%	0.36%	2.55%	1.24%	0.96%	1.81%					
23	. Харитонов Николай Михайлович	2637	42	76	86	47	27	17	94	143	61	45	44	31	76	105	90	33	87	18	30	387	351	320	427					
		18.89%	27.45%	14.29%	23.56%	15.93%	16.27%	5.76%	37.45%	30.04%	23.02%	19.40%	19.91%	13.84%	21.11%	26.65%	19.11%	17.55%	27.10%	10.71%	10.68%	18.99%	18.95%	16.16%	17.57%					
																														
24	Против всех	288	5	9	3	1	0	4	11	8	1	2	2	0	15	9	6	2	2	1	3	50	43	40	71					
		2.06%	3.27%	1.69%	0.82%	0.34%	0.00%	1.36%	4.38%	1.68%	0.38%	0.86%	0.90%	0.00%	4.17%	2.28%	1.27%	1.06%	0.62%	0.60%	1.07%	2.45%	2.32%	2.02%	2.92%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
