Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Стругокрасненская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564					
1	"Число избирателей, внесенных в список"	13130	211	1103	1542	1907	442	658	165	322	354	990	326	92	450	355	213	217	368	512	427	2476					
2	Число полученных избирательных бюллетеней	11845	206	984	1383	1686	361	600	162	317	354	980	326	98	417	347	212	217	368	512	392	1923					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6689	112	622	798	927	159	292	76	115	158	441	98	49	233	156	81	66	106	212	150	1838					
5	"Число избирательных бюллетеней, выданных вне помещения"	2088	14	29	124	115	105	131	43	152	109	211	99	16	135	119	109	96	164	144	157	16					
6	Число погашенных избирательных бюллетеней	3068	80	333	461	644	97	177	43	50	87	328	129	33	49	72	22	55	98	156	85	69					
7	Число избирательных бюллетеней в переносных ящиках	2088	14	29	124	115	105	131	43	152	109	211	99	16	135	119	109	96	164	144	157	16					
8	Число бюллетеней в стационарных ящиках для голосования	6689	112	622	798	927	159	292	76	115	158	441	98	49	233	156	81	66	106	212	150	1838					
9	Число недействительных избирательных бюллетеней	41	1	2	6	9	4	2	0	0	1	3	0	0	3	2	0	0	0	1	0	7					
10	Число действительных избирательных бюллетеней	8736	125	649	916	1033	260	421	119	267	266	649	197	65	365	273	190	162	270	355	307	1847					
11	Число полученных открепительных  удостоверений	350	5	20	20	20	10	10	5	10	10	20	5	5	10	10	5	5	10	10	10	150					
12	Число выданных открепительных удостоверений	162	1	3	12	8	1	6	0	0	4	3	0	1	2	2	0	0	2	0	0	117					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	451	2	0	7	5	4	2	3	3	3	13	4	1	2	8	1	5	1	3	5	379					
14	Число неиспользованных открепительных удостоверений	188	4	17	8	12	9	4	5	10	6	17	5	4	8	8	5	5	8	10	10	33					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	133	2	24	24	17	2	2	1	0	5	9	0	0	1	5	3	1	3	1	0	33					
		1.52%	1.59%	3.69%	2.60%	1.63%	0.76%	0.47%	0.84%	0.00%	1.87%	1.38%	0.00%	0.00%	0.27%	1.82%	1.58%	0.62%	1.11%	0.28%	0.00%	1.78%					
19	. Малышкин Олег Александрович	139	1	11	11	18	1	3	1	6	6	10	2	1	5	5	8	2	6	5	5	32					
		1.58%	0.79%	1.69%	1.19%	1.73%	0.38%	0.71%	0.84%	2.25%	2.25%	1.53%	1.02%	1.54%	1.36%	1.82%	4.21%	1.23%	2.22%	1.40%	1.63%	1.73%					
20	. Миронов Сергей Михайлович	89	0	7	9	6	1	2	1	4	13	11	2	0	6	4	0	3	1	4	3	12					
		1.01%	0.00%	1.08%	0.98%	0.58%	0.38%	0.47%	0.84%	1.50%	4.87%	1.69%	1.02%	0.00%	1.63%	1.45%	0.00%	1.85%	0.37%	1.12%	0.98%	0.65%					
21	. Путин Владимир Владимирович	7070	110	476	742	803	222	343	87	227	200	523	165	56	303	213	140	134	200	316	263	1547					
		80.55%	87.30%	73.12%	80.48%	77.06%	84.09%	81.09%	73.11%	85.02%	74.91%	80.21%	83.76%	86.15%	82.34%	77.45%	73.68%	82.72%	74.07%	88.76%	85.67%	83.44%					
22	. Хакамада Ирина Муцуовна	173	4	16	14	26	5	4	3	1	4	11	2	1	2	2	3	6	6	4	1	58					
		1.97%	3.17%	2.46%	1.52%	2.50%	1.89%	0.95%	2.52%	0.37%	1.50%	1.69%	1.02%	1.54%	0.54%	0.73%	1.58%	3.70%	2.22%	1.12%	0.33%	3.13%					
23	. Харитонов Николай Михайлович	944	8	89	103	142	25	62	25	27	37	81	23	6	44	41	35	14	50	20	33	79					
		10.76%	6.35%	13.67%	11.17%	13.63%	9.47%	14.66%	21.01%	10.11%	13.86%	12.42%	11.68%	9.23%	11.96%	14.91%	18.42%	8.64%	18.52%	5.62%	10.75%	4.26%					
																											
24	Против всех	188	0	26	13	21	4	5	1	2	1	4	3	1	4	3	1	2	4	5	2	86					
		2.14%	0.00%	3.99%	1.41%	2.02%	1.52%	1.18%	0.84%	0.75%	0.37%	0.61%	1.52%	1.54%	1.09%	1.09%	0.53%	1.23%	1.48%	1.40%	0.65%	4.64%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
