Выборы Президента Российской Федерации																																													
																																													
Наименование Избирательной комиссии:    Павловская																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187					
1	"Число избирателей, внесенных в список"	31907	1578	1552	1878	1462	1539	1771	1564	276	632	191	788	673	947	353	346	178	110	232	1263	201	1297	1554	785	126	863	322	2632	1394	373	188	1074	85	1947	503	63	172	786	209					
2	Число полученных избирательных бюллетеней	31100	1520	1470	1760	1430	1480	1700	1500	270	620	200	790	660	940	330	340	175	110	230	1250	210	1300	1550	780	130	850	320	2600	1320	370	195	1030	80	1880	490	60	170	780	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20269	1061	1024	1048	938	1089	1003	923	188	453	133	546	480	590	226	283	128	85	144	716	153	699	922	397	71	569	175	1622	985	235	125	715	65	1238	351	55	124	551	159					
5	"Число избирательных бюллетеней, выданных вне помещения"	1090	33	41	116	85	31	94	66	0	20	5	29	39	59	15	14	5	0	3	50	0	14	15	32	7	73	26	56	25	8	12	38	0	41	21	4	3	10	0					
6	Число погашенных избирательных бюллетеней	9740	426	405	596	407	360	603	511	82	147	62	215	141	291	89	43	42	25	83	484	57	587	613	351	51	208	119	922	310	127	58	277	15	601	118	1	43	219	51					
7	Число избирательных бюллетеней в переносных ящиках	1090	33	41	116	85	31	94	66	0	20	5	29	39	59	15	14	5	0	3	50	0	14	15	32	7	73	26	56	25	8	12	38	0	41	21	4	3	10	0					
8	Число бюллетеней в стационарных ящиках для голосования	20261	1058	1023	1048	938	1089	1002	923	188	453	133	546	480	590	226	283	128	85	144	716	153	699	919	397	71	569	175	1622	985	235	125	715	65	1238	351	55	124	551	159					
9	Число недействительных избирательных бюллетеней	215	10	3	16	14	11	5	10	4	7	1	8	10	8	4	2	2	1	2	3	2	12	5	2	0	7	3	22	8	5	2	7	1	7	3	0	4	2	2					
10	Число действительных избирательных бюллетеней	21136	1081	1061	1148	1009	1109	1091	979	184	466	137	567	509	641	237	295	131	84	145	763	151	701	929	427	78	635	198	1656	1002	238	135	746	64	1272	369	59	123	559	157					
11	Число полученных открепительных  удостоверений	382	15	15	15	15	15	15	15	3	6	3	10	8	10	10	8	3	3	3	15	3	10	10	8	3	10	5	30	29	7	5	25	2	20	8	2	3	10	5					
12	Число выданных открепительных удостоверений	148	3	9	15	12	7	7	6	0	6	0	2	3	10	0	1	0	0	0	2	0	3	2	1	0	7	0	8	11	1	1	15	0	4	5	0	0	6	1					
