Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Алькеевская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760					
1	"Число избирателей, внесенных в список"	15380	283	319	684	910	897	675	541	111	408	249	324	405	238	135	189	315	173	192	611	270	97	237	251	87	181	456	483	241	261	456	242	84	222	334	100	176	319	245	189	195	227	608	349	235	282	54	602	238					
2	Число полученных избирательных бюллетеней	15470	284	324	692	917	925	679	551	111	411	249	325	406	241	136	191	317	175	191	610	271	100	238	250	87	181	459	485	241	260	459	242	85	222	337	101	174	319	245	189	191	227	612	348	239	282	54	599	238					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14570	272	309	600	853	854	662	499	111	399	241	318	396	213	114	181	301	166	184	603	265	97	217	231	82	181	346	460	218	245	437	225	82	214	329	100	172	311	237	182	191	217	574	332	198	282	54	578	237					
5	"Число избирательных бюллетеней, выданных вне помещения"	643	11	8	30	33	17	10	19	0	9	5	4	9	25	20	8	11	5	7	5	5	0	19	19	5	0	110	23	23	15	18	17	2	8	5	0	2	8	8	6	0	10	34	12	36	0	0	21	1					
6	Число погашенных избирательных бюллетеней	257	1	7	62	31	54	7	33	0	3	3	3	1	3	2	2	5	4	0	2	1	3	2	0	0	0	3	2	0	0	4	0	1	0	3	1	0	0	0	1	0	0	4	4	5	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	643	11	8	30	33	17	10	19	0	9	5	4	9	25	20	8	11	5	7	5	5	0	19	19	5	0	110	23	23	15	18	17	2	8	5	0	2	8	8	6	0	10	34	12	36	0	0	21	1					
8	Число бюллетеней в стационарных ящиках для голосования	14570	272	309	600	853	854	662	499	111	399	241	318	396	213	114	181	301	166	184	603	265	97	217	231	82	181	346	460	218	245	437	225	82	214	329	100	172	311	237	182	191	217	574	332	198	282	54	578	237					
9	Число недействительных избирательных бюллетеней	15	0	0	0	5	3	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
10	Число действительных избирательных бюллетеней	15198	283	317	630	881	868	672	516	111	405	246	322	405	238	134	189	312	171	191	608	270	97	236	250	87	181	456	483	241	260	455	242	84	222	334	100	174	319	245	188	191	227	608	344	234	282	54	599	236					
11	Число полученных открепительных  удостоверений	500	9	10	22	27	24	22	20	5	14	8	10	14	8	5	6	10	6	6	20	9	4	7	8	4	6	14	16	7	7	15	8	4	7	11	5	6	10	8	6	6	7	21	11	7	10	3	19	8					
12	Число выданных открепительных удостоверений	114	1	1	8	20	8	3	8	0	5	0	2	2	4	1	5	2	1	0	2	1	2	1	0	0	0	3	1	3	3	3	0	0	0	0	0	2	0	3	0	0	1	5	2	7	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	1	0	16	12	2	4	2	0	3	0	0	0	0	0	2	0	0	3	3	0	0	0	1	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0					
14	Число неиспользованных открепительных удостоверений	386	8	9	14	7	16	19	12	5	9	8	8	12	4	4	1	8	5	6	18	8	2	6	8	4	6	11	15	4	4	12	8	4	7	11	5	4	10	5	6	6	6	16	9	0	6	3	19	8					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																							
18	. Глазьев Сергей Юрьевич	29	0	0	11	6	0	0	2	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.19%	0.00%	0.00%	1.75%	0.68%	0.00%	0.00%	0.39%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.52%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.22%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	14	0	1	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0					
		0.09%	0.00%	0.32%	0.00%	0.34%	0.11%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.29%	0.43%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	17	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.19%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.33%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	1.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	15001	280	313	611	858	850	670	502	111	397	246	320	400	238	133	189	308	167	188	593	270	96	233	249	86	179	451	483	241	260	445	241	83	218	329	100	173	319	245	182	189	221	598	339	228	280	54	599	236					
		98.61%	98.94%	98.74%	96.98%	96.84%	97.59%	99.70%	96.91%	100.00%	97.30%	100.00%	99.38%	98.77%	100.00%	99.25%	100.00%	98.72%	97.66%	98.43%	97.53%	100.00%	98.97%	98.73%	99.60%	98.85%	98.90%	98.90%	100.00%	100.00%	100.00%	97.80%	99.59%	98.81%	98.20%	98.50%	100.00%	99.43%	100.00%	100.00%	96.81%	98.95%	97.36%	98.36%	98.55%	97.44%	99.29%	100.00%	100.00%	99.16%					
22	. Хакамада Ирина Муцуовна	31	0	0	4	9	2	0	2	0	2	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0					
		0.20%	0.00%	0.00%	0.63%	1.02%	0.23%	0.00%	0.39%	0.00%	0.49%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.44%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	79	3	2	4	0	11	0	3	0	4	0	1	5	0	0	0	0	4	1	5	0	1	0	1	1	1	3	0	0	0	6	0	1	0	3	0	1	0	0	6	0	3	2	4	1	2	0	0	0					
		0.52%	1.06%	0.63%	0.63%	0.00%	1.26%	0.00%	0.58%	0.00%	0.98%	0.00%	0.31%	1.23%	0.00%	0.00%	0.00%	0.00%	2.34%	0.52%	0.82%	0.00%	1.03%	0.00%	0.40%	1.15%	0.55%	0.66%	0.00%	0.00%	0.00%	1.32%	0.00%	1.19%	0.00%	0.90%	0.00%	0.57%	0.00%	0.00%	3.19%	0.00%	1.32%	0.33%	1.16%	0.43%	0.71%	0.00%	0.00%	0.00%					
																																																							
24	Против всех	27	0	1	0	5	2	2	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0					
		0.18%	0.00%	0.32%	0.00%	0.56%	0.23%	0.30%	0.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%					
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
