Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Серебряно-Прудская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607					
1	"Число избирателей, внесенных в список"	18032	2013	1379	715	1500	550	1286	592	685	866	526	751	685	706	1183	643	99	1306	966	279	258	733	311					
2	Число полученных избирательных бюллетеней	17344	1922	1344	694	1429	520	1250	562	619	831	502	724	652	677	1149	608	102	1308	943	268	242	701	297					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12869	1235	1157	485	1050	381	862	418	409	607	454	475	477	547	1014	471	86	1011	704	221	128	442	235					
5	"Число избирательных бюллетеней, выданных вне помещения"	1661	25	77	28	43	52	114	125	184	171	46	120	107	57	49	22	9	52	77	36	112	110	45					
6	Число погашенных избирательных бюллетеней	2814	662	110	181	336	87	274	19	26	53	2	129	68	73	86	115	7	245	162	11	2	149	17					
7	Число избирательных бюллетеней в переносных ящиках	1661	25	77	28	43	52	114	125	184	171	46	120	107	57	49	22	9	52	77	36	112	110	45					
8	Число бюллетеней в стационарных ящиках для голосования	12868	1235	1157	485	1050	381	862	418	409	606	454	475	477	547	1014	471	86	1011	704	221	128	442	235					
9	Число недействительных избирательных бюллетеней	162	8	8	1	13	2	3	9	5	14	3	6	5	2	18	10	5	18	16	3	1	8	4					
10	Число действительных избирательных бюллетеней	14367	1252	1226	512	1080	431	973	534	588	763	497	589	579	602	1045	483	90	1045	765	254	239	544	276					
11	Число полученных открепительных  удостоверений	1490	55	97	43	70	20	110	50	70	135	80	60	115	40	100	50	30	160	95	30	10	60	10					
12	Число выданных открепительных удостоверений	1475	40	97	43	70	20	110	50	70	135	80	60	115	40	100	50	30	160	95	30	10	60	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	217	15	16	7	14	1	7	2	36	19	13	8	10	2	7	4	0	14	18	4	4	11	5					
14	Число неиспользованных открепительных удостоверений	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	3	0	1	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	389	42	32	25	38	13	29	17	9	11	3	14	20	29	13	11	1	42	27	3	0	6	4					
		2.68%	3.33%	2.59%	4.87%	3.48%	3.00%	2.97%	3.13%	1.52%	1.42%	0.60%	2.35%	3.42%	4.80%	1.22%	2.23%	1.05%	3.95%	3.46%	1.17%	0.00%	1.09%	1.43%					
19	. Малышкин Олег Александрович	216	26	7	8	21	6	5	7	3	7	2	12	8	14	25	11	1	20	10	2	2	13	6					
		1.49%	2.06%	0.57%	1.56%	1.92%	1.39%	0.51%	1.29%	0.51%	0.90%	0.40%	2.02%	1.37%	2.32%	2.35%	2.23%	1.05%	1.88%	1.28%	0.78%	0.83%	2.36%	2.14%					
20	. Миронов Сергей Михайлович	70	6	2	2	8	2	0	3	3	6	2	5	1	4	2	4	0	5	3	1	1	9	1					
		0.48%	0.48%	0.16%	0.39%	0.73%	0.46%	0.00%	0.55%	0.51%	0.77%	0.40%	0.84%	0.17%	0.66%	0.19%	0.81%	0.00%	0.47%	0.38%	0.39%	0.42%	1.63%	0.36%					
21	. Путин Владимир Владимирович	11380	911	1115	361	868	334	812	392	480	607	453	476	425	491	811	357	80	806	563	211	199	419	209					
		78.33%	72.30%	90.36%	70.37%	79.41%	77.14%	83.20%	72.19%	80.94%	78.12%	90.60%	80.00%	72.77%	81.29%	76.29%	72.41%	84.21%	75.82%	72.09%	82.10%	82.92%	75.91%	74.64%					
22	. Хакамада Ирина Муцуовна	212	32	6	12	22	9	20	1	12	9	3	3	6	4	16	9	0	17	11	3	3	8	6					
		1.46%	2.54%	0.49%	2.34%	2.01%	2.08%	2.05%	0.18%	2.02%	1.16%	0.60%	0.50%	1.03%	0.66%	1.51%	1.83%	0.00%	1.60%	1.41%	1.17%	1.25%	1.45%	2.14%					
23	. Харитонов Николай Михайлович	1743	184	56	81	115	52	105	96	68	108	32	69	99	51	135	74	7	121	117	32	28	70	43					
		12.00%	14.60%	4.54%	15.79%	10.52%	12.01%	10.76%	17.68%	11.47%	13.90%	6.40%	11.60%	16.95%	8.44%	12.70%	15.01%	7.37%	11.38%	14.98%	12.45%	11.67%	12.68%	15.36%					
																													
24	Против всех	357	51	8	23	8	15	2	18	13	15	2	10	20	9	43	17	1	34	34	2	6	19	7					
		2.46%	4.05%	0.65%	4.48%	0.73%	3.46%	0.20%	3.31%	2.19%	1.93%	0.40%	1.68%	3.42%	1.49%	4.05%	3.45%	1.05%	3.20%	4.35%	0.78%	2.50%	3.44%	2.50%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
