Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Челябинск, Металлургическая"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716					
1	"Число избирателей, внесенных в список"	106199	1044	871	2182	2722	1518	1308	1384	1742	1290	1131	1771	1311	1623	1944	1958	1957	2110	1726	1646	1609	2041	1453	2150	1570	990	1226	1008	1411	1377	1448	2224	1045	1681	1433	2149	1990	1902	1839	2063	2246	2184	1522	2486	1447	1706	2109	1958	2526	1732	1471	1880	2417	2404	2324	2408	2488	2544	1868	2632					
2	Число полученных избирательных бюллетеней	97600	1000	800	2100	2500	1400	1200	1200	1600	1200	1000	1600	1200	1500	1800	1900	1800	2000	1600	1500	1500	1900	1400	2000	1500	900	1200	800	1300	1300	1400	2000	1000	1600	1400	2000	1700	1800	1700	1900	2100	2100	1500	2200	1300	1600	2000	1800	2200	1600	1300	1700	2100	2100	2000	2100	2200	2400	1700	2400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	59648	553	595	1123	1503	829	705	845	992	763	597	1021	789	889	967	982	1063	1274	975	952	857	1053	814	1266	996	640	808	545	706	775	862	1252	651	894	873	1108	1148	1031	942	1187	1255	1228	890	1431	821	976	1317	1114	1504	1014	785	1104	1387	1307	1231	1399	1287	1280	977	1516					
5	"Число избирательных бюллетеней, выданных вне помещения"	3718	197	12	72	29	51	64	53	36	52	75	53	39	65	34	77	49	40	80	62	42	59	35	60	43	25	43	208	73	27	35	46	46	77	32	47	72	71	79	57	59	67	85	49	60	90	89	52	77	34	59	50	42	56	32	22	53	231	131	63					
6	Число погашенных избирательных бюллетеней	34234	250	193	905	968	520	431	302	572	385	328	526	372	546	799	841	688	686	545	486	601	788	551	674	461	235	349	47	521	498	503	702	303	629	495	845	480	698	679	656	786	805	525	720	419	534	594	634	619	552	456	546	671	737	737	679	860	889	592	821					
7	Число избирательных бюллетеней в переносных ящиках	3718	197	12	72	29	51	64	53	36	52	75	53	39	65	34	77	49	40	80	62	42	59	35	60	43	25	43	208	73	27	35	46	46	77	32	47	72	71	79	57	59	67	85	49	60	90	89	52	77	34	59	50	42	56	32	22	53	231	131	63					
8	Число бюллетеней в стационарных ящиках для голосования	59612	550	595	1123	1503	829	704	845	992	763	597	1020	789	886	967	973	1063	1274	975	952	857	1053	813	1266	995	640	808	545	706	775	862	1252	651	894	873	1107	1148	1031	942	1187	1254	1228	889	1431	821	976	1317	1105	1502	1013	785	1104	1386	1307	1231	1399	1287	1280	977	1515					
9	Число недействительных избирательных бюллетеней	657	7	15	5	17	9	14	1	11	4	7	16	16	6	8	10	12	7	6	6	6	11	5	6	8	6	2	2	2	8	21	12	12	13	13	12	8	15	16	14	18	14	11	9	6	10	21	9	10	8	15	18	14	16	29	8	7	21	15	29					
10	Число действительных избирательных бюллетеней	62673	740	592	1190	1515	871	754	897	1017	811	665	1057	812	945	993	1040	1100	1307	1049	1008	893	1101	843	1320	1030	659	849	751	777	794	876	1286	685	958	892	1142	1212	1087	1005	1230	1295	1281	963	1471	875	1056	1385	1148	1569	1039	829	1136	1414	1347	1234	1413	1333	1490	1093	1549					
11	Число полученных открепительных  удостоверений	2580	40	30	40	50	40	40	40	40	40	40	40	40	40	40	50	40	50	40	40	40	50	40	50	40	40	40	50	40	40	40	50	40	40	40	50	40	40	40	50	50	50	40	50	40	40	50	50	50	40	40	40	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	843	10	8	12	22	10	16	10	9	8	7	14	7	9	10	18	14	24	10	19	12	13	16	18	9	7	24	9	6	8	18	24	10	8	7	15	9	6	15	13	18	13	10	26	10	16	25	23	45	11	4	10	23	16	7	24	25	21	15	17					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	866	17	20	10	12	32	5	20	10	8	13	12	11	8	9	10	15	4	27	5	8	21	6	15	9	12	18	16	6	3	9	14	10	3	18	13	43	9	6	15	8	20	8	74	18	4	10	8	39	40	4	5	17	16	12	25	12	15	12	17					
14	Число неиспользованных открепительных удостоверений	1737	30	22	28	28	30	24	30	31	32	33	26	33	31	30	32	26	26	30	21	28	37	24	32	31	33	16	41	34	32	22	26	30	32	33	35	31	34	25	37	32	37	30	24	30	24	25	27	5	29	36	30	27	34	43	26	25	29	35	33					
15	"Число открепительных удостоверений, выданных в ТИК"	47	0	1	0	0	0	1	0	1	1	1	1	0	2	0	2	0	0	1	0	2	1	0	0	2	0	0	0	1	1	1	1	0	2	0	1	1	2	1	1	1	1	0	2	1	0	1	0	0	1	1	0	1	2	0	1	0	3	4	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
