Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Яшкульская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260					
1	"Число избирателей, внесенных в список"	9489	569	302	547	273	683	598	283	370	348	614	208	221	691	1217	1204	1361					
2	Число полученных избирательных бюллетеней	9682	584	328	557	294	701	588	294	394	351	580	216	228	716	1227	1175	1449					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6307	372	227	259	145	453	382	257	253	233	414	191	161	487	851	799	823					
5	"Число избирательных бюллетеней, выданных вне помещения"	1590	112	49	236	128	93	136	12	115	111	105	4	40	91	144	76	138					
6	Число погашенных избирательных бюллетеней	1785	100	52	62	21	155	70	25	26	7	61	21	27	138	232	300	488					
7	Число избирательных бюллетеней в переносных ящиках	1590	112	49	236	128	93	136	12	115	111	105	4	40	91	144	76	138					
8	Число бюллетеней в стационарных ящиках для голосования	6307	372	227	259	145	453	382	257	253	233	414	191	161	487	851	799	823					
9	Число недействительных избирательных бюллетеней	71	1	1	3	0	6	6	14	1	0	2	0	5	6	9	9	8					
10	Число действительных избирательных бюллетеней	7826	483	275	492	273	540	512	255	367	344	517	195	196	572	986	866	953					
11	Число полученных открепительных  удостоверений	300	10	20	5	15	20	14	10	20	18	20	10	12	25	30	25	46					
12	Число выданных открепительных удостоверений	172	10	12	0	2	19	12	10	20	5	3	9	4	23	9	16	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	7	3	2	3	5	4	4	3	4	3	2	1	1	0	2	15					
14	Число неиспользованных открепительных удостоверений	128	0	8	5	13	1	2	0	0	13	17	1	8	2	21	9	28					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	123	12	2	6	0	5	7	1	2	1	1	1	0	22	14	16	33					
		1.56%	2.48%	0.72%	1.21%	0.00%	0.92%	1.35%	0.37%	0.54%	0.29%	0.19%	0.51%	0.00%	3.81%	1.41%	1.83%	3.43%					
19	. Малышкин Олег Александрович	31	3	2	0	0	0	2	2	0	1	2	3	1	2	6	4	3					
		0.39%	0.62%	0.72%	0.00%	0.00%	0.00%	0.39%	0.74%	0.00%	0.29%	0.39%	1.54%	0.50%	0.35%	0.60%	0.46%	0.31%					
20	. Миронов Сергей Михайлович	19	0	0	0	0	3	1	0	0	0	1	1	0	1	7	0	5					
		0.24%	0.00%	0.00%	0.00%	0.00%	0.55%	0.19%	0.00%	0.00%	0.00%	0.19%	0.51%	0.00%	0.17%	0.70%	0.00%	0.52%					
21	. Путин Владимир Владимирович	6700	423	236	414	233	421	465	233	323	324	433	177	191	481	846	714	786					
		84.84%	87.40%	85.51%	83.64%	85.35%	77.11%	89.77%	86.62%	87.77%	94.19%	83.43%	90.77%	95.02%	83.22%	85.03%	81.60%	81.79%					
22	. Хакамада Ирина Муцуовна	250	17	10	3	15	10	8	8	14	9	28	3	0	10	40	36	39					
		3.17%	3.51%	3.62%	0.61%	5.49%	1.83%	1.54%	2.97%	3.80%	2.62%	5.39%	1.54%	0.00%	1.73%	4.02%	4.11%	4.06%					
23	. Харитонов Николай Михайлович	648	28	24	68	23	94	27	10	28	9	49	8	3	42	69	87	79					
		8.21%	5.79%	8.70%	13.74%	8.42%	17.22%	5.21%	3.72%	7.61%	2.62%	9.44%	4.10%	1.49%	7.27%	6.93%	9.94%	8.22%					
																							
24	Против всех	55	0	1	1	2	7	2	1	0	0	3	2	1	14	4	9	8					
		0.70%	0.00%	0.36%	0.20%	0.73%	1.28%	0.39%	0.37%	0.00%	0.00%	0.58%	1.03%	0.50%	2.42%	0.40%	1.03%	0.83%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
