Выборы Президента Российской Федерации																																																																																																									
																																																																																																									
Наименование Избирательной комиссии:    Балаковская																																																																																																									
																																																																																																									
Итоги голосования 																																																																																																									
																																																																																																									
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225					
		0.67%	0.50%	0.27%	0.67%	1.07%	0.65%	0.72%	0.69%	0.97%	0.62%	0.70%	0.29%	0.62%	1.38%	0.85%	0.48%	0.94%	0.62%	0.63%	0.36%	0.19%	0.31%	0.43%	0.29%	0.53%	0.57%	0.55%	0.96%	0.54%	0.50%	1.81%	0.81%	0.63%	1.04%	0.85%	0.82%	0.57%	0.82%	0.49%	0.52%	0.47%	0.67%	0.86%	0.64%	0.83%	1.31%	0.62%	0.71%	0.96%	0.92%	0.85%	0.45%	0.46%	0.74%	0.78%	0.84%	0.39%	0.74%	0.53%	1.21%	0.58%	0.62%	0.65%	0.93%	0.96%	0.70%	0.71%	0.46%	0.30%	0.40%	0.30%	0.00%	0.20%	0.81%	0.33%	0.00%	0.41%	0.20%	0.41%	0.70%	0.78%	1.02%	0.00%	0.29%	0.00%	0.35%	0.00%	0.22%	0.41%	0.00%	1.01%	0.00%	0.58%	0.95%	0.79%	0.98%	0.87%	0.53%	0.87%					
21	. Путин Владимир Владимирович	70183	779	786	815	996	804	867	863	794	902	817	835	812	736	827	1219	1180	842	893	795	919	1010	980	832	926	875	877	825	1021	1226	913	969	973	1051	969	1002	912	362	666	972	842	951	1100	1084	756	799	883	814	838	1064	989	844	958	1131	1098	991	998	963	984	1140	1054	1447	1115	1295	809	185	479	406	708	346	261	288	383	479	215	335	518	344	192	337	182	68	254	247	264	929	361	331	315	59	78	69	373	272	78	267	194	249	328					
		63.01%	55.13%	53.91%	60.78%	62.41%	65.21%	62.02%	59.89%	64.19%	61.95%	63.68%	59.69%	63.29%	59.55%	58.53%	64.46%	65.01%	58.35%	62.45%	56.83%	58.46%	62.77%	60.12%	60.95%	54.60%	61.84%	60.07%	56.35%	61.69%	68.26%	66.11%	65.56%	60.85%	64.16%	63.58%	58.49%	57.79%	49.66%	64.72%	62.99%	56.85%	63.78%	62.93%	68.87%	56.80%	61.51%	60.77%	58.10%	61.75%	60.97%	60.01%	63.60%	63.15%	60.13%	61.41%	63.81%	65.27%	64.37%	65.43%	62.81%	67.48%	68.58%	60.76%	67.17%	64.57%	64.91%	68.33%	61.80%	70.38%	68.65%	78.61%	80.45%	77.37%	64.38%	71.19%	74.44%	71.35%	68.94%	78.05%	78.37%	71.37%	69.39%	76.05%	72.65%	80.98%	81.63%	74.13%	72.43%	65.35%	62.11%	78.79%	75.82%	71.59%	64.45%	61.90%	65.12%	56.23%	66.40%	57.04%					
22	. Хакамада Ирина Муцуовна	3967	59	50	39	101	73	77	63	44	66	47	63	49	42	32	73	76	57	54	59	44	59	58	48	55	29	42	45	60	48	40	45	54	60	51	42	51	32	27	60	42	50	43	76	63	55	53	53	47	76	77	79	79	61	66	98	90	63	63	65	64	78	84	81	57	9	15	9	16	10	1	3	6	11	6	9	11	7	2	5	2	2	1	6	7	7	6	4	9	1	0	2	12	6	2	8	4	8	23					
		3.56%	4.18%	3.43%	2.91%	6.33%	5.92%	5.51%	4.37%	3.56%	4.53%	3.66%	4.50%	3.82%	3.40%	2.26%	3.86%	4.19%	3.95%	3.78%	4.22%	2.80%	3.67%	3.56%	3.52%	3.24%	2.05%	2.88%	3.07%	3.63%	2.67%	2.90%	3.04%	3.38%	3.66%	3.35%	2.45%	3.23%	4.39%	2.62%	3.89%	2.84%	3.35%	2.46%	4.83%	4.73%	4.23%	3.65%	3.78%	3.46%	4.36%	4.67%	5.95%	5.21%	3.24%	3.69%	6.31%	5.89%	4.21%	4.19%	3.58%	4.10%	3.70%	4.58%	4.20%	4.55%	3.16%	2.14%	1.37%	1.59%	1.98%	0.30%	0.84%	1.21%	1.48%	1.99%	2.00%	1.52%	1.40%	0.81%	1.16%	0.78%	2.04%	0.30%	1.76%	2.15%	0.62%	1.23%	0.88%	1.87%	1.05%	0.00%	2.20%	2.30%	1.42%	1.59%	1.95%	1.16%	2.13%	4.00%					
23	. Харитонов Николай Михайлович	22357	405	404	297	282	179	252	306	212	271	233	292	267	276	334	284	301	318	277	355	435	289	385	310	486	329	375	404	401	322	225	271	355	325	339	417	401	259	217	288	361	279	359	192	305	283	340	304	253	316	328	203	245	424	387	203	223	199	226	326	208	306	356	249	202	60	119	172	212	116	56	45	66	177	48	65	125	97	33	72	37	17	65	75	42	149	96	88	113	23	14	6	96	98	38	109	131	98	144					
		20.07%	28.66%	27.71%	22.15%	17.67%	14.52%	18.03%	21.24%	17.14%	18.61%	18.16%	20.87%	20.81%	22.33%	23.64%	15.02%	16.58%	22.04%	19.37%	25.38%	27.67%	17.96%	23.62%	22.71%	28.66%	23.25%	25.68%	27.60%	24.23%	17.93%	16.29%	18.34%	22.20%	19.84%	22.24%	24.34%	25.41%	35.53%	21.09%	18.66%	24.38%	18.71%	20.54%	12.20%	22.92%	21.79%	23.40%	21.70%	18.64%	18.11%	19.90%	15.30%	16.15%	22.54%	21.64%	13.07%	14.58%	13.30%	15.03%	17.96%	13.32%	14.50%	19.40%	12.91%	16.12%	21.05%	16.98%	26.18%	21.07%	23.02%	16.87%	12.57%	13.33%	23.79%	15.89%	14.44%	17.22%	19.44%	13.41%	16.74%	14.51%	17.35%	19.46%	22.06%	12.88%	13.09%	19.71%	19.26%	23.44%	24.21%	14.14%	6.59%	18.43%	23.22%	30.16%	26.59%	37.97%	26.13%	25.04%					
																																																																																																									
24	Против всех	5905	62	108	73	59	63	84	73	83	95	82	81	71	58	82	163	108	100	80	80	47	80	74	70	80	62	55	72	74	82	70	73	83	80	46	100	73	22	44	94	98	84	75	100	78	67	69	85	98	110	124	90	108	118	106	119	100	124	109	115	107	131	126	110	84	16	43	13	13	7	6	5	13	24	8	10	27	32	11	5	12	1	3	3	5	9	11	10	15	6	3	5	11	12	4	4	6	6	25					
		5.30%	4.39%	7.41%	5.44%	3.70%	5.11%	6.01%	5.07%	6.71%	6.52%	6.39%	5.79%	5.53%	4.69%	5.80%	8.62%	5.95%	6.93%	5.59%	5.72%	2.99%	4.97%	4.54%	5.13%	4.72%	4.38%	3.77%	4.92%	4.47%	4.57%	5.07%	4.94%	5.19%	4.88%	3.02%	5.84%	4.63%	3.02%	4.28%	6.09%	6.62%	5.63%	4.29%	6.35%	5.86%	5.16%	4.75%	6.07%	7.22%	6.30%	7.52%	6.78%	7.12%	6.27%	5.93%	7.66%	6.54%	8.29%	7.25%	6.34%	6.85%	6.21%	6.87%	5.71%	6.70%	5.61%	6.13%	1.98%	1.29%	1.39%	1.81%	1.40%	2.63%	3.23%	2.65%	2.22%	3.72%	6.41%	4.47%	1.16%	4.71%	1.02%	0.90%	0.88%	1.53%	0.79%	2.26%	2.19%	3.11%	6.32%	3.03%	5.49%	2.11%	2.84%	3.17%	0.98%	1.74%	1.60%	4.35%					
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
																																																																																																									
