Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Ленская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252					
1	"Число избирателей, внесенных в список"	24618	226	1042	580	576	455	855	1192	951	79	290	102	1021	1213	378	278	717	755	1368	830	942	951	991	272	1055	430	683	288	1125	982	697	905	226	202	85	110	423	128	90	795	98	232					
2	Число полученных избирательных бюллетеней	24720	235	1005	590	560	495	910	1275	1005	90	295	105	1040	1220	395	275	665	745	1375	820	955	930	995	265	1010	440	625	255	1080	1005	690	915	225	200	95	115	440	135	90	805	115	235					
3	"Число избирательных бюллетеней, выданных  досрочно"	201	108	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19018	111	680	415	406	262	604	868	654	64	274	102	797	952	264	202	511	603	1014	675	801	747	796	213	772	351	532	221	877	886	565	712	201	162	85	108	412	108	90	625	75	221					
5	"Число избирательных бюллетеней, выданных вне помещения"	701	7	0	6	8	7	39	50	64	11	0	0	49	17	5	19	39	26	31	15	23	25	30	13	20	11	18	18	28	13	12	13	14	7	0	0	11	20	0	9	13	10					
6	Число погашенных избирательных бюллетеней	4800	9	325	169	146	133	267	357	287	15	21	3	194	251	126	54	115	116	330	130	131	158	169	39	218	78	75	16	175	106	113	190	10	31	10	7	17	7	0	171	27	4					
7	Число избирательных бюллетеней в переносных ящиках	902	115	0	6	8	100	39	50	64	11	0	0	49	17	5	19	39	26	31	15	23	25	30	13	20	11	18	18	28	13	12	13	14	7	0	0	11	20	0	9	13	10					
8	Число бюллетеней в стационарных ящиках для голосования	19018	111	680	415	406	262	604	868	654	64	274	102	797	952	264	202	511	603	1014	675	801	747	796	213	772	351	532	221	877	886	565	712	201	162	85	108	412	108	90	625	75	221					
9	Число недействительных избирательных бюллетеней	177	0	5	2	4	2	10	12	10	0	2	1	4	8	0	0	4	3	0	5	11	10	9	2	3	0	9	0	11	8	5	10	2	0	0	0	1	1	0	20	1	2					
10	Число действительных избирательных бюллетеней	19743	226	675	419	410	360	633	906	708	75	272	101	842	961	269	221	546	626	1045	685	813	762	817	224	789	362	541	239	894	891	572	715	213	169	85	108	422	127	90	614	87	229					
