Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Аромашевская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112					
1	"Число избирателей, внесенных в список"	10493	786	1066	927	817	116	247	132	76	525	127	105	274	131	578	89	299	128	141	113	187	368	70	187	359	329	374	111	459	502	870					
2	Число полученных избирательных бюллетеней	10512	798	1066	936	804	112	239	127	76	538	125	105	264	132	588	102	299	125	137	116	189	359	70	184	358	334	377	111	485	495	861					
3	"Число избирательных бюллетеней, выданных  досрочно"	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	37					
4	"Число избирательных бюллетеней, выданных в день голосования"	7198	460	679	506	593	104	177	122	74	358	105	83	216	121	335	89	164	108	130	103	116	283	68	136	284	271	282	80	322	354	475					
5	"Число избирательных бюллетеней, выданных вне помещения"	1221	53	86	76	27	0	33	0	0	57	10	0	17	4	188	0	96	17	7	10	57	39	2	46	26	19	61	28	81	85	96					
6	Число погашенных избирательных бюллетеней	2038	285	301	354	184	8	29	5	2	123	10	22	31	7	65	13	39	0	0	3	16	37	0	2	48	44	34	3	64	56	253					
7	Число избирательных бюллетеней в переносных ящиках	1276	53	86	76	27	0	33	0	0	57	10	0	17	4	188	0	96	17	7	10	57	39	2	46	26	19	61	28	99	85	133					
8	Число бюллетеней в стационарных ящиках для голосования	7198	460	679	506	593	104	177	122	74	358	105	83	216	121	335	89	164	108	130	103	116	283	68	136	284	271	282	80	322	354	475					
9	Число недействительных избирательных бюллетеней	44	1	3	3	5	1	0	0	0	5	0	0	2	0	4	0	0	1	0	0	0	2	0	0	0	0	2	0	3	7	5					
10	Число действительных избирательных бюллетеней	8430	512	762	579	615	103	210	122	74	410	115	83	231	125	519	89	260	124	137	113	173	320	70	182	310	290	341	108	418	432	603					
11	Число полученных открепительных  удостоверений	245	10	15	10	15	5	10	5	5	10	5	5	10	5	10	5	5	5	10	5	5	10	5	5	10	10	10	0	15	10	15					
12	Число выданных открепительных удостоверений	103	3	14	10	15	1	1	0	0	10	1	0	1	2	4	0	5	0	5	0	5	3	0	1	1	0	1	0	14	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	0	5	2	0	0	1	0	0	1	1	0	0	1	0	1	2	1	2	0	1	3	1	1	1	2	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	142	7	1	0	0	4	9	5	5	0	4	5	9	3	6	5	0	5	5	5	0	7	5	4	9	10	9	0	1	9	10					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	207	36	25	12	13	0	3	0	0	4	1	4	4	1	20	0	14	3	0	0	0	5	1	0	5	0	4	6	6	8	32					
		2.44%	7.02%	3.27%	2.06%	2.10%	0.00%	1.43%	0.00%	0.00%	0.96%	0.87%	4.82%	1.72%	0.80%	3.82%	0.00%	5.38%	2.40%	0.00%	0.00%	0.00%	1.55%	1.43%	0.00%	1.61%	0.00%	1.17%	5.56%	1.43%	1.82%	5.26%					
19	. Малышкин Олег Александрович	365	29	27	32	50	16	6	3	0	3	11	3	29	1	19	11	6	4	0	0	2	12	3	6	9	0	13	2	5	22	41					
		4.31%	5.65%	3.53%	5.50%	8.06%	15.38%	2.86%	2.46%	0.00%	0.72%	9.57%	3.61%	12.45%	0.80%	3.63%	12.36%	2.31%	3.20%	0.00%	0.00%	1.16%	3.73%	4.29%	3.30%	2.90%	0.00%	3.79%	1.85%	1.19%	5.01%	6.74%					
