Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Канская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в список"	75582	1414	2730	1468	2893	2781	2803	2555	1483	1591	2049	2384	1622	2206	2192	2675	2177	1433	2781	2445	2137	2016	2629	2996	2555	3026	2279	2280	2389	2497	2665	2323	1353	329	1527	899					
2	Число полученных избирательных бюллетеней	70640	1291	2516	1321	2685	2599	2614	2378	1341	1500	1951	2220	1545	2044	2081	2503	1973	1382	2579	2331	1996	1892	2461	2853	2486	2856	2038	2126	2232	2101	2545	2181	1267	452	1392	908					
3	"Число избирательных бюллетеней, выданных  досрочно"	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	108	0	0	0	0	538					
4	"Число избирательных бюллетеней, выданных в день голосования"	36017	600	1194	561	1340	1236	1335	1168	660	688	809	1084	692	707	1116	1220	994	690	1321	1072	1092	916	1238	1693	1284	1507	945	1104	1155	1642	1827	1295	636	329	568	299					
5	"Число избирательных бюллетеней, выданных вне помещения"	1582	46	82	24	43	92	63	66	97	29	35	53	18	18	47	50	72	51	26	44	24	29	23	68	82	73	20	97	110	6	11	18	26	0	10	29					
6	Число погашенных избирательных бюллетеней	32265	645	1240	736	1302	1271	1216	1144	584	783	1107	1083	835	1319	918	1233	907	641	1232	1215	880	947	1200	1092	1120	1276	1073	925	967	323	599	868	605	123	814	42					
7	Число избирательных бюллетеней в переносных ящиках	2358	46	82	24	43	92	63	66	97	29	35	53	18	18	47	50	72	51	26	44	24	29	23	68	82	73	20	97	110	136	119	18	26	0	10	567					
8	Число бюллетеней в стационарных ящиках для голосования	36012	600	1194	561	1340	1236	1335	1168	660	686	809	1084	692	707	1115	1220	994	690	1321	1072	1092	916	1238	1693	1284	1506	945	1104	1155	1642	1827	1295	635	329	568	299					
9	Число недействительных избирательных бюллетеней	211	2	8	7	9	5	6	5	9	5	4	4	5	3	9	3	5	6	10	12	3	9	4	11	5	5	2	6	8	8	8	10	1	11	2	1					
10	Число действительных избирательных бюллетеней	38159	644	1268	578	1374	1323	1392	1229	748	710	840	1133	705	722	1153	1267	1061	735	1337	1104	1113	936	1257	1750	1361	1574	963	1195	1257	1770	1938	1303	660	318	576	865					
11	Число полученных открепительных  удостоверений	1180	30	40	30	40	40	40	40	30	30	35	35	35	35	35	40	35	30	40	40	35	35	35	40	40	40	35	35	35	35	40	35	30	0	20	10					
12	Число выданных открепительных удостоверений	274	9	7	8	7	13	4	6	5	5	3	9	1	8	9	13	13	0	10	5	4	3	9	7	7	18	7	7	5	30	24	10	3	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	320	1	2	0	9	4	5	2	2	1	1	4	2	1	3	1	1	0	1	2	4	4	0	3	4	0	1	0	2	8	8	3	0	241	0	0					
14	Число неиспользованных открепительных удостоверений	906	21	33	22	33	27	36	34	25	25	32	26	34	27	26	27	22	30	30	35	31	32	26	33	33	22	28	28	30	5	16	25	27	0	16	9					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	6250	125	171	95	242	305	271	259	126	133	162	175	120	84	231	261	108	121	203	171	235	201	255	307	225	345	183	228	229	83	101	260	152	5	75	3					
		16.29%	19.35%	13.40%	16.24%	17.50%	22.97%	19.38%	20.99%	16.64%	18.60%	19.19%	15.39%	16.90%	11.59%	19.88%	20.55%	10.13%	16.33%	15.07%	15.32%	21.06%	21.27%	20.22%	17.43%	16.47%	21.85%	18.96%	18.98%	18.10%	4.67%	5.19%	19.80%	23.00%	1.52%	12.98%	0.35%					
19	. Малышкин Олег Александрович	515	5	22	10	16	20	17	12	5	9	5	21	14	10	11	15	25	9	25	23	10	14	14	24	20	14	17	16	11	20	35	11	17	4	8	6					
		1.34%	0.77%	1.72%	1.71%	1.16%	1.51%	1.22%	0.97%	0.66%	1.26%	0.59%	1.85%	1.97%	1.38%	0.95%	1.18%	2.35%	1.21%	1.86%	2.06%	0.90%	1.48%	1.11%	1.36%	1.46%	0.89%	1.76%	1.33%	0.87%	1.12%	1.80%	0.84%	2.57%	1.22%	1.38%	0.69%					
20	. Миронов Сергей Михайлович	184	3	7	2	9	3	7	9	2	2	5	8	8	5	4	2	4	7	15	3	8	2	4	8	10	6	7	7	7	2	4	5	1	0	3	5					
		0.48%	0.46%	0.55%	0.34%	0.65%	0.23%	0.50%	0.73%	0.26%	0.28%	0.59%	0.70%	1.13%	0.69%	0.34%	0.16%	0.38%	0.94%	1.11%	0.27%	0.72%	0.21%	0.32%	0.45%	0.73%	0.38%	0.73%	0.58%	0.55%	0.11%	0.21%	0.38%	0.15%	0.00%	0.52%	0.58%					
21	. Путин Владимир Владимирович	24700	419	872	388	875	690	808	682	476	437	549	715	457	520	709	760	790	395	871	686	642	539	735	1064	865	865	587	723	793	1517	1630	751	375	287	405	823					
		64.37%	64.86%	68.34%	66.32%	63.27%	51.96%	57.80%	55.27%	62.88%	61.12%	65.05%	62.88%	64.37%	71.72%	61.02%	59.84%	74.11%	53.31%	64.66%	61.47%	57.53%	57.04%	58.29%	60.42%	63.32%	54.78%	60.83%	60.20%	62.69%	85.32%	83.76%	57.20%	56.73%	87.23%	70.07%	95.03%					
22	. Хакамада Ирина Муцуовна	965	20	39	14	35	33	31	34	22	22	15	24	12	16	32	34	36	14	26	31	27	22	38	57	26	33	25	22	41	52	48	41	17	4	16	6					
		2.51%	3.10%	3.06%	2.39%	2.53%	2.48%	2.22%	2.76%	2.91%	3.08%	1.78%	2.11%	1.69%	2.21%	2.75%	2.68%	3.38%	1.89%	1.93%	2.78%	2.42%	2.33%	3.01%	3.24%	1.90%	2.09%	2.59%	1.83%	3.24%	2.92%	2.47%	3.12%	2.57%	1.22%	2.77%	0.69%					
23	. Харитонов Николай Михайлович	4614	62	132	58	161	241	221	197	97	87	86	159	82	70	129	175	71	166	163	168	167	138	184	230	182	269	122	172	149	57	72	199	84	1	54	9					
		12.03%	9.60%	10.34%	9.91%	11.64%	18.15%	15.81%	15.96%	12.81%	12.17%	10.19%	13.98%	11.55%	9.66%	11.10%	13.78%	6.66%	22.40%	12.10%	15.05%	14.96%	14.60%	14.59%	13.06%	13.32%	17.04%	12.64%	14.32%	11.78%	3.21%	3.70%	15.16%	12.71%	0.30%	9.34%	1.04%					
																																										
24	Против всех	931	10	25	11	36	31	37	36	20	20	18	31	12	17	37	20	27	23	34	22	24	20	27	60	33	42	22	27	27	39	48	36	14	17	15	13					
		2.43%	1.55%	1.96%	1.88%	2.60%	2.33%	2.65%	2.92%	2.64%	2.80%	2.13%	2.73%	1.69%	2.34%	3.18%	1.57%	2.53%	3.10%	2.52%	1.97%	2.15%	2.12%	2.14%	3.41%	2.42%	2.66%	2.28%	2.25%	2.13%	2.19%	2.47%	2.74%	2.12%	5.17%	2.60%	1.50%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
