Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Поныровская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871					
1	"Число избирателей, внесенных в список"	10472	1473	1416	1076	301	331	518	481	1047	278	119	225	474	489	362	359	459	552	187	325					
2	Число полученных избирательных бюллетеней	10300	1400	1400	1060	300	330	510	480	1040	270	124	220	470	490	360	350	450	540	186	320					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5630	791	695	565	186	202	246	253	661	177	65	129	194	341	213	147	221	265	83	196					
5	"Число избирательных бюллетеней, выданных вне помещения"	1462	61	89	37	74	38	125	129	92	28	22	41	177	63	88	75	101	115	44	63					
6	Число погашенных избирательных бюллетеней	3208	548	616	458	40	90	139	98	287	65	37	50	99	86	59	128	128	160	59	61					
7	Число избирательных бюллетеней в переносных ящиках	1462	61	89	37	74	38	125	129	92	28	22	41	177	63	88	75	101	115	44	63					
8	Число бюллетеней в стационарных ящиках для голосования	5630	791	695	565	186	202	246	253	661	177	65	129	194	341	213	147	221	265	83	196					
9	Число недействительных избирательных бюллетеней	102	21	10	6	3	3	1	6	14	4	4	0	2	3	5	6	4	4	1	5					
10	Число действительных избирательных бюллетеней	6990	831	774	596	257	237	370	376	739	201	83	170	369	401	296	216	318	376	126	254					
11	Число полученных открепительных  удостоверений	109	20	10	15	7	3	4	4	6	3	2	3	4	5	3	5	5	5	2	3					
12	Число выданных открепительных удостоверений	57	12	5	9	7	1	0	4	6	1	0	2	1	1	2	0	2	1	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	8	4	7	2	1	1	1	4	2	1	2	1	1	2	0	1	0	3	1					
14	Число неиспользованных открепительных удостоверений	52	8	5	6	0	2	4	0	0	2	2	1	3	4	1	5	3	4	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	200	45	23	37	7	6	3	6	21	14	2	2	11	0	6	3	8	0	3	3					
		2.82%	5.28%	2.93%	6.15%	2.69%	2.50%	0.81%	1.57%	2.79%	6.83%	2.30%	1.18%	2.96%	0.00%	1.99%	1.35%	2.48%	0.00%	2.36%	1.16%					
19	. Малышкин Олег Александрович	196	26	19	11	17	18	9	15	10	7	1	4	3	7	14	11	12	6	1	5					
		2.76%	3.05%	2.42%	1.83%	6.54%	7.50%	2.43%	3.93%	1.33%	3.41%	1.15%	2.35%	0.81%	1.73%	4.65%	4.95%	3.73%	1.58%	0.79%	1.93%					
20	. Миронов Сергей Михайлович	56	9	5	8	0	2	2	4	3	2	0	3	3	5	2	1	3	1	0	3					
		0.79%	1.06%	0.64%	1.33%	0.00%	0.83%	0.54%	1.05%	0.40%	0.98%	0.00%	1.76%	0.81%	1.24%	0.66%	0.45%	0.93%	0.26%	0.00%	1.16%					
21	. Путин Владимир Владимирович	4913	512	541	404	187	148	266	266	556	129	67	96	286	271	209	164	260	304	115	132					
		69.28%	60.09%	69.01%	67.11%	71.92%	61.67%	71.70%	69.63%	73.84%	62.93%	77.01%	56.47%	77.09%	67.08%	69.44%	73.87%	80.75%	80.00%	90.55%	50.97%					
22	. Хакамада Ирина Муцуовна	117	25	15	22	4	1	7	7	14	2	0	0	1	6	3	3	3	1	0	3					
		1.65%	2.93%	1.91%	3.65%	1.54%	0.42%	1.89%	1.83%	1.86%	0.98%	0.00%	0.00%	0.27%	1.49%	1.00%	1.35%	0.93%	0.26%	0.00%	1.16%					
23	. Харитонов Николай Михайлович	1368	196	142	95	38	58	81	73	116	44	13	64	59	108	55	30	28	58	6	104					
		19.29%	23.00%	18.11%	15.78%	14.62%	24.17%	21.83%	19.11%	15.41%	21.46%	14.94%	37.65%	15.90%	26.73%	18.27%	13.51%	8.70%	15.26%	4.72%	40.15%					
																										
24	Против всех	140	18	29	19	4	4	2	5	19	3	0	1	6	4	7	4	4	6	1	4					
		1.97%	2.11%	3.70%	3.16%	1.54%	1.67%	0.54%	1.31%	2.52%	1.46%	0.00%	0.59%	1.62%	0.99%	2.33%	1.80%	1.24%	1.58%	0.79%	1.54%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
