Выборы Президента Российской Федерации																																										
																																										
"Наименование Избирательной комиссии:    Иваново, Советская"																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК  101	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135					
1	"Число избирателей, внесенных в список"	54279	1360	1476	1088	1413	1732	1734	1296	1411	1546	2037	1584	1573	913	1527	1736	1598	1601	1719	1797	1068	1021	1427	1769	1241	1125	2845	2303	2029	1448	1418	1430	1474	1860	1201	1479					
2	Число полученных избирательных бюллетеней	54253	1360	1472	1084	1325	1733	1739	1307	1404	1546	2047	1599	1585	900	1527	1735	1614	1598	1694	1808	1083	944	1433	1805	1237	1126	2885	2321	2064	1449	1433	1426	1464	1867	1202	1437					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24894	525	733	408	576	862	791	472	632	720	850	817	712	344	698	848	720	765	817	875	457	387	774	930	556	627	1414	1114	879	546	648	611	698	909	519	660					
5	"Число избирательных бюллетеней, выданных вне помещения"	1063	26	12	46	88	14	17	6	15	18	10	38	22	49	22	23	12	32	7	10	39	69	20	15	28	11	20	58	63	26	32	26	20	27	21	121					
6	Число погашенных избирательных бюллетеней	28296	809	727	630	661	857	931	829	757	808	1187	744	851	507	807	864	882	801	870	923	587	488	639	860	653	488	1451	1149	1122	877	753	789	746	931	662	656					
7	Число избирательных бюллетеней в переносных ящиках	1063	26	12	46	88	14	17	6	15	18	10	38	22	49	22	23	12	32	7	10	39	69	20	15	28	11	20	58	63	26	32	26	20	27	21	121					
8	Число бюллетеней в стационарных ящиках для голосования	24886	525	729	408	576	862	791	472	632	720	850	817	711	344	698	847	719	765	817	875	457	387	774	930	556	626	1414	1114	879	546	648	611	698	909	519	660					
9	Число недействительных избирательных бюллетеней	208	8	8	2	3	7	7	3	9	4	7	8	4	2	12	3	6	9	5	8	3	3	9	0	2	3	20	7	7	5	5	1	10	9	2	7					
10	Число действительных избирательных бюллетеней	25741	543	733	452	661	869	801	475	638	734	853	847	729	391	708	867	725	788	819	877	493	453	785	945	582	634	1414	1165	935	567	675	636	708	927	538	774					
11	Число полученных открепительных  удостоверений	650	15	15	14	22	20	20	16	16	18	25	20	20	10	18	20	20	19	20	20	10	14	17	22	15	14	30	30	25	18	17	17	18	22	15	18					
12	Число выданных открепительных удостоверений	286	6	8	0	8	9	10	7	7	6	10	10	7	3	2	6	3	5	3	6	3	5	11	22	11	10	28	22	23	1	10	6	3	6	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	373	9	9	3	57	10	8	4	6	3	4	2	4	5	16	3	6	5	9	5	6	47	6	4	15	13	4	10	11	6	8	7	12	13	6	37					
14	Число неиспользованных открепительных удостоверений	364	9	7	14	14	11	10	9	9	12	15	10	13	7	16	14	17	14	17	14	7	9	6	0	4	4	2	8	2	17	7	11	15	16	13	11					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	1248	19	22	20	21	56	47	14	37	38	41	32	20	10	39	53	41	55	49	62	21	30	44	46	47	39	67	49	28	22	23	28	37	41	11	39					
		4.81%	3.45%	2.97%	4.41%	3.16%	6.39%	5.82%	2.93%	5.72%	5.15%	4.77%	3.74%	2.73%	2.54%	5.42%	6.09%	5.61%	6.90%	5.95%	7.01%	4.23%	6.58%	5.54%	4.87%	8.05%	6.12%	4.67%	4.18%	2.97%	3.85%	3.38%	4.40%	5.15%	4.38%	2.04%	4.99%					
19	. Малышкин Олег Александрович	763	28	19	16	19	26	15	16	28	27	20	30	25	15	16	30	25	29	25	28	13	14	16	26	13	16	41	29	22	18	20	19	16	21	20	22					
		2.94%	5.08%	2.56%	3.52%	2.86%	2.97%	1.86%	3.35%	4.33%	3.66%	2.33%	3.51%	3.41%	3.82%	2.22%	3.45%	3.42%	3.64%	3.03%	3.16%	2.62%	3.07%	2.02%	2.75%	2.23%	2.51%	2.86%	2.47%	2.34%	3.15%	2.94%	2.98%	2.23%	2.24%	3.70%	2.82%					
