Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Починковская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586					
1	"Число избирателей, внесенных в список"	29141	1241	560	220	520	468	655	241	702	643	619	242	162	873	931	248	227	177	426	228	1011	550	595	296	373	227	230	239	613	346	267	196	214	603	223	260	2984	766	186	2822	1057	2924	2776					
2	Число полученных избирательных бюллетеней	29212	1230	585	218	522	480	660	228	710	635	631	246	164	853	962	248	220	192	423	229	1005	578	604	291	374	242	242	242	609	351	273	198	228	596	234	259	2997	786	184	2746	1056	2919	2762					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15736	671	338	98	370	305	306	130	395	413	386	106	92	467	578	122	127	119	216	109	451	312	361	165	242	156	140	124	291	183	100	113	124	338	126	122	1427	423	101	1843	488	1315	1443					
5	"Число избирательных бюллетеней, выданных вне помещения"	2784	44	90	67	15	63	72	30	48	37	70	62	42	113	84	56	63	26	54	37	323	96	58	36	57	28	34	46	101	124	125	15	29	29	49	81	119	159	25	18	51	64	44					
6	Число погашенных избирательных бюллетеней	10692	515	157	53	137	112	282	68	267	185	175	78	30	273	300	70	30	47	153	83	231	170	185	90	75	58	68	72	217	44	48	70	75	229	59	56	1451	204	58	885	517	1540	1275					
7	Число избирательных бюллетеней в переносных ящиках	2784	44	90	67	15	63	72	30	48	37	70	62	42	113	84	56	63	26	54	37	323	96	58	36	57	28	34	46	101	124	125	15	29	29	49	81	119	159	25	18	51	64	44					
8	Число бюллетеней в стационарных ящиках для голосования	15736	671	338	98	370	305	306	130	395	413	386	106	92	467	578	122	127	119	216	109	451	312	361	165	242	156	140	124	291	183	100	113	124	338	126	122	1427	423	101	1843	488	1315	1443					
9	Число недействительных избирательных бюллетеней	103	3	1	2	0	0	0	3	3	1	1	3	1	7	6	1	0	0	0	2	7	10	2	1	7	0	0	0	5	0	2	0	0	0	2	0	7	3	0	4	6	3	10					
10	Число действительных избирательных бюллетеней	18417	712	427	163	385	368	378	157	440	449	455	165	133	573	656	177	190	145	270	144	767	398	417	200	292	184	174	170	387	307	223	128	153	367	173	203	1539	579	126	1857	533	1376	1477					
11	Число полученных открепительных  удостоверений	690	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	30	15	15	30	15	30	30					
12	Число выданных открепительных удостоверений	128	4	0	0	0	1	3	0	2	4	6	0	0	1	1	0	0	0	0	0	0	0	1	3	1	1	1	1	7	2	4	5	6	0	0	0	14	6	0	29	0	12	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	13	0	1	0	0	3	5	5	4	3	0	0	4	2	2	0	0	1	1	3	2	1	0	4	1	3	0	2	2	0	2	3	2	3	0	15	3	0	11	6	4	18					
14	Число неиспользованных открепительных удостоверений	562	11	15	15	15	14	12	15	13	11	9	15	15	14	14	15	15	15	15	15	15	15	14	12	14	14	14	14	8	13	11	10	9	15	15	15	16	9	15	1	15	18	17					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	402	7	4	3	7	4	6	3	11	2	7	2	3	11	24	3	1	5	2	8	10	11	9	10	13	0	7	0	10	7	2	0	3	4	0	1	34	4	5	69	14	28	48					
		2.17%	0.98%	0.93%	1.82%	1.82%	1.09%	1.59%	1.88%	2.48%	0.44%	1.54%	1.19%	2.24%	1.90%	3.63%	1.69%	0.53%	3.45%	0.74%	5.48%	1.29%	2.70%	2.15%	4.98%	4.35%	0.00%	4.02%	0.00%	2.55%	2.28%	0.89%	0.00%	1.96%	1.09%	0.00%	0.49%	2.20%	0.69%	3.97%	3.71%	2.60%	2.03%	3.23%					
19	. Малышкин Олег Александрович	594	50	15	2	4	15	8	5	8	16	9	8	1	13	25	3	3	0	5	4	29	14	12	2	4	2	4	1	19	11	6	5	3	13	2	10	61	19	10	56	12	41	64					
		3.21%	6.99%	3.50%	1.21%	1.04%	4.08%	2.12%	3.12%	1.81%	3.56%	1.97%	4.76%	0.75%	2.24%	3.78%	1.69%	1.58%	0.00%	1.85%	2.74%	3.75%	3.43%	2.86%	1.00%	1.34%	1.09%	2.30%	0.59%	4.85%	3.58%	2.67%	3.91%	1.96%	3.54%	1.14%	4.93%	3.95%	3.26%	7.94%	3.01%	2.23%	2.97%	4.30%					
20	. Миронов Сергей Михайлович	136	4	3	0	2	3	3	2	2	5	2	3	0	2	4	0	1	0	0	1	5	3	0	1	2	1	0	1	4	2	0	0	1	3	1	2	20	1	3	15	6	17	11					
		0.73%	0.56%	0.70%	0.00%	0.52%	0.82%	0.79%	1.25%	0.45%	1.11%	0.44%	1.79%	0.00%	0.34%	0.60%	0.00%	0.53%	0.00%	0.00%	0.68%	0.65%	0.74%	0.00%	0.50%	0.67%	0.54%	0.00%	0.59%	1.02%	0.65%	0.00%	0.00%	0.65%	0.82%	0.57%	0.99%	1.29%	0.17%	2.38%	0.81%	1.11%	1.23%	0.74%					
21	. Путин Владимир Владимирович	12239	422	270	120	245	231	253	98	344	321	326	109	92	439	515	125	131	106	217	83	571	278	302	139	226	103	123	113	213	236	145	105	109	216	110	115	903	380	60	1318	359	841	827					
		66.09%	59.02%	63.08%	72.73%	63.64%	62.77%	66.93%	61.25%	77.65%	71.33%	71.49%	64.88%	68.66%	75.69%	77.79%	70.22%	68.95%	73.10%	80.37%	56.85%	73.77%	68.14%	72.08%	69.15%	75.59%	55.98%	70.69%	66.47%	54.34%	76.87%	64.44%	82.03%	71.24%	58.86%	62.86%	56.65%	58.41%	65.29%	47.62%	70.82%	66.60%	60.99%	55.62%					
22	. Хакамада Ирина Муцуовна	313	11	5	3	3	7	7	1	5	5	0	3	1	8	8	2	1	3	0	3	14	5	10	2	2	4	4	1	6	4	2	3	1	3	2	11	28	8	1	50	7	38	31					
		1.69%	1.54%	1.17%	1.82%	0.78%	1.90%	1.85%	0.62%	1.13%	1.11%	0.00%	1.79%	0.75%	1.38%	1.21%	1.12%	0.53%	2.07%	0.00%	2.05%	1.81%	1.23%	2.39%	1.00%	0.67%	2.17%	2.30%	0.59%	1.53%	1.30%	0.89%	2.34%	0.65%	0.82%	1.14%	5.42%	1.81%	1.37%	0.79%	2.69%	1.30%	2.76%	2.08%					
23	. Харитонов Николай Михайлович	4275	203	118	33	123	108	94	43	56	93	101	34	32	88	71	41	50	28	37	42	124	86	75	40	42	72	36	48	129	44	66	15	34	122	55	56	457	159	43	226	124	380	447					
		23.08%	28.39%	27.57%	20.00%	31.95%	29.35%	24.87%	26.88%	12.64%	20.67%	22.15%	20.24%	23.88%	15.17%	10.73%	23.03%	26.32%	19.31%	13.70%	28.77%	16.02%	21.08%	17.90%	19.90%	14.05%	39.13%	20.69%	28.24%	32.91%	14.33%	29.33%	11.72%	22.22%	33.24%	31.43%	27.59%	29.56%	27.32%	34.13%	12.14%	23.01%	27.56%	30.06%					
																																																	
24	Против всех	458	15	12	2	1	0	7	5	14	7	10	6	4	12	9	3	3	3	9	3	14	1	9	6	3	2	0	6	6	3	2	0	2	6	3	8	36	8	4	123	11	31	49					
		2.47%	2.10%	2.80%	1.21%	0.26%	0.00%	1.85%	3.12%	3.16%	1.56%	2.19%	3.57%	2.99%	2.07%	1.36%	1.69%	1.58%	2.07%	3.33%	2.05%	1.81%	0.25%	2.15%	2.99%	1.00%	1.09%	0.00%	3.53%	1.53%	0.98%	0.89%	0.00%	1.31%	1.63%	1.71%	3.94%	2.33%	1.37%	3.17%	6.61%	2.04%	2.25%	3.30%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
