Выборы Президента Российской Федерации																																											
																																											
"Наименование Избирательной комиссии:    Орел, Советская"																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №129					
1	"Число избирателей, внесенных в список"	66289	1560	1510	1701	1444	2326	2500	1752	1591	1465	1433	2101	2102	2154	2202	2588	2424	2527	2597	2201	2305	2275	1903	2242	1811	1878	2382	1729	2066	2621	2510	2782	747	133	93	175	459					
2	Число полученных избирательных бюллетеней	67110	1600	1570	1600	1350	2200	2500	1700	1700	1500	1400	2100	2300	2300	2200	2600	2600	2400	2500	2200	2300	2300	2000	2300	1800	1800	2300	2100	2000	2600	2650	2800	760	140	100	190	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56171	1346	1224	1293	991	1589	2211	1246	1304	1276	1236	1747	2040	1648	2009	2010	2291	2127	2351	1931	2071	2055	1415	2098	1576	1745	1820	1541	1731	2304	2372	1994	745	129	75	175	455					
5	"Число избирательных бюллетеней, выданных вне помещения"	2255	60	66	87	76	63	30	61	58	83	81	209	46	79	152	88	37	54	49	35	71	91	64	77	106	35	65	49	36	67	79	79	0	0	18	0	4					
6	Число погашенных избирательных бюллетеней	8684	194	280	220	283	548	259	393	338	141	83	144	214	573	39	502	272	219	100	234	158	154	521	125	118	20	415	510	233	229	199	727	15	11	7	15	191					
7	Число избирательных бюллетеней в переносных ящиках	2255	60	66	87	76	63	30	61	58	83	81	209	46	79	152	88	37	54	49	35	71	91	64	77	106	35	65	49	36	67	79	79	0	0	18	0	4					
8	Число бюллетеней в стационарных ящиках для голосования	56145	1346	1223	1293	991	1589	2211	1246	1304	1276	1235	1747	2040	1648	2009	2010	2291	2121	2351	1931	2071	2055	1415	2098	1576	1745	1817	1541	1731	2296	2372	1987	745	129	75	175	455					
9	Число недействительных избирательных бюллетеней	317	14	5	6	6	3	9	6	10	8	5	4	9	19	2	10	33	10	14	7	12	8	6	12	2	12	25	3	12	3	19	12	2	2	2	2	3					
10	Число действительных избирательных бюллетеней	58083	1392	1284	1374	1061	1649	2232	1301	1352	1351	1311	1952	2077	1708	2159	2088	2295	2165	2386	1959	2130	2138	1473	2163	1680	1768	1857	1587	1755	2360	2432	2054	743	127	91	173	456					
11	Число полученных открепительных  удостоверений	1604	30	30	30	25	40	45	30	171	30	72	50	30	30	30	40	40	100	60	25	40	35	20	30	20	25	30	40	70	109	200	77	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1194	29	30	27	21	33	33	27	143	20	68	37	30	26	29	37	27	72	28	25	32	26	13	23	17	24	30	36	32	109	44	66	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1459	33	24	35	21	19	28	21	32	20	0	28	20	10	15	17	9	18	13	14	18	25	17	23	15	21	23	23	18	25	28	30	611	109	38	8	50					
14	Число неиспользованных открепительных удостоверений	410	1	0	3	4	7	12	3	28	10	4	13	0	4	1	3	13	28	32	0	8	9	7	7	3	1	0	4	38	0	156	11	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	365	0	1	0	1	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	154	0	0	0	201	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	2676	78	94	94	77	104	117	82	63	55	60	86	90	108	106	106	114	121	94	85	104	81	67	84	68	49	85	50	60	81	92	59	39	6	6	9	2					
		4.58%	5.55%	7.29%	6.81%	7.22%	6.30%	5.22%	6.27%	4.63%	4.05%	4.56%	4.40%	4.31%	6.25%	4.91%	5.05%	4.90%	5.56%	3.92%	4.32%	4.86%	3.77%	4.53%	3.86%	4.04%	2.75%	4.52%	3.14%	3.40%	3.43%	3.75%	2.86%	5.23%	4.65%	6.45%	5.14%	0.44%					
19	. Малышкин Олег Александрович	863	10	19	18	16	32	26	21	21	21	16	32	25	22	32	30	31	26	36	27	22	45	21	26	22	26	30	31	30	41	44	30	11	1	0	10	12					
