Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Ломоносовская №9																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021					
1	"Число избирателей, внесенных в список"	33066	2700	2122	1852	1902	2023	2146	1774	2086	2184	2838	2477	2489	2600	1437	1676	760					
2	Число полученных избирательных бюллетеней	35750	2700	2200	2000	2000	2100	2300	1800	2400	2400	3050	2700	2650	3500	1550	1700	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18179	1382	1135	1018	1134	1059	1157	1009	1248	1280	1432	1358	1462	1473	752	905	375					
5	"Число избирательных бюллетеней, выданных вне помещения"	545	60	25	33	16	37	43	33	24	31	25	36	19	20	40	56	47					
6	Число погашенных избирательных бюллетеней	17026	1258	1040	949	850	1004	1100	758	1128	1089	1593	1306	1169	2007	758	739	278					
7	Число избирательных бюллетеней в переносных ящиках	540	60	24	33	16	37	43	32	21	31	25	36	19	20	40	56	47					
8	Число бюллетеней в стационарных ящиках для голосования	18133	1375	1131	1009	1131	1059	1155	1008	1243	1275	1430	1355	1462	1471	751	903	375					
9	Число недействительных избирательных бюллетеней	106	5	7	6	10	7	8	6	5	9	6	5	14	3	9	3	3					
10	Число действительных избирательных бюллетеней	18567	1430	1148	1036	1137	1089	1190	1034	1259	1297	1449	1386	1467	1488	782	956	419					
11	Число полученных открепительных  удостоверений	1000	70	70	60	60	60	60	60	60	60	70	70	70	70	50	70	40					
12	Число выданных открепительных удостоверений	702	50	55	60	47	26	33	28	40	30	59	66	43	65	48	34	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	443	28	13	62	24	26	16	45	57	25	30	13	33	26	14	12	19					
14	Число неиспользованных открепительных удостоверений	298	20	15	0	13	34	27	32	20	30	11	4	27	5	2	36	22					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	673	52	48	27	60	35	36	25	42	56	58	49	61	50	31	30	13					
		3.60%	3.62%	4.16%	2.59%	5.23%	3.19%	3.01%	2.40%	3.32%	4.29%	3.99%	3.52%	4.12%	3.35%	3.92%	3.13%	3.08%					
19	. Малышкин Олег Александрович	195	22	11	8	9	4	12	13	21	11	20	10	18	17	5	12	2					
		1.04%	1.53%	0.95%	0.77%	0.78%	0.36%	1.00%	1.25%	1.66%	0.84%	1.37%	0.72%	1.22%	1.14%	0.63%	1.25%	0.47%					
20	. Миронов Сергей Михайлович	239	20	14	17	13	14	10	12	17	11	20	19	15	23	15	13	6					
		1.28%	1.39%	1.21%	1.63%	1.13%	1.28%	0.83%	1.15%	1.34%	0.84%	1.37%	1.37%	1.01%	1.54%	1.90%	1.36%	1.42%					
21	. Путин Владимир Владимирович	14104	1098	866	804	873	789	917	817	938	958	1086	1058	1104	1153	591	723	329					
		75.53%	76.52%	74.98%	77.16%	76.11%	71.99%	76.54%	78.56%	74.21%	73.35%	74.64%	76.06%	74.54%	77.33%	74.72%	75.39%	77.96%					
22	. Хакамада Ирина Муцуовна	877	50	57	58	59	79	43	37	60	67	63	61	66	80	33	49	15					
		4.70%	3.48%	4.94%	5.57%	5.14%	7.21%	3.59%	3.56%	4.75%	5.13%	4.33%	4.39%	4.46%	5.37%	4.17%	5.11%	3.55%					
23	. Харитонов Николай Михайлович	1769	143	98	83	84	119	124	96	134	143	136	132	145	120	75	99	38					
		9.47%	9.97%	8.48%	7.97%	7.32%	10.86%	10.35%	9.23%	10.60%	10.95%	9.35%	9.49%	9.79%	8.05%	9.48%	10.32%	9.00%					
																							
24	Против всех	710	45	54	39	39	49	48	34	47	51	66	57	58	45	32	30	16					
		3.80%	3.14%	4.68%	3.74%	3.40%	4.47%	4.01%	3.27%	3.72%	3.91%	4.54%	4.10%	3.92%	3.02%	4.05%	3.13%	3.79%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
