Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    район Восточное Дегунино																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №3050					
1	"Число избирателей, внесенных в список"	59749	2562	2505	2731	2769	2512	2511	2633	2707	2649	2845	2952	2968	2917	2372	2890	2849	2631	2585	2656	2759	2791	2847	108					
2	Число полученных избирательных бюллетеней	56467	2400	2400	2600	2600	2400	2400	2500	2600	2500	2700	2700	2700	2700	2200	2700	2700	2500	2500	2500	2600	2700	2700	167					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32477	1412	1347	1508	1486	1305	1359	1385	1476	1415	1558	1561	1641	1650	1256	1647	1518	1463	1393	1439	1495	1444	1611	108					
5	"Число избирательных бюллетеней, выданных вне помещения"	614	31	40	38	48	40	19	30	10	14	10	12	17	19	18	20	30	35	49	29	35	38	32	0					
6	Число погашенных избирательных бюллетеней	23376	957	1013	1054	1066	1055	1022	1085	1114	1071	1132	1127	1042	1031	926	1033	1152	1002	1058	1032	1070	1218	1057	59					
7	Число избирательных бюллетеней в переносных ящиках	614	31	40	38	48	40	19	30	10	14	10	12	17	19	18	20	30	35	49	29	35	38	32	0					
8	Число бюллетеней в стационарных ящиках для голосования	32344	1410	1307	1505	1486	1252	1348	1385	1476	1413	1558	1559	1641	1650	1256	1647	1513	1460	1388	1439	1488	1444	1611	108					
9	Число недействительных избирательных бюллетеней	303	12	20	12	17	25	10	20	11	17	14	17	6	13	24	9	14	13	10	2	8	16	13	0					
10	Число действительных избирательных бюллетеней	32655	1429	1327	1531	1517	1267	1357	1395	1475	1410	1554	1554	1652	1656	1250	1658	1529	1482	1427	1466	1515	1466	1630	108					
11	Число полученных открепительных  удостоверений	1682	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	212	0					
