Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Бавлинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057					
1	"Число избирателей, внесенных в список"	10468	1005	164	782	108	278	382	287	790	543	806	409	793	525	300	369	142	789	177	642	393	243	541					
2	Число полученных избирательных бюллетеней	10614	1005	175	814	108	282	393	291	792	530	814	418	817	528	305	373	143	795	185	653	400	249	544					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9018	797	136	601	94	242	331	251	703	446	614	338	680	476	300	361	131	756	158	555	351	223	474					
5	"Число избирательных бюллетеней, выданных вне помещения"	1085	114	28	87	14	23	46	36	87	52	186	71	71	49	0	8	11	21	17	87	42	18	17					
6	Число погашенных избирательных бюллетеней	511	94	11	126	0	17	16	4	2	32	14	9	66	3	5	4	1	18	10	11	7	8	53					
7	Число избирательных бюллетеней в переносных ящиках	1085	114	28	87	14	23	46	36	87	52	186	71	71	49	0	8	11	21	17	87	42	18	17					
8	Число бюллетеней в стационарных ящиках для голосования	9018	797	136	601	94	242	331	251	703	446	614	338	680	476	300	361	131	756	158	555	351	223	474					
9	Число недействительных избирательных бюллетеней	74	21	2	10	0	3	0	1	2	10	1	4	4	3	0	0	0	0	0	6	0	0	7					
10	Число действительных избирательных бюллетеней	10029	890	162	678	108	262	377	286	788	488	799	405	747	522	300	369	142	777	175	636	393	241	484					
11	Число полученных открепительных  удостоверений	400	20	15	20	15	15	20	15	20	20	20	15	20	20	15	20	15	20	15	20	20	20	20					
12	Число выданных открепительных удостоверений	139	5	3	20	4	6	6	5	5	0	11	9	20	0	0	0	1	7	3	18	8	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	6	3	5	4	4	2	4	5	6	9	3	8	2	1	3	2	2	0	9	6	1	1					
14	Число неиспользованных открепительных удостоверений	261	15	12	0	11	9	14	10	15	20	9	6	0	20	15	20	14	13	12	2	12	18	14					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	125	24	2	18	0	3	2	4	3	3	24	0	0	11	0	0	2	7	0	10	2	2	8					
		1.24%	2.63%	1.22%	2.62%	0.00%	1.13%	0.53%	1.39%	0.38%	0.60%	3.00%	0.00%	0.00%	2.10%	0.00%	0.00%	1.41%	0.90%	0.00%	1.56%	0.51%	0.83%	1.63%					
19	. Малышкин Олег Александрович	102	11	0	6	0	3	0	0	2	1	20	2	7	2	0	0	2	2	3	18	1	4	18					
		1.01%	1.21%	0.00%	0.87%	0.00%	1.13%	0.00%	0.00%	0.25%	0.20%	2.50%	0.49%	0.93%	0.38%	0.00%	0.00%	1.41%	0.26%	1.71%	2.80%	0.25%	1.66%	3.67%					
20	. Миронов Сергей Михайлович	211	33	3	23	2	11	7	3	8	18	12	3	20	8	0	12	0	25	3	5	3	1	11					
		2.09%	3.62%	1.83%	3.34%	1.85%	4.15%	1.86%	1.05%	1.01%	3.61%	1.50%	0.73%	2.66%	1.52%	0.00%	3.25%	0.00%	3.22%	1.71%	0.78%	0.76%	0.41%	2.24%					
21	. Путин Владимир Владимирович	8843	719	131	541	104	245	357	270	755	411	653	383	608	485	299	346	133	707	169	533	386	221	387					
		87.53%	78.92%	79.88%	78.63%	96.30%	92.45%	94.69%	94.08%	95.57%	82.53%	81.62%	93.64%	80.96%	92.38%	99.67%	93.77%	93.66%	90.99%	96.57%	83.02%	98.22%	91.70%	78.82%					
22	. Хакамада Ирина Муцуовна	88	12	7	17	0	0	0	0	2	16	8	0	6	1	0	0	0	7	0	8	0	1	3					
		0.87%	1.32%	4.27%	2.47%	0.00%	0.00%	0.00%	0.00%	0.25%	3.21%	1.00%	0.00%	0.80%	0.19%	0.00%	0.00%	0.00%	0.90%	0.00%	1.25%	0.00%	0.41%	0.61%					
23	. Харитонов Николай Михайлович	597	72	17	61	2	0	11	7	18	38	81	16	100	8	1	11	5	29	0	60	1	12	47					
		5.91%	7.90%	10.37%	8.87%	1.85%	0.00%	2.92%	2.44%	2.28%	7.63%	10.12%	3.91%	13.32%	1.52%	0.33%	2.98%	3.52%	3.73%	0.00%	9.35%	0.25%	4.98%	9.57%					
																													
24	Против всех	63	19	2	12	0	0	0	2	0	1	1	1	6	7	0	0	0	0	0	2	0	0	10					
		0.62%	2.09%	1.22%	1.74%	0.00%	0.00%	0.00%	0.70%	0.00%	0.20%	0.12%	0.24%	0.80%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	2.04%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
