Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
Наименование Избирательной комиссии:    Чишминская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №3383	УИК №3384	УИК №3385	УИК №3386	УИК №3387	УИК №3388	УИК №3389	УИК №3390	УИК №3391	УИК №3392	УИК №3393	УИК №3394	УИК №3395	УИК №3396	УИК №3397	УИК №3398	УИК №3399	УИК №3400	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3565					
1	"Число избирателей, включенных в списки избирателей"	36809	270	621	353	176	204	154	549	490	533	262	334	221	259	481	102	94	138	397	217	455	555	292	338	239	332	151	265	481	478	1877	2086	211	257	207	322	272	316	782	339	440	286	1287	331	152	349	298	445	1100	197	833	2061	947	460	2097	1513	1938	948	2150	1825	1042					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37500	268	620	352	177	204	153	570	497	534	263	331	222	260	487	104	96	138	400	227	463	558	306	352	244	332	150	262	483	473	1795	2216	229	274	232	370	274	329	816	350	440	286	1299	331	151	348	295	455	1130	196	839	2126	924	462	2305	1553	1900	932	2200	1847	1070					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	34615	244	612	335	166	149	148	485	485	509	243	295	219	244	467	102	87	134	358	177	433	524	269	316	232	322	150	229	478	470	1584	1961	156	247	189	247	268	281	710	329	436	277	1219	314	125	301	273	441	1066	179	802	1927	899	443	2020	1440	1853	917	2084	1747	998					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1370	24	0	14	10	53	5	57	0	18	16	36	0	13	9	0	7	4	38	37	22	25	21	18	5	7	0	33	0	0	61	75	53	8	15	69	0	30	66	8	4	6	52	17	13	45	22	0	30	15	8	92	25	5	41	12	47	11	12	17	39					
6	Число погашенных избирательных бюллетеней	1368	0	8	3	1	2	0	28	12	7	4	0	3	3	11	2	2	0	4	13	8	9	16	18	7	3	0	0	5	3	3	180	20	19	28	54	6	18	40	13	0	3	28	0	13	2	0	14	34	2	29	107	0	14	244	101	0	4	104	83	33					
