Выборы Президента Российской Федерации																																																																
Дата голосования: 18.03.2018																																																																
																																																																
Наименование Избирательной комиссии:    Чишминская																																																																
																																																																
Сводная таблица итогов голосования																																																																
																																																																
	Число участковых избирательных комиссий	53																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	53																																																														
																																																																
		Сумма	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360									
		14.71%	15.22%	9.89%	13.83%	7.46%	15.19%	10.74%	12.98%	16.26%	31.60%	9.42%	15.24%	6.51%	8.71%	8.93%	5.53%	8.46%	8.82%	26.85%	19.96%	16.93%	10.84%	20.72%	15.41%	5.04%	15.34%	12.24%	18.82%	16.11%	8.88%	5.86%	5.03%	12.36%	22.95%	15.55%	9.41%	4.08%	2.94%	3.87%	5.50%	9.68%	6.61%	9.83%	23.78%	6.39%	23.53%	13.85%	20.03%	26.01%	14.93%	8.25%	21.38%	18.02%	18.38%									
15	Жириновский Владимир Вольфович	1261	18	28	7	13	14	25	18	13	18	9	17	12	3	8	5	21	14	19	10	4	2	15	6	26	19	17	91	50	18	17	5	14	9	26	12	5	7	4	12	9	13	46	18	22	46	81	44	42	99	77	3	46	84									
		3.99%	2.80%	5.22%	3.72%	3.03%	4.95%	4.88%	3.29%	2.27%	7.79%	2.74%	8.10%	5.58%	0.75%	4.76%	2.51%	5.22%	6.86%	4.02%	2.08%	1.57%	0.70%	3.84%	1.81%	9.35%	3.51%	4.43%	6.10%	5.26%	3.81%	7.11%	1.48%	1.99%	3.08%	2.27%	2.35%	1.36%	2.94%	1.19%	4.12%	2.64%	5.37%	4.15%	2.14%	5.63%	7.73%	4.99%	5.87%	4.83%	5.49%	4.78%	0.19%	2.80%	6.46%									
16	Путин Владимир Владимирович	24488	512	423	152	376	220	410	437	457	127	280	159	181	358	144	176	326	163	300	363	201	245	288	267	234	429	304	1030	689	381	201	307	564	211	917	426	336	216	306	224	290	203	927	605	338	387	1259	515	556	1356	1290	1222	1280	920									
		77.61%	79.50%	78.92%	80.85%	87.65%	77.74%	80.08%	79.89%	79.90%	54.98%	85.11%	75.71%	84.19%	89.05%	85.71%	88.44%	81.09%	79.90%	63.42%	75.47%	79.13%	85.66%	73.66%	80.66%	84.17%	79.30%	79.17%	68.99%	72.53%	80.55%	84.10%	90.83%	80.11%	72.26%	80.09%	83.53%	91.30%	90.76%	91.07%	76.98%	85.04%	83.88%	83.59%	71.94%	86.45%	65.04%	77.52%	68.76%	63.98%	75.25%	80.02%	77.98%	77.91%	70.77%									
17	Собчак Ксения Анатольевна	279	16	12	0	2	2	7	7	3	0	3	0	0	1	1	2	4	6	2	5	3	3	3	1	1	2	3	27	11	7	1	3	5	1	3	5	1	1	3	6	4	3	8	1	1	2	17	5	14	12	35	2	2	10									
		0.88%	2.48%	2.24%	0.00%	0.47%	0.71%	1.37%	1.28%	0.52%	0.00%	0.91%	0.00%	0.00%	0.25%	0.60%	1.01%	0.99%	2.94%	0.42%	1.04%	1.18%	1.05%	0.77%	0.30%	0.36%	0.37%	0.78%	1.81%	1.16%	1.48%	0.42%	0.89%	0.71%	0.34%	0.26%	0.98%	0.27%	0.42%	0.89%	2.06%	1.17%	1.24%	0.72%	0.12%	0.26%	0.34%	1.05%	0.67%	1.61%	0.67%	2.17%	0.13%	0.12%	0.77%									
18	Сурайкин Максим Александрович	225	0	5	1	1	1	2	1	0	3	2	0	2	0	0	3	3	0	3	0	0	3	2	2	2	2	0	11	12	3	1	1	11	2	0	5	1	4	6	10	2	3	5	4	5	8	10	13	11	10	36	2	3	8									
		0.71%	0.00%	0.93%	0.53%	0.23%	0.35%	0.39%	0.18%	0.00%	1.30%	0.61%	0.00%	0.93%	0.00%	0.00%	1.51%	0.75%	0.00%	0.63%	0.00%	0.00%	1.05%	0.51%	0.60%	0.72%	0.37%	0.00%	0.74%	1.26%	0.63%	0.42%	0.30%	1.56%	0.68%	0.00%	0.98%	0.27%	1.68%	1.79%	3.44%	0.59%	1.24%	0.45%	0.48%	1.28%	1.34%	0.62%	1.74%	1.27%	0.55%	2.23%	0.13%	0.18%	0.62%									
19	Титов Борис Юрьевич	154	0	3	0	3	2	3	2	0	1	1	0	0	0	0	0	4	2	5	3	0	1	0	1	0	0	7	12	2	4	0	0	4	0	3	4	4	1	0	4	1	1	2	4	0	2	14	5	5	8	24	1	2	9									
