Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Чишминская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491	УИК №3492	УИК №3493	УИК №3494	УИК №3495	УИК №3496	УИК №3497	УИК №3498	УИК №3499	УИК №3500	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531					
1	"Число избирателей, внесенных в список"	36358	260	291	312	355	185	198	152	421	471	102	599	281	360	220	251	309	159	118	99	157	420	210	399	528	283	359	248	364	170	287	490	486	241	238	237	325	287	333	166	853	338	469	311	1157	220	176	127	377	327	894	791	263	410	1871	987	780	886	1942	856	282	2150	2316	1510	916	1584	287	1907					
2	Число полученных избирательных бюллетеней	36477	270	300	318	353	191	198	155	426	472	98	608	279	359	218	257	300	156	118	102	157	418	213	397	531	285	369	248	368	167	295	494	478	242	238	233	328	288	332	168	850	341	478	314	1180	218	173	120	383	333	912	801	279	411	1943	1002	803	885	1923	832	281	2118	2274	1504	908	1627	288	1869					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32816	232	154	222	330	168	137	139	372	379	84	461	233	292	187	224	245	148	112	95	157	384	186	354	499	259	298	231	342	167	248	488	466	151	209	206	231	217	274	146	626	286	431	287	1027	192	169	108	332	298	822	729	218	399	1820	947	641	825	1788	769	262	2079	2209	1372	857	1539	271	1786					
5	"Число избирательных бюллетеней, выданных вне помещения"	2896	20	137	79	20	17	61	11	41	87	14	129	43	66	31	24	55	8	6	4	0	34	24	42	20	20	55	13	22	0	37	0	0	83	23	26	86	66	52	19	214	44	32	24	75	24	4	12	42	23	46	58	42	3	18	22	139	53	113	45	6	39	65	108	49	33	5	83					
6	Число погашенных избирательных бюллетеней	761	18	9	17	3	6	0	5	13	6	0	18	3	1	0	9	0	0	0	3	0	0	3	1	12	6	16	4	4	0	10	6	12	8	6	1	11	5	6	3	10	11	15	3	78	2	0	0	9	12	44	10	19	9	105	33	23	7	22	18	13	0	0	24	2	55	12	0					
7	Число избирательных бюллетеней в переносных ящиках	2896	20	137	79	20	17	61	11	41	87	14	129	43	66	31	24	55	8	6	4	0	34	24	42	20	20	55	13	22	0	37	0	0	83	23	26	86	66	52	19	214	44	32	24	75	24	4	12	42	23	46	58	42	3	18	22	139	53	113	45	6	39	65	108	49	33	5	83					
8	Число бюллетеней в стационарных ящиках для голосования	32816	232	154	222	330	168	137	139	372	379	84	461	233	292	187	224	245	148	112	95	157	384	186	354	499	259	298	231	342	167	248	488	466	151	209	206	231	217	274	146	626	286	431	287	1027	192	169	108	332	298	822	729	218	399	1820	947	641	825	1788	769	262	2079	2209	1372	857	1539	271	1786					
9	Число недействительных избирательных бюллетеней	24	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	4	1	0	2	0	0	0	3	0	0					
10	Число действительных избирательных бюллетеней	35688	252	291	301	350	185	198	150	413	463	98	590	275	358	218	248	300	156	118	99	157	418	210	395	519	279	353	244	364	167	283	488	466	234	232	232	315	283	326	165	840	329	462	311	1102	216	173	120	374	320	866	787	260	402	1838	969	780	878	1897	813	268	2116	2274	1480	906	1569	276	1869					
