Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Дзержинская городская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
1	"Число избирателей, внесенных в список избирателей"	35825	2880	2745	2652	2776	2707	2743	2886	2838	2690	2824	2850	2620	2614					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32200	2590	2470	2400	2510	2430	2460	2580	2570	2410	2550	2520	2360	2350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19911	1523	1428	1391	1658	1542	1549	1575	1594	1686	1665	1599	1416	1285					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	304	18	15	25	12	28	5	12	18	38	19	67	24	23					
6	Число погашенных избирательных бюллетеней	11977	1049	1020	983	840	860	906	993	958	686	866	854	920	1042					
7	Число избирательных бюллетеней в переносных ящиках для голосования	304	18	15	25	12	28	5	12	18	38	19	67	24	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19883	1523	1428	1399	1651	1542	1547	1568	1588	1684	1659	1599	1411	1284					
9	Число недействительных избирательных бюллетеней	688	52	73	43	55	46	43	41	66	51	56	56	66	40					
10	Число действительных избирательных бюллетеней	19499	1489	1370	1381	1608	1524	1509	1539	1540	1671	1622	1610	1369	1267					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	650	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	299	20	16	24	31	17	22	36	19	23	22	24	15	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	228	20	10	21	24	27	26	32	10	9	6	5	11	27					
14	Число погашенных неиспользованных открепительных удостоверений	351	30	34	26	19	33	28	14	31	27	28	26	35	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	25	2	2	2	1	5	1	3	0	0	4	4	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	8	0	7	1	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3925	255	276	263	330	349	304	284	302	356	391	320	258	237					
		19.44%	16.55%	19.13%	18.47%	19.84%	22.23%	19.59%	17.97%	18.80%	20.67%	23.30%	19.21%	17.98%	18.13%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2978	243	225	213	248	194	206	227	276	244	272	195	200	235					
		14.75%	15.77%	15.59%	14.96%	14.91%	12.36%	13.27%	14.37%	17.19%	14.17%	16.21%	11.70%	13.94%	17.98%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	255	22	15	11	23	22	18	18	29	20	13	23	21	20					
		1.26%	1.43%	1.04%	0.77%	1.38%	1.40%	1.16%	1.14%	1.81%	1.16%	0.77%	1.38%	1.46%	1.53%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4538	327	337	370	366	347	339	383	335	382	313	402	320	317					
		22.48%	21.22%	23.35%	25.98%	22.01%	22.10%	21.84%	24.24%	20.86%	22.18%	18.65%	24.13%	22.30%	24.25%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1811	155	93	100	175	154	193	207	103	159	111	157	113	91					
		8.97%	10.06%	6.44%	7.02%	10.52%	9.81%	12.44%	13.10%	6.41%	9.23%	6.62%	9.42%	7.87%	6.96%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5788	471	406	409	448	445	428	389	479	500	509	499	449	356					
		28.67%	30.56%	28.14%	28.72%	26.94%	28.34%	27.58%	24.62%	29.83%	29.04%	30.33%	29.95%	31.29%	27.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	204	16	18	15	18	13	21	31	16	10	13	14	8	11					
		1.01%	1.04%	1.25%	1.05%	1.08%	0.83%	1.35%	1.96%	0.99%	0.58%	0.77%	0.84%	0.56%	0.84%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
