Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    район Арбат																
																
Итоги голосования 																
																
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  3000					
1	"Число избирателей, внесенных в список"	16875	2163	2011	1441	2542	2349	1970	2205	2158	36					
2	Число полученных избирательных бюллетеней	14497	1900	1800	1300	2200	2000	1600	1900	1700	97					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9262	1177	1070	802	1323	1242	1233	1133	1251	31					
5	"Число избирательных бюллетеней, выданных вне помещения"	340	28	39	38	51	67	24	41	48	4					
6	Число погашенных избирательных бюллетеней	4895	695	691	460	826	691	343	726	401	62					
7	Число избирательных бюллетеней в переносных ящиках	340	28	39	38	51	67	24	41	48	4					
8	Число бюллетеней в стационарных ящиках для голосования	9262	1177	1070	802	1323	1242	1233	1133	1251	31					
9	Число недействительных избирательных бюллетеней	85	4	4	4	23	18	11	11	10	0					
10	Число действительных избирательных бюллетеней	9517	1201	1105	836	1351	1291	1246	1163	1289	35					
11	Число полученных открепительных  удостоверений	499	60	60	40	60	40	139	40	60	0					
12	Число выданных открепительных удостоверений	343	52	36	15	22	26	129	34	29	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1325	111	134	119	173	182	108	194	291	13					
14	Число неиспользованных открепительных удостоверений	156	8	24	25	38	14	10	6	31	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	719	90	91	79	104	102	83	86	80	4					
		7.49%	7.47%	8.21%	9.40%	7.57%	7.79%	6.60%	7.33%	6.16%	11.43%					
19	. Малышкин Олег Александрович	91	12	13	5	13	8	15	10	15	0					
		0.95%	1.00%	1.17%	0.60%	0.95%	0.61%	1.19%	0.85%	1.15%	0.00%					
20	. Миронов Сергей Михайлович	51	11	11	3	8	4	4	5	5	0					
		0.53%	0.91%	0.99%	0.36%	0.58%	0.31%	0.32%	0.43%	0.38%	0.00%					
21	. Путин Владимир Владимирович	5596	665	641	467	767	752	798	679	808	19					
		58.28%	55.19%	57.80%	55.60%	55.82%	57.45%	63.48%	57.84%	62.20%	54.29%					
22	. Хакамада Ирина Муцуовна	1414	206	157	133	226	187	145	159	201	0					
		14.73%	17.10%	14.16%	15.83%	16.45%	14.29%	11.54%	13.54%	15.47%	0.00%					
23	. Харитонов Николай Михайлович	788	113	81	61	106	120	105	119	74	9					
		8.21%	9.38%	7.30%	7.26%	7.71%	9.17%	8.35%	10.14%	5.70%	25.71%					
																
24	Против всех	858	104	111	88	127	118	96	105	106	3					
		8.94%	8.63%	10.01%	10.48%	9.24%	9.01%	7.64%	8.94%	8.16%	8.57%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
