Выборы Президента Российской Федерации														
														
Наименование Избирательной комиссии:    Сут-Хольская														
														
Итоги голосования 														
														
		Сумма	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126					
1	"Число избирателей, внесенных в список"	4646	676	324	529	1691	518	324	584					
2	Число полученных избирательных бюллетеней	4506	672	316	503	1638	488	311	578					
3	"Число избирательных бюллетеней, выданных  досрочно"	231	79	0	33	0	19	53	47					
4	"Число избирательных бюллетеней, выданных в день голосования"	3486	545	284	422	1138	409	219	469					
5	"Число избирательных бюллетеней, выданных вне помещения"	193	25	19	26	73	23	10	17					
6	Число погашенных избирательных бюллетеней	596	23	13	22	427	37	29	45					
7	Число избирательных бюллетеней в переносных ящиках	424	104	19	59	73	42	63	64					
8	Число бюллетеней в стационарных ящиках для голосования	3486	545	284	422	1138	409	219	469					
9	Число недействительных избирательных бюллетеней	24	1	0	4	12	4	1	2					
10	Число действительных избирательных бюллетеней	3886	648	303	477	1199	447	281	531					
11	Число полученных открепительных  удостоверений	100	20	10	10	30	10	10	10					
12	Число выданных открепительных удостоверений	15	0	4	4	6	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	0	0	2	1	1	3					
14	Число неиспользованных открепительных удостоверений	85	20	6	6	24	10	9	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"														
18	. Глазьев Сергей Юрьевич	20	1	0	3	7	2	3	4					
		0.51%	0.15%	0.00%	0.62%	0.58%	0.44%	1.06%	0.75%					
19	. Малышкин Олег Александрович	8	2	0	2	3	0	1	0					
		0.20%	0.31%	0.00%	0.42%	0.25%	0.00%	0.35%	0.00%					
20	. Миронов Сергей Михайлович	10	1	0	3	4	1	0	1					
		0.26%	0.15%	0.00%	0.62%	0.33%	0.22%	0.00%	0.19%					
21	. Путин Владимир Владимирович	3663	630	295	457	1102	433	254	492					
		93.68%	97.07%	97.36%	95.01%	91.00%	96.01%	90.07%	92.31%					
22	. Хакамада Ирина Муцуовна	64	5	4	6	35	3	5	6					
		1.64%	0.77%	1.32%	1.25%	2.89%	0.67%	1.77%	1.13%					
23	. Харитонов Николай Михайлович	108	6	4	6	41	8	16	27					
		2.76%	0.92%	1.32%	1.25%	3.39%	1.77%	5.67%	5.07%					
														
24	Против всех	13	3	0	0	7	0	2	1					
		0.33%	0.46%	0.00%	0.00%	0.58%	0.00%	0.71%	0.19%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
