Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Сердобская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127					
1	"Число избирателей, внесенных в список"	17192	411	470	582	180	1117	88	153	602	105	538	287	1233	497	307	434	1343	1795	1430	145	873	1316	199	807	638	136	394	334	778					
2	Число полученных избирательных бюллетеней	15600	370	430	500	177	1000	88	144	540	107	500	260	1110	440	280	390	1220	1620	1290	138	790	1200	195	730	580	138	363	300	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10699	260	349	300	118	565	74	97	421	84	378	186	1075	311	193	279	532	888	796	101	553	868	131	511	502	126	274	221	506					
5	"Число избирательных бюллетеней, выданных вне помещения"	1484	50	25	93	15	174	11	27	66	4	30	27	28	88	54	70	204	98	106	10	140	54	11	55	15	0	0	16	13					
6	Число погашенных избирательных бюллетеней	3417	60	56	107	44	261	3	20	53	19	92	47	7	41	33	41	484	634	388	27	97	278	53	164	63	12	89	63	181					
7	Число избирательных бюллетеней в переносных ящиках	1484	50	25	93	15	174	11	27	66	4	30	27	28	88	54	70	204	98	106	10	140	54	11	55	15	0	0	16	13					
8	Число бюллетеней в стационарных ящиках для голосования	10696	260	349	300	118	562	74	97	421	84	378	186	1075	311	193	279	532	888	796	101	553	868	131	511	502	126	274	221	506					
9	Число недействительных избирательных бюллетеней	116	2	7	4	0	6	0	0	0	0	5	7	2	1	8	22	8	1	4	1	0	6	2	9	5	4	2	4	6					
10	Число действительных избирательных бюллетеней	12064	308	367	389	133	730	85	124	487	88	403	206	1101	398	239	327	728	985	898	110	693	916	140	557	512	122	272	233	513					
11	Число полученных открепительных  удостоверений	278	10	10	10	8	13	8	8	10	8	10	8	13	10	8	10	13	13	13	8	10	13	8	10	10	8	10	8	10					
12	Число выданных открепительных удостоверений	79	1	4	1	0	6	0	0	3	3	0	0	4	10	5	0	0	4	6	0	2	12	0	7	0	0	1	0	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	1	1	1	1	2	0	3	2	1	1	0	5	2	0	2	2	2	2	4	3	1	1	2	3	0	1	3	4					
14	Число неиспользованных открепительных удостоверений	199	9	6	9	8	7	8	8	7	5	10	8	9	0	3	10	13	9	7	8	8	1	8	3	10	8	9	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	403	11	16	2	1	34	3	5	14	1	10	5	33	16	5	2	38	39	40	2	33	26	3	8	16	5	12	4	19					
		3.31%	3.55%	4.28%	0.51%	0.75%	4.62%	3.53%	4.03%	2.87%	1.14%	2.45%	2.35%	2.99%	4.01%	2.02%	0.57%	5.16%	3.96%	4.43%	1.80%	4.76%	2.82%	2.11%	1.41%	3.09%	3.97%	4.38%	1.69%	3.66%					
19	. Малышкин Олег Александрович	382	9	18	7	8	24	3	0	9	2	18	4	21	10	1	6	30	59	34	0	16	24	4	23	17	0	20	9	6					
		3.14%	2.90%	4.81%	1.78%	6.02%	3.26%	3.53%	0.00%	1.85%	2.27%	4.41%	1.88%	1.90%	2.51%	0.40%	1.72%	4.08%	5.98%	3.77%	0.00%	2.31%	2.60%	2.82%	4.06%	3.29%	0.00%	7.30%	3.80%	1.16%					
