Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Краснознаменская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141					
1	"Число избирателей, внесенных в список избирателей"	30703	2966	2902	2863	2954	2909	3386	3218	3393	3018	3094					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28500	2800	2850	2800	2850	2850	2900	2850	2900	2850	2850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16942	1621	1578	1621	1636	1649	1825	1885	1688	1764	1675					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	267	11	25	13	12	23	127	20	18	9	9					
6	Число погашенных избирательных бюллетеней	11291	1168	1247	1166	1202	1178	948	945	1194	1077	1166					
7	Число избирательных бюллетеней в переносных ящиках для голосования	267	11	25	13	12	23	127	20	18	9	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16864	1605	1553	1616	1634	1648	1823	1871	1685	1763	1666					
9	Число недействительных избирательных бюллетеней	399	27	47	38	34	40	55	41	36	53	28					
10	Число действительных избирательных бюллетеней	16732	1589	1531	1591	1612	1631	1895	1850	1667	1719	1647					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	591	50	50	50	60	50	80	91	60	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	541	49	47	41	53	41	76	84	59	41	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	24	11	20	27	19	28	23	24	32	15					
14	Число погашенных неиспользованных открепительных удостоверений	50	1	3	9	7	9	4	7	1	9	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	2	0	0	1	2	1	1	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2685	262	242	258	244	309	258	269	290	303	250					
		15.67%	16.21%	15.34%	15.84%	14.82%	18.49%	13.23%	14.23%	17.03%	17.10%	14.93%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2734	249	249	285	209	209	415	295	298	222	303					
		15.96%	15.41%	15.78%	17.50%	12.70%	12.51%	21.28%	15.60%	17.50%	12.53%	18.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	388	26	46	52	35	34	35	53	31	39	37					
		2.26%	1.61%	2.92%	3.19%	2.13%	2.03%	1.79%	2.80%	1.82%	2.20%	2.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5393	488	504	505	543	575	518	622	536	579	523					
		31.48%	30.20%	31.94%	31.00%	32.99%	34.41%	26.56%	32.89%	31.47%	32.67%	31.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1412	159	127	132	173	155	113	134	134	168	117					
		8.24%	9.84%	8.05%	8.10%	10.51%	9.28%	5.79%	7.09%	7.87%	9.48%	6.99%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3885	376	337	342	387	328	535	456	359	374	391					
		22.68%	23.27%	21.36%	20.99%	23.51%	19.63%	27.44%	24.11%	21.08%	21.11%	23.34%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	235	29	26	17	21	21	21	21	19	34	26					
		1.37%	1.79%	1.65%	1.04%	1.28%	1.26%	1.08%	1.11%	1.12%	1.92%	1.55%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
