Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Новомалыклинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430					
1	"Число избирателей, внесенных в список"	13274	378	504	559	349	538	504	440	345	173	2566	1393	1342	862	587	546	429	225	141	307	674	412					
2	Число полученных избирательных бюллетеней	12338	347	461	527	320	494	466	412	320	170	2403	1288	1258	792	564	499	385	205	144	282	622	379					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8526	287	349	416	211	390	389	288	251	140	1549	681	714	552	351	379	330	154	91	262	445	297					
5	"Число избирательных бюллетеней, выданных вне помещения"	1044	28	60	60	30	50	30	47	30	9	131	130	101	68	60	30	21	19	20	9	56	55					
6	Число погашенных избирательных бюллетеней	2768	32	52	51	79	54	47	77	39	21	723	477	443	172	153	90	34	32	33	11	121	27					
7	Число избирательных бюллетеней в переносных ящиках	1044	28	60	60	30	50	30	47	30	9	131	130	101	68	60	30	21	19	20	9	56	55					
8	Число бюллетеней в стационарных ящиках для голосования	8522	287	349	416	211	390	389	288	251	140	1546	680	714	552	351	379	330	154	91	262	445	297					
9	Число недействительных избирательных бюллетеней	185	4	6	3	2	60	5	2	3	1	23	17	8	18	6	6	4	3	6	0	3	5					
10	Число действительных избирательных бюллетеней	9381	311	403	473	239	380	414	333	278	148	1654	793	807	602	405	403	347	170	105	271	498	347					
11	Число полученных открепительных  удостоверений	290	8	10	10	7	10	10	10	7	4	55	30	30	20	20	10	10	5	4	5	15	10					
12	Число выданных открепительных удостоверений	124	0	0	10	0	1	1	10	1	0	49	6	6	9	20	5	0	0	3	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	0	1	2	2	3	1	7	0	2	5	7	3	3	3	9	11	2	5	0	1	3					
14	Число неиспользованных открепительных удостоверений	166	8	10	0	7	9	9	0	6	4	6	24	24	11	0	5	10	5	1	5	15	7					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	214	3	4	7	3	12	10	9	4	1	54	12	10	15	8	9	14	1	2	4	23	9					
		2.24%	0.95%	0.98%	1.47%	1.24%	2.73%	2.39%	2.69%	1.42%	0.67%	3.22%	1.48%	1.23%	2.42%	1.95%	2.20%	3.99%	0.58%	1.80%	1.48%	4.59%	2.56%					
19	. Малышкин Олег Александрович	201	3	10	14	11	0	1	12	19	0	39	15	15	10	10	13	11	9	4	1	3	1					
		2.10%	0.95%	2.44%	2.94%	4.56%	0.00%	0.24%	3.58%	6.76%	0.00%	2.33%	1.85%	1.84%	1.61%	2.43%	3.18%	3.13%	5.20%	3.60%	0.37%	0.60%	0.28%					
20	. Миронов Сергей Михайлович	63	7	2	4	5	0	0	6	2	1	12	6	2	4	3	2	1	0	0	1	3	2					
		0.66%	2.22%	0.49%	0.84%	2.07%	0.00%	0.00%	1.79%	0.71%	0.67%	0.72%	0.74%	0.25%	0.65%	0.73%	0.49%	0.28%	0.00%	0.00%	0.37%	0.60%	0.57%					
21	. Путин Владимир Владимирович	6203	228	292	298	128	228	290	218	163	114	1138	581	577	305	275	273	239	118	83	194	210	251					
		64.84%	72.38%	71.39%	62.61%	53.11%	51.82%	69.21%	65.07%	58.01%	76.51%	67.86%	71.73%	70.80%	49.19%	66.91%	66.75%	68.09%	68.21%	74.77%	71.59%	41.92%	71.31%					
22	. Хакамада Ирина Муцуовна	100	1	2	10	2	6	0	6	4	2	21	4	6	7	11	4	4	1	0	0	6	3					
		1.05%	0.32%	0.49%	2.10%	0.83%	1.36%	0.00%	1.79%	1.42%	1.34%	1.25%	0.49%	0.74%	1.13%	2.68%	0.98%	1.14%	0.58%	0.00%	0.00%	1.20%	0.85%					
23	. Харитонов Николай Михайлович	2454	66	88	129	84	125	110	75	86	30	338	169	187	254	91	97	77	38	15	69	249	77					
		25.65%	20.95%	21.52%	27.10%	34.85%	28.41%	26.25%	22.39%	30.60%	20.13%	20.16%	20.86%	22.94%	40.97%	22.14%	23.72%	21.94%	21.97%	13.51%	25.46%	49.70%	21.88%					
																												
24	Против всех	146	3	5	11	6	9	3	7	0	0	52	6	10	7	7	5	1	3	1	2	4	4					
		1.53%	0.95%	1.22%	2.31%	2.49%	2.05%	0.72%	2.09%	0.00%	0.00%	3.10%	0.74%	1.23%	1.13%	1.70%	1.22%	0.28%	1.73%	0.90%	0.74%	0.80%	1.14%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
