Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Княжпогостская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419					
1	"Число избирателей, внесенных в список"	19337	345	557	44	1230	727	1458	2450	2100	1745	1248	962	269	283	59	76	257	61	231	328	95	189	848	343	165	1796	249	291	808	123					
2	Число полученных избирательных бюллетеней	19289	349	466	50	1280	713	1451	2426	2104	1684	1262	949	276	284	63	74	261	60	221	332	92	201	908	346	171	1790	249	276	821	130					
3	"Число избирательных бюллетеней, выданных  досрочно"	101	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	61					
4	"Число избирательных бюллетеней, выданных в день голосования"	10179	163	334	28	602	339	683	1375	1177	878	566	423	133	160	24	50	116	41	149	167	52	122	481	225	117	959	137	166	488	24					
5	"Число избирательных бюллетеней, выданных вне помещения"	671	30	44	7	32	25	6	44	34	25	68	7	28	31	18	11	29	12	29	23	4	4	25	6	7	71	15	0	21	15					
6	Число погашенных избирательных бюллетеней	8338	156	88	15	646	349	762	1007	893	781	628	519	99	93	21	13	116	7	43	142	12	75	402	115	47	760	97	110	312	30					
7	Число избирательных бюллетеней в переносных ящиках	772	30	44	7	32	25	6	44	34	25	68	7	44	31	18	11	29	12	29	23	28	4	25	6	7	71	15	0	21	76					
8	Число бюллетеней в стационарных ящиках для голосования	10179	163	334	28	602	339	683	1375	1177	878	566	423	133	160	24	50	116	41	149	167	52	122	481	225	117	959	137	166	488	24					
9	Число недействительных избирательных бюллетеней	64	0	2	1	1	3	4	5	5	4	3	5	0	0	1	1	4	0	0	1	0	2	0	1	1	11	3	0	6	0					
10	Число действительных избирательных бюллетеней	10887	193	376	34	633	361	685	1414	1206	899	631	425	177	191	41	60	141	53	178	189	80	124	506	230	123	1019	149	166	503	100					
11	Число полученных открепительных  удостоверений	181	5	5	2	5	3	11	15	20	10	10	5	3	10	3	3	5	2	3	3	2	5	3	11	3	13	3	3	10	5					
12	Число выданных открепительных удостоверений	104	2	0	2	0	0	8	15	16	8	4	1	2	2	0	0	2	0	1	1	0	5	3	8	0	13	1	2	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	1	22	0	2	2	4	13	1	2	5	0	2	0	0	2	0	0	6	2	0	2	1	5	0	4	2	0	5	2					
14	Число неиспользованных открепительных удостоверений	77	3	5	0	5	3	3	0	4	2	6	4	1	8	3	3	3	2	2	2	2	0	0	3	3	0	2	1	3	4					
15	"Число открепительных удостоверений, выданных в ТИК"	21	0	0	0	1	2	3	3	3	1	4	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	267	0	10	0	19	6	18	40	39	18	18	11	9	1	0	0	2	0	3	0	1	2	3	2	0	41	4	3	14	3					
