Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Кондольская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861					
1	"Число избирателей, внесенных в список"	7917	1264	1173	469	376	696	159	421	191	341	461	92	447	115	189	335	131	320	118	375	244					
2	Число полученных избирательных бюллетеней	8018	1300	1188	472	376	696	166	426	196	351	464	96	444	118	187	338	130	327	118	380	245					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5029	720	657	281	231	394	114	268	131	248	288	61	343	95	169	204	104	244	87	228	162					
5	"Число избирательных бюллетеней, выданных вне помещения"	1169	146	184	54	42	115	17	87	50	67	81	18	27	0	0	56	21	48	21	88	47					
6	Число погашенных избирательных бюллетеней	1820	434	347	137	103	187	35	71	15	36	95	17	74	23	18	78	5	35	10	64	36					
7	Число избирательных бюллетеней в переносных ящиках	1169	146	184	54	42	115	17	87	50	67	81	18	27	0	0	56	21	48	21	88	47					
8	Число бюллетеней в стационарных ящиках для голосования	5029	720	657	281	231	394	114	268	131	248	288	61	343	95	169	204	104	244	87	228	162					
9	Число недействительных избирательных бюллетеней	57	5	11	5	0	6	0	7	0	4	1	0	2	1	1	2	0	2	2	6	2					
10	Число действительных избирательных бюллетеней	6141	861	830	330	273	503	131	348	181	311	368	79	368	94	168	258	125	290	106	310	207					
11	Число полученных открепительных  удостоверений	180	26	26	11	7	15	5	9	5	7	15	3	11	3	5	7	3	7	3	7	5					
12	Число выданных открепительных удостоверений	100	26	25	5	2	1	0	4	5	7	8	0	5	1	1	1	0	2	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	9	4	1	1	1	0	0	3	0	1	1	6	1	3	1	0	1	2	3	3					
14	Число неиспользованных открепительных удостоверений	80	0	1	6	5	14	5	5	0	0	7	3	6	2	4	6	3	5	3	0	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	163	37	35	5	9	9	2	7	7	6	5	1	13	4	2	5	3	4	0	4	5					
		2.63%	4.27%	4.16%	1.49%	3.30%	1.77%	1.53%	1.97%	3.87%	1.90%	1.36%	1.27%	3.51%	4.21%	1.18%	1.92%	2.40%	1.37%	0.00%	1.27%	2.39%					
19	. Малышкин Олег Александрович	111	12	17	7	9	5	1	3	2	14	5	0	14	3	2	6	0	1	2	6	2					
		1.79%	1.39%	2.02%	2.09%	3.30%	0.98%	0.76%	0.85%	1.10%	4.44%	1.36%	0.00%	3.78%	3.16%	1.18%	2.31%	0.00%	0.34%	1.85%	1.90%	0.96%					
20	. Миронов Сергей Михайлович	42	10	6	0	4	3	1	1	0	5	2	0	1	0	1	0	0	3	1	1	3					
		0.68%	1.15%	0.71%	0.00%	1.47%	0.59%	0.76%	0.28%	0.00%	1.59%	0.54%	0.00%	0.27%	0.00%	0.59%	0.00%	0.00%	1.03%	0.93%	0.32%	1.44%					
21	. Путин Владимир Владимирович	4259	536	572	215	159	287	77	263	146	242	262	65	267	71	141	153	107	222	88	228	158					
		68.72%	61.89%	68.01%	64.18%	58.24%	56.39%	58.78%	74.08%	80.66%	76.83%	71.00%	82.28%	72.16%	74.74%	83.43%	58.85%	85.60%	76.03%	81.48%	72.15%	75.60%					
22	. Хакамада Ирина Муцуовна	78	17	14	4	7	3	0	7	0	4	3	0	6	2	2	3	0	4	1	1	0					
		1.26%	1.96%	1.66%	1.19%	2.56%	0.59%	0.00%	1.97%	0.00%	1.27%	0.81%	0.00%	1.62%	2.11%	1.18%	1.15%	0.00%	1.37%	0.93%	0.32%	0.00%					
23	. Харитонов Николай Михайлович	1386	229	164	94	83	189	48	60	25	38	83	13	63	12	15	89	15	55	14	59	38					
		22.36%	26.44%	19.50%	28.06%	30.40%	37.13%	36.64%	16.90%	13.81%	12.06%	22.49%	16.46%	17.03%	12.63%	8.88%	34.23%	12.00%	18.84%	12.96%	18.67%	18.18%					
																											
24	Против всех	102	20	22	5	2	7	2	7	1	2	8	0	4	2	5	2	0	1	0	11	1					
		1.65%	2.31%	2.62%	1.49%	0.73%	1.38%	1.53%	1.97%	0.55%	0.63%	2.17%	0.00%	1.08%	2.11%	2.96%	0.77%	0.00%	0.34%	0.00%	3.48%	0.48%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
