Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Большеуковская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104					
1	"Число избирателей, внесенных в список"	6819	1940	483	695	621	68	115	87	487	151	382	69	79	292	384	132	266	140	390	38					
2	Число полученных избирательных бюллетеней	6600	1830	490	675	600	67	112	79	465	154	360	73	83	285	365	138	280	143	365	36					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4648	1160	325	448	383	49	87	53	337	125	312	63	58	246	281	106	193	103	284	35					
5	"Число избирательных бюллетеней, выданных вне помещения"	486	118	56	36	34	2	19	20	40	12	20	2	9	24	32	17	13	13	19	0					
6	Число погашенных избирательных бюллетеней	1466	552	109	191	183	16	6	6	88	17	28	8	16	15	52	15	74	27	62	1					
7	Число избирательных бюллетеней в переносных ящиках	486	118	56	36	34	2	19	20	40	12	20	2	9	24	32	17	13	13	19	0					
8	Число бюллетеней в стационарных ящиках для голосования	4648	1160	325	448	383	49	87	53	337	125	312	63	58	246	281	106	193	103	284	35					
9	Число недействительных избирательных бюллетеней	36	8	3	5	3	0	0	0	3	1	2	0	1	2	3	1	0	1	3	0					
10	Число действительных избирательных бюллетеней	5098	1270	378	479	414	51	106	73	374	136	330	65	66	268	310	122	206	115	300	35					
11	Число полученных открепительных  удостоверений	300	40	30	30	30	5	5	5	25	5	20	5	5	15	20	5	25	5	20	5					
12	Число выданных открепительных удостоверений	110	30	14	12	12	0	0	0	3	0	1	2	1	2	5	2	22	3	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	6	1	2	0	2	4	2	3	3	3	1	4	2	3	2	3	3	1	2					
14	Число неиспользованных открепительных удостоверений	190	10	16	18	18	5	5	5	22	5	19	3	4	13	15	3	3	2	19	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	120	46	7	10	7	1	2	0	8	5	10	1	2	3	8	1	3	0	6	0					
		2.34%	3.60%	1.84%	2.07%	1.68%	1.96%	1.89%	0.00%	2.12%	3.65%	3.01%	1.54%	2.99%	1.11%	2.56%	0.81%	1.46%	0.00%	1.98%	0.00%					
19	. Малышкин Олег Александрович	173	34	9	23	19	3	5	3	18	2	12	0	6	10	11	7	2	3	6	0					
		3.37%	2.66%	2.36%	4.75%	4.56%	5.88%	4.72%	4.11%	4.77%	1.46%	3.61%	0.00%	8.96%	3.70%	3.51%	5.69%	0.97%	2.59%	1.98%	0.00%					
20	. Миронов Сергей Михайлович	45	10	8	2	2	0	4	0	1	1	5	0	1	3	3	1	1	1	2	0					
		0.88%	0.78%	2.10%	0.41%	0.48%	0.00%	3.77%	0.00%	0.27%	0.73%	1.51%	0.00%	1.49%	1.11%	0.96%	0.81%	0.49%	0.86%	0.66%	0.00%					
21	. Путин Владимир Владимирович	3291	834	246	311	279	34	82	51	205	90	219	32	38	201	177	93	119	95	158	27					
		64.10%	65.26%	64.57%	64.26%	66.91%	66.67%	77.36%	69.86%	54.38%	65.69%	65.96%	49.23%	56.72%	74.44%	56.55%	75.61%	57.77%	81.90%	52.15%	77.14%					
22	. Хакамада Ирина Муцуовна	100	38	2	11	7	2	3	0	4	4	6	0	1	6	5	4	4	0	3	0					
		1.95%	2.97%	0.52%	2.27%	1.68%	3.92%	2.83%	0.00%	1.06%	2.92%	1.81%	0.00%	1.49%	2.22%	1.60%	3.25%	1.94%	0.00%	0.99%	0.00%					
23	. Харитонов Николай Михайлович	1282	279	101	114	98	11	10	19	132	30	74	32	16	41	99	15	72	15	117	7					
		24.97%	21.83%	26.51%	23.55%	23.50%	21.57%	9.43%	26.03%	35.01%	21.90%	22.29%	49.23%	23.88%	15.19%	31.63%	12.20%	34.95%	12.93%	38.61%	20.00%					
																										
24	Против всех	87	29	5	8	2	0	0	0	6	4	4	0	2	4	7	1	5	1	8	1					
		1.69%	2.27%	1.31%	1.65%	0.48%	0.00%	0.00%	0.00%	1.59%	2.92%	1.20%	0.00%	2.99%	1.48%	2.24%	0.81%	2.43%	0.86%	2.64%	2.86%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
