Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Kлепиковская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180									
		74.93%	79.47%	74.38%	70.91%	68.72%	76.42%	79.20%	75.52%	72.48%	75.00%	78.95%	66.21%	74.70%	74.89%	72.61%	78.87%	76.36%	59.85%	67.94%	73.53%	75.98%	87.50%	75.21%	79.93%	77.64%	56.11%	76.86%	79.60%	77.03%	76.36%	79.93%	76.19%	81.78%	73.45%	77.91%	84.56%	69.57%	86.15%	68.77%	80.27%	76.63%									
22	. Хакамада Ирина Муцуовна	284	29	32	17	12	13	14	16	11	12	9	1	3	2	1	2	7	4	4	20	1	2	1	11	2	9	3	11	1	5	2	3	1	4	1	5	1	0	4	5	3									
		1.78%	2.32%	3.04%	2.21%	1.61%	1.68%	1.69%	1.76%	1.30%	1.92%	0.93%	0.69%	3.61%	0.88%	0.64%	0.94%	2.24%	0.74%	1.27%	2.07%	0.56%	1.47%	0.85%	1.84%	1.24%	2.82%	1.24%	3.68%	1.35%	4.55%	0.74%	2.86%	0.47%	3.54%	1.16%	1.75%	1.45%	0.00%	1.49%	2.24%	1.03%									
23	. Харитонов Николай Михайлович	2241	116	137	124	149	108	102	126	136	103	106	35	15	32	36	30	29	67	54	142	27	7	18	60	18	104	35	29	11	15	26	17	26	19	8	13	16	3	64	24	54									
		14.05%	9.27%	13.00%	16.10%	20.00%	13.92%	12.33%	13.89%	16.13%	16.51%	10.94%	24.14%	18.07%	14.10%	22.93%	14.08%	9.27%	12.34%	17.14%	14.68%	15.08%	5.15%	15.38%	10.03%	11.18%	32.60%	14.46%	9.70%	14.86%	13.64%	9.67%	16.19%	12.15%	16.81%	9.30%	4.56%	23.19%	4.62%	23.79%	10.76%	18.56%									
																																																			
24	Против всех	362	23	34	16	27	13	20	27	20	9	37	1	2	5	1	5	11	15	3	29	1	1	1	10	4	6	2	3	0	1	2	0	3	0	3	8	1	1	9	3	5									
		2.27%	1.84%	3.23%	2.08%	3.62%	1.68%	2.42%	2.98%	2.37%	1.44%	3.82%	0.69%	2.41%	2.20%	0.64%	2.35%	3.51%	2.76%	0.95%	3.00%	0.56%	0.74%	0.85%	1.67%	2.48%	1.88%	0.83%	1.00%	0.00%	0.91%	0.74%	0.00%	1.40%	0.00%	3.49%	2.81%	1.45%	1.54%	3.35%	1.35%	1.72%									
																																																			
																																																			
