Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Удорская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609					
1	"Число избирателей, внесенных в список"	14461	47	368	284	2043	208	214	253	55	370	78	395	302	107	404	64	189	116	217	1787	1643	269	93	1716	142	274	1133	113	728	275	574					
2	Число полученных избирательных бюллетеней	15410	50	390	300	2000	220	220	300	70	390	90	420	300	130	440	80	200	130	240	1900	1800	270	100	1800	150	290	1300	140	750	290	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	182	0	25	0	0	0	0	36	0	40	0	0	14	2	0	0	0	0	36	0	0	0	9	0	0	0	0	0	0	0	20					
4	"Число избирательных бюллетеней, выданных в день голосования"	9933	35	204	203	1314	136	171	189	42	259	65	289	204	87	283	53	139	94	162	1096	1053	218	72	1137	134	218	726	81	576	260	433					
5	"Число избирательных бюллетеней, выданных вне помещения"	691	10	60	35	90	19	24	18	8	22	9	4	48	15	30	11	24	22	12	56	68	7	7	47	1	10	16	0	18	0	0					
6	Число погашенных избирательных бюллетеней	4604	5	101	62	596	65	25	57	20	69	16	127	34	26	127	16	37	14	30	748	679	45	12	616	15	62	558	59	156	30	197					
7	Число избирательных бюллетеней в переносных ящиках	873	10	85	35	90	19	24	54	8	62	9	4	62	17	30	11	24	22	48	56	68	7	16	47	1	10	16	0	18	0	20					
8	Число бюллетеней в стационарных ящиках для голосования	9933	35	204	203	1314	136	171	189	42	259	65	289	204	87	283	53	139	94	162	1096	1053	218	72	1137	134	218	726	81	576	260	433					
9	Число недействительных избирательных бюллетеней	75	0	1	3	19	0	1	1	1	2	3	2	0	0	3	0	0	0	0	7	9	0	0	9	1	0	5	0	0	6	2					
10	Число действительных избирательных бюллетеней	10731	45	288	235	1385	155	194	242	49	319	71	291	266	104	310	64	163	116	210	1145	1112	225	88	1175	134	228	737	81	594	254	451					
11	Число полученных открепительных  удостоверений	249	0	10	10	30	5	10	13	2	10	8	5	7	5	5	0	5	5	8	25	25	5	0	22	5	1	8	2	10	3	5					
12	Число выданных открепительных удостоверений	249	0	10	10	30	5	10	13	2	10	8	5	7	5	5	0	5	5	8	25	25	5	0	22	5	1	8	2	10	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	93	0	1	1	20	1	2	5	1	3	0	2	2	0	2	0	2	1	6	14	13	0	0	5	0	4	3	0	0	5	0					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	252	4	6	1	50	4	1	0	2	3	0	6	3	0	7	1	5	1	4	41	40	1	0	18	1	1	20	1	23	0	8					
		2.33%	8.89%	2.08%	0.42%	3.56%	2.58%	0.51%	0.00%	4.00%	0.93%	0.00%	2.05%	1.13%	0.00%	2.24%	1.56%	3.07%	0.86%	1.90%	3.56%	3.57%	0.44%	0.00%	1.52%	0.74%	0.44%	2.70%	1.23%	3.87%	0.00%	1.77%					
19	. Малышкин Олег Александрович	329	4	1	5	41	3	3	11	0	11	0	11	4	6	4	0	9	3	4	28	45	4	6	42	0	2	48	3	14	7	10					
		3.04%	8.89%	0.35%	2.10%	2.92%	1.94%	1.54%	4.53%	0.00%	3.43%	0.00%	3.75%	1.50%	5.77%	1.28%	0.00%	5.52%	2.59%	1.90%	2.43%	4.01%	1.78%	6.82%	3.55%	0.00%	0.88%	6.47%	3.70%	2.36%	2.69%	2.21%					
20	. Миронов Сергей Михайлович	85	1	1	0	10	0	1	2	1	2	0	5	2	0	1	0	6	0	0	17	7	1	0	10	2	1	4	0	3	2	6					
		0.79%	2.22%	0.35%	0.00%	0.71%	0.00%	0.51%	0.82%	2.00%	0.62%	0.00%	1.71%	0.75%	0.00%	0.32%	0.00%	3.68%	0.00%	0.00%	1.48%	0.62%	0.44%	0.00%	0.84%	1.48%	0.44%	0.54%	0.00%	0.51%	0.77%	1.32%					
21	. Путин Владимир Владимирович	8161	19	205	203	1024	124	175	203	39	251	54	209	194	71	225	53	108	93	156	858	813	193	63	971	118	193	546	61	410	203	326					
		75.52%	42.22%	70.93%	85.29%	72.93%	80.00%	89.74%	83.54%	78.00%	78.19%	72.97%	71.33%	72.93%	68.27%	71.88%	82.81%	66.26%	80.17%	74.29%	74.48%	72.52%	85.78%	71.59%	82.01%	87.41%	84.65%	73.58%	75.31%	69.02%	78.08%	71.96%					
22	. Хакамада Ирина Муцуовна	239	0	3	1	35	6	1	2	0	10	2	5	8	0	4	1	4	3	5	26	30	3	0	21	3	6	32	1	15	2	10					
		2.21%	0.00%	1.04%	0.42%	2.49%	3.87%	0.51%	0.82%	0.00%	3.12%	2.70%	1.71%	3.01%	0.00%	1.28%	1.56%	2.45%	2.59%	2.38%	2.26%	2.68%	1.33%	0.00%	1.77%	2.22%	2.63%	4.31%	1.23%	2.53%	0.77%	2.21%					
23	. Харитонов Николай Михайлович	1457	17	67	20	197	15	11	21	7	37	15	49	50	26	67	8	31	16	38	143	143	22	17	92	8	23	66	10	124	32	85					
		13.48%	37.78%	23.18%	8.40%	14.03%	9.68%	5.64%	8.64%	14.00%	11.53%	20.27%	16.72%	18.80%	25.00%	21.41%	12.50%	19.02%	13.79%	18.10%	12.41%	12.76%	9.78%	19.32%	7.77%	5.93%	10.09%	8.89%	12.35%	20.88%	12.31%	18.76%					
																																					
24	Против всех	208	0	5	5	28	3	2	3	0	5	0	6	5	1	2	1	0	0	3	32	34	1	2	21	2	2	21	5	5	8	6					
		1.92%	0.00%	1.73%	2.10%	1.99%	1.94%	1.03%	1.23%	0.00%	1.56%	0.00%	2.05%	1.88%	0.96%	0.64%	1.56%	0.00%	0.00%	1.43%	2.78%	3.03%	0.44%	2.27%	1.77%	1.48%	0.88%	2.83%	6.17%	0.84%	3.08%	1.32%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
