Выборы Президента Российской Федерации																																																				
																																																				
Наименование Избирательной комиссии:    Володарская																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №654	УИК №655					
1	"Число избирателей, внесенных в список"	33715	1718	1650	1795	664	122	1465	1184	453	792	356	662	422	1822	214	321	93	293	266	874	174	293	959	425	519	1013	200	648	944	421	104	91	805	541	538	801	2012	1768	1819	1301	207	261	310	461	1381	553					
2	Число полученных избирательных бюллетеней	33026	1614	1510	1739	673	121	1404	1146	453	807	353	679	431	1775	216	327	93	294	268	875	174	296	964	424	524	990	200	645	947	431	104	91	832	544	556	817	1926	1685	1727	1262	207	271	299	458	1305	569					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18960	897	740	862	404	88	696	482	358	518	227	312	230	837	121	234	65	119	132	671	151	194	398	307	379	503	120	450	602	336	91	85	452	347	381	428	818	1396	889	837	158	195	223	251	658	318					
5	"Число избирательных бюллетеней, выданных вне помещения"	3162	51	66	89	36	0	285	418	15	48	24	137	41	167	50	23	10	99	58	81	7	39	198	35	20	84	24	30	97	20	1	5	96	27	15	71	142	64	124	90	14	35	63	72	51	40					
6	Число погашенных избирательных бюллетеней	10904	666	704	788	233	33	423	246	80	241	102	230	160	771	45	70	18	76	78	123	16	63	368	82	125	403	56	165	248	75	12	1	284	170	160	318	966	225	714	335	35	41	13	135	596	211					
7	Число избирательных бюллетеней в переносных ящиках	3147	51	66	89	36	0	285	418	15	48	24	137	41	167	50	23	10	99	58	81	7	39	198	35	20	84	24	30	97	20	1	5	96	27	15	71	142	64	124	90	14	35	63	72	51	25					
8	Число бюллетеней в стационарных ящиках для голосования	18959	897	739	862	404	88	696	482	358	518	227	312	230	837	121	234	65	119	132	671	151	194	398	307	379	503	120	450	602	336	91	85	452	347	381	428	818	1396	889	837	158	195	223	251	658	318					
9	Число недействительных избирательных бюллетеней	387	20	15	13	7	1	11	6	1	38	4	3	5	27	0	0	0	4	6	3	3	0	17	4	8	20	1	0	17	8	0	0	6	6	3	11	26	13	28	17	0	4	1	9	15	6					
10	Число действительных избирательных бюллетеней	21719	928	790	938	433	87	970	894	372	528	247	446	266	977	171	257	75	214	184	749	155	233	579	338	391	567	143	480	682	348	92	90	542	368	393	488	934	1447	985	910	172	226	285	314	694	337					
11	Число полученных открепительных  удостоверений	384	15	15	10	15	5	15	15	5	5	5	5	15	15	5	5	4	5	5	8	4	4	10	5	8	15	6	6	10	5	4	4	15	6	6	8	15	15	15	15	4	4	4	4	10	10					
12	Число выданных открепительных удостоверений	164	5	14	6	11	0	12	15	0	4	1	4	2	13	0	4	0	0	0	1	1	0	6	0	5	1	0	0	6	3	0	0	10	2	4	1	9	3	5	6	0	1	0	0	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	117	8	7	1	4	5	5	5	0	5	2	3	0	3	0	0	0	1	0	3	2	0	0	2	10	1	0	0	10	0	0	0	2	4	1	2	3	8	2	5	3	0	0	4	4	2					
14	Число неиспользованных открепительных удостоверений	220	10	1	4	4	5	3	0	5	1	4	1	13	2	5	1	4	5	5	7	3	4	4	5	3	14	6	6	4	2	4	4	5	4	2	7	6	12	10	9	4	3	4	4	4	7					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
