Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Выборгская №14																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325					
1	"Число избирателей, внесенных в список"	83974	2613	1964	2109	1988	1916	2416	2335	2022	2588	1858	2270	2234	1815	2410	2806	2976	3003	2522	2276	1985	2430	2034	2236	2580	2139	2095	2055	2105	2022	1009	2048	1809	2260	1348	1038	881	1294	1810	2198	2477					
2	Число полученных избирательных бюллетеней	82150	2600	1900	2100	1900	1850	2400	2300	2000	2500	1800	2200	2200	2000	2400	2800	2850	2900	2500	2200	1900	2300	2000	2200	2500	2100	2100	2000	2100	2000	950	2100	1750	2200	1300	950	800	1200	1750	2000	2550					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44765	1386	1087	1148	1082	1077	1188	1145	1074	1329	903	1298	1178	1018	1336	1620	1706	1649	1431	1240	1067	1442	972	1130	1289	1107	1000	1111	1128	1138	393	1275	828	1189	754	516	414	569	970	1436	1142					
5	"Число избирательных бюллетеней, выданных вне помещения"	972	13	16	8	28	20	12	13	11	20	14	25	9	6	16	37	10	11	34	22	41	20	17	12	18	13	19	16	14	15	59	16	17	19	27	36	54	56	14	65	99					
6	Число погашенных избирательных бюллетеней	36413	1201	797	944	790	753	1200	1142	915	1151	883	877	1013	976	1048	1143	1134	1240	1035	938	792	838	1011	1058	1193	980	1081	873	958	847	498	809	905	992	519	398	332	575	766	499	1309					
7	Число избирательных бюллетеней в переносных ящиках	972	13	16	8	28	20	12	13	11	20	14	25	9	6	16	37	10	11	34	22	41	20	17	12	18	13	19	16	14	15	59	16	17	19	27	36	54	56	14	65	99					
8	Число бюллетеней в стационарных ящиках для голосования	44720	1382	1086	1147	1082	1077	1187	1145	1074	1329	903	1298	1172	1015	1336	1618	1704	1649	1431	1239	1067	1439	972	1128	1289	1107	999	1111	1128	1138	391	1273	828	1189	754	516	412	569	969	1427	1140					
9	Число недействительных избирательных бюллетеней	153	2	9	1	0	8	6	0	3	3	1	6	0	4	5	1	2	1	4	4	1	2	2	3	8	6	6	3	5	1	1	8	4	4	9	1	2	6	6	8	7					
10	Число действительных избирательных бюллетеней	45539	1393	1093	1154	1110	1089	1193	1158	1082	1346	916	1317	1181	1017	1347	1654	1712	1659	1461	1257	1107	1457	987	1137	1299	1114	1012	1124	1137	1152	449	1281	841	1204	772	551	464	619	977	1484	1232					
11	Число полученных открепительных  удостоверений	3995	125	95	100	91	90	115	110	95	122	90	110	105	95	115	140	140	135	125	110	95	115	96	105	121	102	102	96	102	96	50	102	85	108	65	45	46	51	86	94	125					
