Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Калязинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
1	"Число избирателей, внесенных в список"	18894	416	201	158	218	286	375	256	301	380	122	184	207	1014	430	222	181	463	222	225	402	273	324	50	2297	1265	2897	2537	2925	63					
2	Число полученных избирательных бюллетеней	17742	410	195	160	220	285	375	245	300	375	125	180	205	1000	425	216	180	460	215	226	400	265	316	51	2100	1150	2600	2300	2700	63					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8936	199	87	94	92	163	127	118	167	175	74	51	83	589	232	200	70	223	117	93	220	143	130	50	1101	573	1265	1118	1322	60					
5	"Число избирательных бюллетеней, выданных вне помещения"	2058	99	59	38	61	60	139	68	61	88	28	94	78	134	85	0	64	172	60	108	106	76	140	0	63	38	30	55	54	0					
6	Число погашенных избирательных бюллетеней	6748	112	49	28	67	62	109	59	72	112	23	35	44	277	108	16	46	65	38	25	74	46	46	1	936	539	1305	1127	1324	3					
7	Число избирательных бюллетеней в переносных ящиках	2058	99	59	38	61	60	139	68	61	88	28	94	78	134	85	0	64	172	60	108	106	76	140	0	63	38	30	55	54	0					
8	Число бюллетеней в стационарных ящиках для голосования	8936	199	87	94	92	163	127	118	167	175	74	51	83	589	232	200	70	223	117	93	220	143	130	50	1101	573	1265	1118	1322	60					
9	Число недействительных избирательных бюллетеней	46	0	1	0	0	0	2	1	1	3	0	0	2	0	1	0	0	0	0	0	0	0	1	1	9	1	7	4	12	0					
10	Число действительных избирательных бюллетеней	10948	298	145	132	153	223	264	185	227	260	102	145	159	723	316	200	134	395	177	201	326	219	269	49	1155	610	1288	1169	1364	60					
11	Число полученных открепительных  удостоверений	386	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	26	10	0	30	30	30	30	30	0					
12	Число выданных открепительных удостоверений	180	2	1	3	2	3	3	3	0	6	8	0	0	3	0	1	1	10	6	1	2	26	9	0	22	7	20	15	26	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	138	3	3	2	2	1	0	4	2	12	0	4	3	8	2	7	1	2	8	0	1	8	6	23	8	6	4	15	3	0					
14	Число неиспользованных открепительных удостоверений	206	8	9	7	8	7	7	7	10	4	2	10	10	7	10	9	9	0	4	9	8	0	1	0	8	23	10	15	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	14	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	2	6	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	375	9	2	2	4	6	3	0	8	7	0	2	2	31	4	4	1	3	3	4	6	14	12	1	49	27	46	60	64	1					
		3.41%	3.02%	1.37%	1.52%	2.61%	2.69%	1.13%	0.00%	3.51%	2.66%	0.00%	1.38%	1.24%	4.29%	1.26%	2.00%	0.75%	0.76%	1.69%	1.99%	1.84%	6.39%	4.44%	2.00%	4.21%	4.42%	3.55%	5.12%	4.65%	1.67%					
19	. Малышкин Олег Александрович	213	4	3	2	4	5	5	1	8	6	1	5	6	15	12	2	0	4	9	3	4	10	3	1	16	7	34	14	29	0					
		1.94%	1.34%	2.05%	1.52%	2.61%	2.24%	1.88%	0.54%	3.51%	2.28%	0.98%	3.45%	3.73%	2.07%	3.79%	1.00%	0.00%	1.01%	5.08%	1.49%	1.23%	4.57%	1.11%	2.00%	1.37%	1.15%	2.63%	1.19%	2.11%	0.00%					
20	. Миронов Сергей Михайлович	112	2	0	2	1	0	3	3	1	2	0	3	4	5	5	1	1	5	0	2	2	1	1	1	15	9	10	21	12	0					
		1.02%	0.67%	0.00%	1.52%	0.65%	0.00%	1.13%	1.61%	0.44%	0.76%	0.00%	2.07%	2.48%	0.69%	1.58%	0.50%	0.75%	1.27%	0.00%	1.00%	0.61%	0.46%	0.37%	2.00%	1.29%	1.47%	0.77%	1.79%	0.87%	0.00%					
21	. Путин Владимир Владимирович	7754	212	119	81	114	160	184	155	122	166	75	109	78	505	214	138	104	314	133	136	257	146	218	34	816	447	920	770	971	56					
