Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Малопургинская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542					
1	"Число избирателей, внесенных в список"	22928	1336	1601	1221	967	321	237	466	217	238	859	1195	1040	959	564	291	529	156	723	255	445	317	752	253	528	265	895	153	331	381	469	292	266	389	790	96	686	108	243	533	281	861	419					
2	Число полученных избирательных бюллетеней	22900	1300	1600	1200	900	330	250	470	230	250	900	1100	1000	900	530	300	500	160	700	250	500	300	700	250	500	260	850	200	300	400	700	300	270	400	750	120	700	130	250	550	300	900	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17145	979	1208	878	707	228	168	379	154	194	537	947	710	681	406	238	370	121	502	200	417	233	603	210	395	172	563	123	199	276	425	204	207	309	618	88	524	94	223	412	272	696	275					
5	"Число избирательных бюллетеней, выданных вне помещения"	1013	20	26	9	8	12	22	20	15	18	85	23	96	12	22	0	9	5	20	1	28	21	57	19	9	13	25	7	59	34	44	29	8	47	46	2	41	5	6	14	2	22	52					
6	Число погашенных избирательных бюллетеней	4742	301	366	313	185	90	60	71	61	38	278	130	194	207	102	62	121	34	178	49	55	46	40	21	96	75	262	70	42	90	231	67	55	44	86	30	135	31	21	124	26	182	73					
7	Число избирательных бюллетеней в переносных ящиках	1013	20	26	9	8	12	22	20	15	18	85	23	96	12	22	0	9	5	20	1	28	21	57	19	9	13	25	7	59	34	44	29	8	47	46	2	41	5	6	14	2	22	52					
8	Число бюллетеней в стационарных ящиках для голосования	17142	979	1208	878	705	228	168	379	154	194	537	946	710	681	406	238	370	121	502	200	417	233	603	210	395	172	563	123	199	276	425	204	207	309	618	88	524	94	223	412	272	696	275					
9	Число недействительных избирательных бюллетеней	238	11	17	7	10	5	4	2	1	0	7	14	18	8	6	2	10	0	6	4	6	3	6	2	5	3	7	0	1	8	7	2	6	3	8	0	11	1	1	7	1	9	9					
10	Число действительных избирательных бюллетеней	17917	988	1217	880	703	235	186	397	168	212	615	955	788	685	422	236	369	126	516	197	439	251	654	227	399	182	581	130	257	302	462	231	209	353	656	90	554	98	228	419	273	709	318					
