Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Останкинский район																							
																							
Итоги голосования 																							
																							
		Сумма	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701					
1	"Число избирателей, внесенных в список"	37783	2425	1861	2226	2363	1931	2043	2404	2471	2550	2233	2711	2049	2558	2922	2727	2309					
2	Число полученных избирательных бюллетеней	37350	2400	1900	2200	2400	1900	2000	2400	2500	2500	2200	2700	2000	2500	2900	2700	2150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20223	1145	955	1244	1343	1013	1167	1234	1401	1514	1170	1461	1078	1225	1562	1484	1227					
5	"Число избирательных бюллетеней, выданных вне помещения"	574	49	29	45	31	36	20	37	33	27	65	43	32	58	17	29	23					
6	Число погашенных избирательных бюллетеней	16553	1206	916	911	1026	851	813	1129	1066	959	965	1196	890	1217	1321	1187	900					
7	Число избирательных бюллетеней в переносных ящиках	574	49	29	45	31	36	20	37	33	27	65	43	32	58	17	29	23					
8	Число бюллетеней в стационарных ящиках для голосования	20150	1140	952	1244	1335	1013	1165	1228	1398	1513	1167	1454	1075	1220	1543	1479	1224					
9	Число недействительных избирательных бюллетеней	146	3	7	7	3	4	10	7	9	34	7	13	10	6	11	8	7					
10	Число действительных избирательных бюллетеней	20578	1186	974	1282	1363	1045	1175	1258	1422	1506	1225	1484	1097	1272	1549	1500	1240					
11	Число полученных открепительных  удостоверений	820	50	50	70	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	483	27	24	53	20	28	28	30	30	33	32	35	21	32	31	33	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	445	17	18	26	34	35	26	23	21	30	20	35	28	18	31	61	22					
14	Число неиспользованных открепительных удостоверений	337	23	26	17	30	22	22	20	20	17	18	15	29	18	19	17	24					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	1526	69	69	86	82	79	88	70	103	114	97	114	67	100	136	129	123					
		7.36%	5.80%	7.03%	6.67%	6.00%	7.53%	7.43%	5.53%	7.20%	7.40%	7.87%	7.62%	6.05%	7.82%	8.72%	8.55%	9.86%					
19	. Малышкин Олег Александрович	161	11	10	5	11	7	13	12	12	13	4	10	5	10	15	9	14					
		0.78%	0.93%	1.02%	0.39%	0.81%	0.67%	1.10%	0.95%	0.84%	0.84%	0.32%	0.67%	0.45%	0.78%	0.96%	0.60%	1.12%					
20	. Миронов Сергей Михайлович	134	6	3	6	4	11	3	10	5	12	10	15	10	9	17	7	6					
		0.65%	0.50%	0.31%	0.47%	0.29%	1.05%	0.25%	0.79%	0.35%	0.78%	0.81%	1.00%	0.90%	0.70%	1.09%	0.46%	0.48%					
21	. Путин Владимир Владимирович	12929	793	579	753	923	637	687	843	964	922	769	940	747	808	940	900	724					
		62.39%	66.69%	59.02%	58.42%	67.57%	60.72%	57.97%	66.64%	67.37%	59.87%	62.42%	62.79%	67.48%	63.22%	60.26%	59.68%	58.06%					
22	. Хакамада Ирина Муцуовна	2347	103	125	201	128	148	177	119	124	148	131	142	126	148	184	188	155					
		11.33%	8.66%	12.74%	15.59%	9.37%	14.11%	14.94%	9.41%	8.67%	9.61%	10.63%	9.49%	11.38%	11.58%	11.79%	12.47%	12.43%					
23	. Харитонов Николай Михайлович	1733	96	96	110	112	76	103	116	121	166	106	126	63	102	115	125	100					
		8.36%	8.07%	9.79%	8.53%	8.20%	7.24%	8.69%	9.17%	8.46%	10.78%	8.60%	8.42%	5.69%	7.98%	7.37%	8.29%	8.02%					
																							
24	Против всех	1748	108	92	121	103	87	104	88	93	131	108	137	79	95	142	142	118					
		8.43%	9.08%	9.38%	9.39%	7.54%	8.29%	8.78%	6.96%	6.50%	8.51%	8.77%	9.15%	7.14%	7.43%	9.10%	9.42%	9.46%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
