Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Рубцовская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК  1883					
1	"Число избирателей, внесенных в список"	20432	456	1377	467	736	418	560	2623	1488	565	1091	710	371	984	822	503	607	926	843	862	352	398	280	877	755	679	405	277					
2	Число полученных избирательных бюллетеней	20147	448	1363	461	721	407	555	2584	1471	565	1074	704	364	968	814	494	603	910	831	847	364	396	258	871	749	665	394	266					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12650	221	823	254	509	261	366	1356	734	393	704	510	260	624	558	265	453	517	526	550	210	269	212	634	546	390	328	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	1014	57	39	27	48	40	34	63	62	33	89	11	15	28	61	62	41	52	35	44	10	16	8	58	35	21	23	2					
6	Число погашенных избирательных бюллетеней	6483	170	501	180	164	106	155	1165	675	139	281	183	89	316	195	167	109	341	270	253	144	111	38	179	168	254	43	87					
7	Число избирательных бюллетеней в переносных ящиках	1014	57	39	27	48	40	34	63	62	33	89	11	15	28	61	62	41	52	35	44	10	16	8	58	35	21	23	2					
8	Число бюллетеней в стационарных ящиках для голосования	12648	221	823	254	509	261	366	1356	732	393	704	510	260	624	558	265	453	517	526	550	210	269	212	634	546	390	328	177					
9	Число недействительных избирательных бюллетеней	124	2	5	2	16	3	10	7	8	7	8	7	2	8	6	1	6	1	5	4	0	3	0	2	3	3	3	2					
10	Число действительных избирательных бюллетеней	13538	276	857	279	541	298	390	1412	786	419	785	514	273	644	613	326	488	568	556	590	220	282	220	690	578	408	348	177					
11	Число полученных открепительных  удостоверений	230	5	15	5	7	5	6	25	20	6	10	7	5	10	10	5	6	10	10	10	5	5	5	10	10	8	5	5					
12	Число выданных открепительных удостоверений	42	0	7	0	2	0	2	3	4	2	1	2	0	0	1	3	2	1	4	5	0	0	0	2	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	3	1	1	5	1	1	13	0	0	2	1	3	3	1	1	0	1	5	3	4	2	19	3	0	2	2	2					
14	Число неиспользованных открепительных удостоверений	188	5	8	5	5	5	4	22	16	4	9	5	5	10	9	2	4	9	6	5	5	5	5	8	10	8	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	414	9	14	9	11	16	6	44	26	11	16	27	7	33	14	8	17	16	13	29	6	7	0	13	42	7	8	5					
		3.03%	3.24%	1.62%	3.20%	1.97%	5.32%	1.50%	3.10%	3.27%	2.58%	2.02%	5.18%	2.55%	5.06%	2.26%	2.45%	3.44%	2.81%	2.32%	4.88%	2.73%	2.46%	0.00%	1.88%	7.23%	1.70%	2.28%	2.79%					
19	. Малышкин Олег Александрович	433	13	21	20	15	10	14	39	32	6	22	15	13	15	16	15	12	13	11	20	5	13	8	20	23	22	14	6					
		3.17%	4.68%	2.44%	7.12%	2.69%	3.32%	3.50%	2.75%	4.03%	1.41%	2.77%	2.88%	4.73%	2.30%	2.58%	4.59%	2.43%	2.28%	1.96%	3.37%	2.27%	4.56%	3.64%	2.89%	3.96%	5.35%	3.99%	3.35%					
20	. Миронов Сергей Михайлович	82	2	2	1	7	2	2	11	7	4	2	3	0	6	5	5	4	2	1	2	2	1	0	2	5	0	0	4					
		0.60%	0.72%	0.23%	0.36%	1.26%	0.66%	0.50%	0.78%	0.88%	0.94%	0.25%	0.58%	0.00%	0.92%	0.81%	1.53%	0.81%	0.35%	0.18%	0.34%	0.91%	0.35%	0.00%	0.29%	0.86%	0.00%	0.00%	2.23%					
21	. Путин Владимир Владимирович	10196	210	665	183	422	197	281	1016	559	293	569	399	213	498	491	257	392	462	453	417	168	208	135	556	387	331	297	137					
		74.63%	75.54%	77.15%	65.12%	75.76%	65.45%	70.25%	71.60%	70.40%	68.78%	71.75%	76.58%	77.45%	76.38%	79.32%	78.59%	79.35%	81.20%	80.75%	70.20%	76.36%	72.98%	61.36%	80.35%	66.61%	80.54%	84.62%	76.54%					
22	. Хакамада Ирина Муцуовна	178	3	11	2	8	1	8	18	10	3	8	4	2	9	4	5	1	5	9	14	8	11	4	9	14	1	4	2					
		1.30%	1.08%	1.28%	0.71%	1.44%	0.33%	2.00%	1.27%	1.26%	0.70%	1.01%	0.77%	0.73%	1.38%	0.65%	1.53%	0.20%	0.88%	1.60%	2.36%	3.64%	3.86%	1.82%	1.30%	2.41%	0.24%	1.14%	1.12%					
23	. Харитонов Николай Михайлович	2023	35	129	59	66	69	72	261	146	98	160	49	34	78	79	32	61	59	60	99	21	38	66	82	90	39	23	18					
		14.81%	12.59%	14.97%	21.00%	11.85%	22.92%	18.00%	18.39%	18.39%	23.00%	20.18%	9.40%	12.36%	11.96%	12.76%	9.79%	12.35%	10.37%	10.70%	16.67%	9.55%	13.33%	30.00%	11.85%	15.49%	9.49%	6.55%	10.06%					
																																		
24	Против всех	212	4	15	5	12	3	7	23	6	4	8	17	4	5	4	4	1	11	9	9	10	4	7	8	17	8	2	5					
		1.55%	1.44%	1.74%	1.78%	2.15%	1.00%	1.75%	1.62%	0.76%	0.94%	1.01%	3.26%	1.45%	0.77%	0.65%	1.22%	0.20%	1.93%	1.60%	1.52%	4.55%	1.40%	3.18%	1.16%	2.93%	1.95%	0.57%	2.79%					
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
