Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Бологовская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
1	"Число избирателей, внесенных в список"	36062	2004	1321	990	2117	2230	2244	1317	910	1545	851	2013	372	124	147	495	1082	654	1516	427	460	418	545	276	474	199	97	128	225	323	262	146	907	2466	42	30	6	48	20	1946	1459	2382	844					
2	Число полученных избирательных бюллетеней	32968	1830	1200	900	1940	2030	2080	1210	860	1410	760	1820	340	130	151	450	970	590	1390	390	410	380	550	240	430	200	84	123	210	310	240	150	810	2210	42	30	6	50	22	1760	1330	2160	770					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18076	1069	707	396	958	1228	1112	663	342	655	408	1019	200	65	55	172	493	345	887	207	355	185	290	62	182	110	61	71	132	187	143	95	601	1317	42	20	6	30	20	902	607	1322	355					
5	"Число избирательных бюллетеней, выданных вне помещения"	3881	126	118	150	171	72	68	75	158	173	75	186	85	37	59	182	274	163	97	83	43	153	185	175	159	57	23	30	42	53	73	7	16	46	0	10	0	17	0	105	159	58	118					
6	Число погашенных избирательных бюллетеней	11011	635	375	354	811	730	900	472	360	582	277	615	55	28	37	96	203	82	406	100	12	42	75	3	89	33	0	22	36	70	24	48	193	847	0	0	0	3	2	753	564	780	297					
7	Число избирательных бюллетеней в переносных ящиках	3881	126	118	150	171	72	68	75	158	173	75	186	85	37	59	182	274	163	97	83	43	153	185	175	159	57	23	30	42	53	73	7	16	46	0	10	0	17	0	105	159	58	118					
8	Число бюллетеней в стационарных ящиках для голосования	18073	1069	705	396	958	1228	1112	663	342	655	408	1019	200	65	55	172	493	345	887	207	355	185	290	62	182	110	61	71	132	187	143	95	601	1316	42	20	6	30	20	902	607	1322	355					
9	Число недействительных избирательных бюллетеней	101	3	2	0	5	5	8	10	1	1	4	10	0	0	0	1	3	2	6	2	1	2	0	0	3	0	0	0	2	1	0	0	1	10	0	0	0	0	0	7	3	5	3					
10	Число действительных избирательных бюллетеней	21853	1192	821	546	1124	1295	1172	728	499	827	479	1195	285	102	114	353	764	506	978	288	397	336	475	237	338	167	84	101	172	239	216	102	616	1352	42	30	6	47	20	1000	763	1375	470					
11	Число полученных открепительных  удостоверений	442	31	25	11	24	30	22	10	17	25	10	16	4	4	4	8	15	4	22	9	6	4	6	4	6	6	4	4	4	4	6	9	10	18	0	0	0	0	0	21	10	17	12					
12	Число выданных открепительных удостоверений	364	31	24	6	24	27	17	7	15	13	8	15	3	3	2	5	15	4	21	9	4	0	6	2	5	5	1	0	1	4	6	7	6	13	0	0	0	0	0	21	9	16	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	311	17	21	7	5	12	10	2	7	4	4	18	7	3	1	2	7	10	1	2	2	7	6	2	2	3	3	5	3	0	0	3	2	15	1	10	5	38	20	18	3	13	10					
14	Число неиспользованных открепительных удостоверений	78	0	1	5	0	3	5	3	2	12	2	1	1	1	2	3	0	0	1	0	2	4	0	2	1	1	3	4	3	0	0	2	4	5	0	0	0	0	0	0	1	1	3					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	2	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	662	65	37	12	53	46	43	11	24	27	17	18	3	1	1	2	25	8	36	14	3	4	4	1	4	1	2	0	5	4	5	2	26	35	2	2	0	0	0	23	32	42	22					
		3.02%	5.44%	4.50%	2.20%	4.69%	3.54%	3.64%	1.49%	4.80%	3.26%	3.52%	1.49%	1.05%	0.98%	0.88%	0.56%	3.26%	1.57%	3.66%	4.83%	0.75%	1.18%	0.84%	0.42%	1.17%	0.60%	2.38%	0.00%	2.87%	1.67%	2.31%	1.96%	4.21%	2.57%	4.76%	6.67%	0.00%	0.00%	0.00%	2.28%	4.18%	3.04%	4.65%					
19	. Малышкин Олег Александрович	440	28	10	6	24	20	21	10	10	14	10	25	4	1	1	4	6	8	19	5	5	4	5	3	3	1	1	2	2	5	10	2	30	34	2	0	1	0	0	32	22	32	18					
		2.00%	2.34%	1.22%	1.10%	2.13%	1.54%	1.78%	1.36%	2.00%	1.69%	2.07%	2.07%	1.40%	0.98%	0.88%	1.13%	0.78%	1.57%	1.93%	1.72%	1.26%	1.18%	1.05%	1.27%	0.88%	0.60%	1.19%	1.98%	1.15%	2.08%	4.63%	1.96%	4.86%	2.50%	4.76%	0.00%	16.67%	0.00%	0.00%	3.18%	2.87%	2.32%	3.81%					
20	. Миронов Сергей Михайлович	204	8	10	7	7	16	13	7	3	5	2	14	3	0	1	2	5	5	15	4	1	3	4	2	0	1	5	1	2	1	2	1	11	14	1	0	0	1	0	8	5	11	3					
		0.93%	0.67%	1.22%	1.28%	0.62%	1.23%	1.10%	0.95%	0.60%	0.60%	0.41%	1.16%	1.05%	0.00%	0.88%	0.56%	0.65%	0.98%	1.52%	1.38%	0.25%	0.89%	0.84%	0.84%	0.00%	0.60%	5.95%	0.99%	1.15%	0.42%	0.93%	0.98%	1.78%	1.03%	2.38%	0.00%	0.00%	2.13%	0.00%	0.79%	0.65%	0.80%	0.63%					
