Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Радужная													
													
Итоги голосования 													
													
		Сумма	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
1	"Число избирателей, внесенных в список"	14319	2367	2437	2417	2345	2407	2346					
2	Число полученных избирательных бюллетеней	12990	2160	2200	2190	2130	2190	2120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8063	1434	1411	1298	1330	1319	1271					
5	"Число избирательных бюллетеней, выданных вне помещения"	142	28	22	20	19	26	27					
6	Число погашенных избирательных бюллетеней	4785	698	767	872	781	845	822					
7	Число избирательных бюллетеней в переносных ящиках	141	28	22	19	19	26	27					
8	Число бюллетеней в стационарных ящиках для голосования	8032	1432	1410	1296	1330	1293	1271					
9	Число недействительных избирательных бюллетеней	70	12	17	14	8	11	8					
10	Число действительных избирательных бюллетеней	8103	1448	1415	1301	1341	1308	1290					
11	Число полученных открепительных  удостоверений	130	20	20	20	20	20	30					
12	Число выданных открепительных удостоверений	90	9	14	11	17	15	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	10	7	5	6	4	10					
14	Число неиспользованных открепительных удостоверений	40	11	6	9	3	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	3	1	0	1	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	437	77	63	63	77	63	94					
		5.35%	5.27%	4.40%	4.79%	5.71%	4.78%	7.24%					
19	. Малышкин Олег Александрович	197	28	29	30	30	47	33					
		2.41%	1.92%	2.03%	2.28%	2.22%	3.56%	2.54%					
20	. Миронов Сергей Михайлович	103	19	10	18	23	19	14					
		1.26%	1.30%	0.70%	1.37%	1.70%	1.44%	1.08%					
21	. Путин Владимир Владимирович	5720	1056	1031	909	897	935	892					
		69.99%	72.33%	72.00%	69.13%	66.49%	70.89%	68.72%					
22	. Хакамада Ирина Муцуовна	285	47	37	50	60	48	43					
		3.49%	3.22%	2.58%	3.80%	4.45%	3.64%	3.31%					
23	. Харитонов Николай Михайлович	828	140	144	130	155	109	150					
		10.13%	9.59%	10.06%	9.89%	11.49%	8.26%	11.56%					
													
24	Против всех	533	81	101	101	99	87	64					
		6.52%	5.55%	7.05%	7.68%	7.34%	6.60%	4.93%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
