Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Беднодемьяновская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210					
1	"Число избирателей, внесенных в список"	10203	390	221	453	215	92	186	720	143	435	129	340	226	162	116	415	103	349	2058	1525	1925					
2	Число полученных избирательных бюллетеней	10281	392	216	460	225	101	188	728	147	434	128	338	222	163	117	421	103	355	2073	1546	1924					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6309	250	169	303	155	73	116	526	120	301	115	247	156	134	87	257	82	257	1151	809	1001					
5	"Число избирательных бюллетеней, выданных вне помещения"	978	46	24	38	38	16	43	112	13	36	5	35	25	20	23	75	8	45	103	134	139					
6	Число погашенных избирательных бюллетеней	2994	96	23	119	32	12	29	90	14	97	8	56	41	9	7	89	13	53	819	603	784					
7	Число избирательных бюллетеней в переносных ящиках	978	46	24	38	38	16	43	112	13	36	5	35	25	20	23	75	8	45	103	134	139					
8	Число бюллетеней в стационарных ящиках для голосования	6308	250	169	302	155	73	116	526	120	301	115	247	156	134	87	257	82	257	1151	809	1001					
9	Число недействительных избирательных бюллетеней	60	4	0	4	1	1	2	4	0	2	0	6	2	2	1	7	1	0	9	8	6					
10	Число действительных избирательных бюллетеней	7226	292	193	336	192	88	157	634	133	335	120	276	179	152	109	325	89	302	1245	935	1134					
11	Число полученных открепительных  удостоверений	187	10	4	10	7	3	5	15	4	8	4	5	5	4	3	10	3	10	35	22	20					
12	Число выданных открепительных удостоверений	118	5	0	4	7	3	0	9	2	2	0	0	0	0	0	1	0	9	35	22	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	4	3	0	3	4	3	1	2	6	3	3	2	2	1	0	2	5	9	1	2					
14	Число неиспользованных открепительных удостоверений	69	5	4	6	0	0	5	6	2	6	4	5	5	4	3	9	3	1	0	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	199	9	3	5	10	2	1	18	2	11	0	4	2	0	3	5	3	8	51	34	28					
		2.73%	3.04%	1.55%	1.47%	5.18%	2.25%	0.63%	2.82%	1.50%	3.26%	0.00%	1.42%	1.10%	0.00%	2.73%	1.51%	3.33%	2.65%	4.07%	3.61%	2.46%					
19	. Малышкин Олег Александрович	163	11	2	7	1	4	2	24	4	6	4	12	4	5	2	6	7	5	24	23	10					
		2.24%	3.72%	1.04%	2.06%	0.52%	4.49%	1.26%	3.76%	3.01%	1.78%	3.33%	4.26%	2.21%	3.25%	1.82%	1.81%	7.78%	1.66%	1.91%	2.44%	0.88%					
20	. Миронов Сергей Михайлович	67	6	2	3	1	0	1	7	2	0	0	0	4	1	3	2	2	1	14	10	8					
		0.92%	2.03%	1.04%	0.88%	0.52%	0.00%	0.63%	1.10%	1.50%	0.00%	0.00%	0.00%	2.21%	0.65%	2.73%	0.60%	2.22%	0.33%	1.12%	1.06%	0.70%					
21	. Путин Владимир Владимирович	4781	181	131	240	121	65	114	420	77	219	92	154	128	114	86	207	29	228	817	608	750					
		65.62%	61.15%	67.88%	70.59%	62.69%	73.03%	71.70%	65.83%	57.89%	64.99%	76.67%	54.61%	70.72%	74.03%	78.18%	62.35%	32.22%	75.50%	65.15%	64.48%	65.79%					
22	. Хакамада Ирина Муцуовна	128	3	1	6	1	2	1	8	2	1	3	6	3	3	0	10	0	6	33	18	21					
		1.76%	1.01%	0.52%	1.76%	0.52%	2.25%	0.63%	1.25%	1.50%	0.30%	2.50%	2.13%	1.66%	1.95%	0.00%	3.01%	0.00%	1.99%	2.63%	1.91%	1.84%					
23	. Харитонов Николай Михайлович	1758	79	52	70	55	15	38	150	40	97	21	95	36	27	14	92	48	43	268	219	299					
		24.13%	26.69%	26.94%	20.59%	28.50%	16.85%	23.90%	23.51%	30.08%	28.78%	17.50%	33.69%	19.89%	17.53%	12.73%	27.71%	53.33%	14.24%	21.37%	23.22%	26.23%					
																											
24	Против всех	130	3	2	5	3	0	0	7	6	1	0	5	2	2	1	3	0	11	38	23	18					
		1.78%	1.01%	1.04%	1.47%	1.55%	0.00%	0.00%	1.10%	4.51%	0.30%	0.00%	1.77%	1.10%	1.30%	0.91%	0.90%	0.00%	3.64%	3.03%	2.44%	1.58%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
