Выборы Президента Российской Федерации																																																																													
																																																																													
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №878	УИК №881	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №911	УИК №912	УИК №913	УИК №918	УИК №935	УИК №939					
1	"Число избирателей, внесенных в список"	106872	1732	1282	2197	1449	2633	1516	1704	1793	2041	1375	1848	1676	1104	2208	2023	2045	787	1294	1303	1102	1583	493	599	1577	1120	1968	1290	1322	2422	1905	2047	1720	252	1339	1521	1969	1812	1426	1514	578	2122	2288	1409	1311	1496	1463	1375	1163	1361	1508	1474	1366	1476	1171	1282	1258	1236	2065	542	1900	1471	2275	1215	1924	2151	2103	1968	463	322	2145					
2	Число полученных избирательных бюллетеней	96300	1500	1150	2000	1300	2350	1350	1550	1600	1850	1200	1550	1500	1000	2000	1800	1850	700	1200	1200	1000	1400	450	550	1400	1000	1800	1150	1200	2200	1700	1850	1550	200	1200	1400	1800	1650	1300	1350	500	1900	2100	1250	1200	1250	1300	1250	1050	1250	1350	1350	1250	1350	1050	1150	1150	1100	1850	500	1700	1350	2050	1100	1750	1950	1900	1750	400	450	1950					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54552	880	746	1070	789	1506	673	752	939	1080	703	1152	865	612	1178	1032	1052	236	611	587	616	780	246	281	837	586	724	720	678	1251	1025	1066	902	36	790	777	1018	933	707	749	207	1116	1264	708	654	480	715	694	621	770	798	810	755	726	608	658	631	583	1074	257	959	782	1237	651	885	1055	1207	1062	197	209	994					
5	"Число избирательных бюллетеней, выданных вне помещения"	2613	71	21	36	39	6	29	28	14	28	30	56	54	44	21	39	48	157	39	114	15	33	57	50	15	35	9	27	25	23	16	15	31	86	29	20	13	39	22	37	107	42	49	23	26	106	26	30	24	14	16	27	20	19	27	26	29	22	25	45	16	9	55	49	12	74	12	57	52	74	29					
6	Число погашенных избирательных бюллетеней	39135	549	383	894	472	838	648	770	647	742	467	342	581	344	801	729	750	307	550	499	369	587	147	219	548	379	1067	403	497	926	659	769	617	78	381	603	769	678	571	564	186	742	787	519	520	664	559	526	405	466	536	513	475	605	415	466	490	495	751	198	725	559	758	400	853	821	681	631	151	167	927					
7	Число избирательных бюллетеней в переносных ящиках	2613	71	21	36	39	6	29	28	14	28	30	56	54	44	21	39	48	157	39	114	15	33	57	50	15	35	9	27	25	23	16	15	31	86	29	20	13	39	22	37	107	42	49	23	26	106	26	30	24	14	16	27	20	19	27	26	29	22	25	45	16	9	55	49	12	74	12	57	52	74	29					
8	Число бюллетеней в стационарных ящиках для голосования	54549	880	746	1070	789	1505	673	752	939	1080	703	1152	865	612	1178	1032	1052	236	611	587	616	780	246	281	837	586	724	720	678	1251	1025	1066	902	36	790	777	1018	933	707	749	207	1116	1264	708	654	480	715	694	621	770	798	810	755	726	608	658	631	583	1073	257	958	782	1237	651	885	1055	1207	1062	197	209	994					
9	Число недействительных избирательных бюллетеней	365	7	5	11	6	6	5	3	5	7	1	5	2	1	9	4	8	3	5	2	7	7	2	8	3	4	1	5	10	9	8	15	7	0	6	4	9	4	6	2	5	12	2	5	5	1	5	9	3	1	7	6	8	7	3	3	2	2	3	0	7	8	8	5	6	3	8	15	4	0	0					
10	Число действительных избирательных бюллетеней	56797	944	762	1095	822	1505	697	777	948	1101	732	1203	917	655	1190	1067	1092	390	645	699	624	806	301	323	849	617	732	742	693	1265	1033	1066	926	122	813	793	1022	968	723	784	309	1146	1311	726	675	585	736	715	642	783	807	831	767	738	632	681	658	603	1095	302	967	783	1284	695	891	1126	1211	1104	245	283	1023					
