Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Мончегорская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340					
1	"Число избирателей, внесенных в список"	44746	2709	2724	2553	2440	2390	1030	986	1543	1210	1913	2096	2384	2353	1927	215	2040	1909	1165	1500	2448	2132	1669	968	73	207	2162					
2	Число полученных избирательных бюллетеней	44995	2760	2720	2570	2450	2430	1050	1000	1560	1220	1960	2110	2410	2390	1970	215	2050	1900	1090	1480	2470	2120	1680	950	70	210	2160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24913	1627	1382	1457	1273	1377	530	505	820	707	1072	1229	1322	1349	1123	215	1292	1106	615	852	1382	1041	742	434	26	118	1317					
5	"Число избирательных бюллетеней, выданных вне помещения"	574	15	16	13	18	34	31	18	47	26	44	36	23	23	40	0	21	25	17	23	19	38	12	11	0	0	24					
6	Число погашенных избирательных бюллетеней	19508	1118	1322	1100	1159	1019	489	477	693	487	844	845	1065	1018	807	0	737	769	458	605	1069	1041	926	505	44	92	819					
7	Число избирательных бюллетеней в переносных ящиках	574	15	16	13	18	34	31	18	47	26	44	36	23	23	40	0	21	25	17	23	19	38	12	11	0	0	24					
8	Число бюллетеней в стационарных ящиках для голосования	24893	1626	1379	1455	1272	1377	530	505	820	707	1071	1228	1321	1348	1121	215	1292	1106	615	852	1381	1041	742	433	26	118	1312					
9	Число недействительных избирательных бюллетеней	126	14	3	8	6	7	1	4	8	3	7	9	6	3	9	1	5	7	3	2	8	4	4	1	0	0	3					
10	Число действительных избирательных бюллетеней	25341	1627	1392	1460	1284	1404	560	519	859	730	1108	1255	1338	1368	1152	214	1308	1124	629	873	1392	1075	750	443	26	118	1333					
11	Число полученных открепительных  удостоверений	1484	70	70	70	70	70	60	59	60	60	60	70	70	70	60	0	70	60	60	60	70	70	60	25	10	10	70					
12	Число выданных открепительных удостоверений	345	19	11	18	9	21	11	11	7	12	17	13	11	18	17	0	17	10	14	10	28	16	14	11	0	0	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	161	4	5	8	5	3	2	0	1	0	5	3	3	2	2	84	5	1	4	0	6	2	6	4	0	0	6					
14	Число неиспользованных открепительных удостоверений	1139	51	59	52	61	49	49	48	53	48	43	57	59	52	43	0	53	50	46	50	42	54	46	14	10	10	40					
15	"Число открепительных удостоверений, выданных в ТИК"	16	0	1	0	1	1	0	2	1	0	0	0	2	3	0	0	0	0	0	1	1	2	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
