Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Уваровская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  578	УИК  579	УИК  580	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586	УИК  587	УИК  588	УИК  589	УИК  590	УИК  591	УИК  592	УИК  593	УИК  594	УИК  595	УИК  1040					
1	"Число избирателей, внесенных в список"	9156	538	595	239	274	940	102	360	300	383	523	461	366	228	398	118	625	354	264	385	193	532	502	476					
2	Число полученных избирательных бюллетеней	9134	526	586	243	293	924	95	343	318	356	515	454	361	233	405	131	619	375	263	379	192	538	510	475					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5144	285	295	137	168	588	77	271	171	263	310	349	272	98	202	76	285	174	140	158	65	264	250	246					
5	"Число избирательных бюллетеней, выданных вне помещения"	2715	171	192	57	79	197	18	58	105	91	150	67	40	121	121	29	202	124	85	173	107	192	165	171					
6	Число погашенных избирательных бюллетеней	1275	70	99	49	46	139	0	14	42	2	55	38	49	14	82	26	132	77	38	48	20	82	95	58					
7	Число избирательных бюллетеней в переносных ящиках	2715	171	192	57	79	197	18	58	105	91	150	67	40	121	121	29	202	124	85	173	107	192	165	171					
8	Число бюллетеней в стационарных ящиках для голосования	5143	285	295	137	168	588	77	271	171	263	310	349	272	98	202	76	285	174	140	157	65	264	250	246					
9	Число недействительных избирательных бюллетеней	38	3	2	0	0	0	1	1	0	3	4	0	5	2	1	0	2	0	3	0	0	7	3	1					
10	Число действительных избирательных бюллетеней	7820	453	485	194	247	785	94	328	276	351	456	416	307	217	322	105	485	298	222	330	172	449	412	416					
11	Число полученных открепительных  удостоверений	100	6	7	3	3	7	2	4	3	4	6	5	4	3	4	2	6	4	3	4	3	6	6	5					
12	Число выданных открепительных удостоверений	47	5	4	3	3	5	0	4	0	0	2	0	0	2	0	0	5	2	1	2	0	2	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	8	2	1	0	3	2	0	0	8	1	0	0	1	0	1	3	1	2	1	1	1	5	2					
14	Число неиспользованных открепительных удостоверений	53	1	3	0	0	2	2	0	3	4	4	5	4	1	4	2	1	2	2	2	3	4	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	125	9	1	2	5	8	1	4	6	4	22	4	0	1	3	4	14	8	3	7	2	12	2	3					
		1.59%	1.97%	0.21%	1.03%	2.02%	1.02%	1.05%	1.22%	2.17%	1.13%	4.78%	0.96%	0.00%	0.46%	0.93%	3.81%	2.87%	2.68%	1.33%	2.12%	1.16%	2.63%	0.48%	0.72%					
19	. Малышкин Олег Александрович	181	11	6	8	4	11	5	10	8	10	8	7	4	10	12	6	16	7	8	5	3	10	4	8					
		2.30%	2.41%	1.23%	4.12%	1.62%	1.40%	5.26%	3.04%	2.90%	2.82%	1.74%	1.68%	1.28%	4.57%	3.72%	5.71%	3.29%	2.35%	3.56%	1.52%	1.74%	2.19%	0.96%	1.92%					
20	. Миронов Сергей Михайлович	32	2	4	0	1	1	1	1	1	2	2	1	0	1	2	2	3	0	0	1	1	3	2	1					
		0.41%	0.44%	0.82%	0.00%	0.40%	0.13%	1.05%	0.30%	0.36%	0.56%	0.43%	0.24%	0.00%	0.46%	0.62%	1.90%	0.62%	0.00%	0.00%	0.30%	0.58%	0.66%	0.48%	0.24%					
21	. Путин Владимир Владимирович	5179	345	338	104	192	581	47	199	181	242	305	327	268	158	196	84	254	153	154	188	117	247	214	285					
		65.91%	75.66%	69.40%	53.61%	77.73%	74.01%	49.47%	60.49%	65.58%	68.36%	66.30%	78.61%	85.90%	72.15%	60.68%	80.00%	52.16%	51.34%	68.44%	56.97%	68.02%	54.17%	51.57%	68.35%					
22	. Хакамада Ирина Муцуовна	100	7	7	1	5	8	1	10	5	1	4	4	0	6	7	0	5	3	3	2	0	7	9	5					
		1.27%	1.54%	1.44%	0.52%	2.02%	1.02%	1.05%	3.04%	1.81%	0.28%	0.87%	0.96%	0.00%	2.74%	2.17%	0.00%	1.03%	1.01%	1.33%	0.61%	0.00%	1.54%	2.17%	1.20%					
23	. Харитонов Николай Михайлович	2079	69	124	77	36	160	38	93	72	79	112	72	35	36	100	9	186	119	47	113	43	168	180	111					
		26.46%	15.13%	25.46%	39.69%	14.57%	20.38%	40.00%	28.27%	26.09%	22.32%	24.35%	17.31%	11.22%	16.44%	30.96%	8.57%	38.19%	39.93%	20.89%	34.24%	25.00%	36.84%	43.37%	26.62%					
																														
24	Против всех	124	10	5	2	4	16	1	11	3	13	3	1	0	5	2	0	7	8	7	14	6	2	1	3					
		1.58%	2.19%	1.03%	1.03%	1.62%	2.04%	1.05%	3.34%	1.09%	3.67%	0.65%	0.24%	0.00%	2.28%	0.62%	0.00%	1.44%	2.68%	3.11%	4.24%	3.49%	0.44%	0.24%	0.72%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
